m,kW/m2
Tot_Flux-z,Tot_Flux
 2.000E-02, 4.738E+01
 7.185E-02, 5.373E+01
 1.237E-01, 5.547E+01
 1.755E-01, 5.469E+01
 2.274E-01, 5.318E+01
 2.792E-01, 5.183E+01
 3.311E-01, 5.072E+01
 3.829E-01, 4.975E+01
 4.348E-01, 4.880E+01
 4.866E-01, 4.778E+01
 5.385E-01, 4.668E+01
 5.903E-01, 4.539E+01
 6.422E-01, 4.393E+01
 6.940E-01, 4.234E+01
 7.459E-01, 4.065E+01
 7.977E-01, 3.883E+01
 8.496E-01, 3.689E+01
 9.014E-01, 3.488E+01
 9.533E-01, 3.283E+01
 1.005E+00, 3.077E+01
 1.057E+00, 2.876E+01
 1.109E+00, 2.683E+01
 1.161E+00, 2.497E+01
 1.213E+00, 2.317E+01
 1.264E+00, 2.143E+01
 1.316E+00, 1.977E+01
 1.368E+00, 1.818E+01
 1.420E+00, 1.667E+01
 1.472E+00, 1.523E+01
 1.524E+00, 1.389E+01
 1.575E+00, 1.268E+01
 1.627E+00, 1.162E+01
 1.679E+00, 1.067E+01
 1.731E+00, 9.800E+00
 1.783E+00, 9.010E+00
 1.835E+00, 8.290E+00
 1.887E+00, 7.642E+00
 1.938E+00, 6.543E+00
 1.990E+00, 6.072E+00
 2.042E+00, 5.643E+00
 2.094E+00, 5.254E+00
 2.146E+00, 4.903E+00
 2.198E+00, 4.587E+00
 2.249E+00, 4.306E+00
 2.301E+00, 4.057E+00
 2.353E+00, 3.834E+00
 2.405E+00, 3.636E+00
 2.457E+00, 3.459E+00
 2.509E+00, 3.302E+00
 2.561E+00, 3.161E+00
 2.612E+00, 3.035E+00
 2.664E+00, 2.919E+00
 2.716E+00, 2.814E+00
 2.768E+00, 2.718E+00
 2.820E+00, 2.630E+00
 2.872E+00, 2.548E+00
 2.923E+00, 2.471E+00
 2.975E+00, 2.399E+00
 3.027E+00, 2.329E+00
 3.079E+00, 2.264E+00
 3.131E+00, 2.202E+00
 3.183E+00, 2.144E+00
 3.235E+00, 2.088E+00
 3.286E+00, 2.034E+00
 3.338E+00, 1.984E+00
 3.390E+00, 1.937E+00
 3.442E+00, 1.893E+00
 3.494E+00, 1.852E+00
 3.546E+00, 1.810E+00
 3.598E+00, 1.767E+00
 3.649E+00, 1.726E+00
 3.701E+00, 1.686E+00
 3.753E+00, 1.646E+00
 3.805E+00, 1.610E+00
 3.857E+00, 1.574E+00
 3.909E+00, 1.539E+00
 3.960E+00, 1.505E+00
 4.012E+00, 1.471E+00
 4.064E+00, 1.438E+00
 4.116E+00, 1.406E+00
 4.168E+00, 1.376E+00
 4.220E+00, 1.348E+00
 4.272E+00, 1.322E+00
 4.323E+00, 1.295E+00
 4.375E+00, 1.269E+00
 4.427E+00, 1.244E+00
 4.479E+00, 1.221E+00
 4.531E+00, 1.199E+00
 4.583E+00, 1.177E+00
 4.634E+00, 1.157E+00
 4.686E+00, 1.134E+00
 4.738E+00, 1.117E+00
 4.790E+00, 1.092E+00
