s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.002E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+01, 6.007E+00, 6.342E+00, 6.990E+00
 4.500E+01, 6.194E+00, 6.551E+00, 7.221E+00
 5.000E+01, 6.102E+00, 6.449E+00, 7.094E+00
 5.500E+01, 6.063E+00, 6.408E+00, 7.054E+00
 6.000E+01, 6.124E+00, 6.472E+00, 7.121E+00
 6.500E+01, 6.110E+00, 6.455E+00, 7.100E+00
 7.000E+01, 6.087E+00, 6.432E+00, 7.082E+00
 7.400E+01, 6.105E+00, 6.450E+00, 7.100E+00
