s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.003E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.001E+01, 3.180E+01, 3.398E+01, 3.857E+01
 8.502E+01, 3.065E+01, 3.281E+01, 3.730E+01
 9.001E+01, 3.114E+01, 3.327E+01, 3.774E+01
 9.501E+01, 3.168E+01, 3.381E+01, 3.827E+01
 1.000E+02, 3.200E+01, 3.415E+01, 3.864E+01
 1.050E+02, 3.212E+01, 3.424E+01, 3.868E+01
 1.100E+02, 3.217E+01, 3.428E+01, 3.873E+01
 1.150E+02, 3.168E+01, 3.379E+01, 3.824E+01
 1.200E+02, 3.166E+01, 3.376E+01, 3.817E+01
 1.250E+02, 3.180E+01, 3.392E+01, 3.834E+01
 1.300E+02, 3.170E+01, 3.382E+01, 3.827E+01
 1.350E+02, 3.153E+01, 3.365E+01, 3.809E+01
 1.400E+02, 3.144E+01, 3.355E+01, 3.798E+01
 1.450E+02, 3.146E+01, 3.356E+01, 3.799E+01
 1.500E+02, 3.151E+01, 3.361E+01, 3.804E+01
 1.540E+02, 3.154E+01, 3.366E+01, 3.810E+01
