m,kW
Height,HRR
 2.390E-02, 1.257E+02
 6.672E-02, 7.537E+01
 1.095E-01, 3.429E+01
 1.523E-01, 2.080E+01
 1.952E-01, 1.592E+01
 2.380E-01, 1.381E+01
 2.808E-01, 1.277E+01
 3.236E-01, 1.218E+01
 3.664E-01, 1.178E+01
 4.092E-01, 1.149E+01
 4.521E-01, 1.127E+01
 4.949E-01, 1.108E+01
 5.377E-01, 1.093E+01
 5.805E-01, 1.083E+01
 6.233E-01, 1.076E+01
 6.661E-01, 1.071E+01
 7.089E-01, 1.067E+01
 7.518E-01, 1.060E+01
 7.946E-01, 1.054E+01
 8.374E-01, 1.049E+01
 8.802E-01, 1.045E+01
 9.230E-01, 1.044E+01
 9.658E-01, 1.040E+01
 1.009E+00, 1.034E+01
 1.051E+00, 1.027E+01
 1.094E+00, 1.017E+01
 1.137E+00, 1.006E+01
 1.180E+00, 9.956E+00
 1.223E+00, 9.821E+00
 1.266E+00, 9.677E+00
 1.308E+00, 9.535E+00
 1.351E+00, 9.395E+00
 1.394E+00, 9.222E+00
 1.437E+00, 9.028E+00
 1.480E+00, 8.808E+00
 1.522E+00, 8.583E+00
 1.565E+00, 8.353E+00
 1.608E+00, 8.113E+00
 1.651E+00, 7.876E+00
 1.694E+00, 7.625E+00
 1.737E+00, 7.359E+00
 1.779E+00, 7.101E+00
 1.822E+00, 6.849E+00
 1.865E+00, 6.592E+00
 1.908E+00, 6.331E+00
 1.951E+00, 6.077E+00
 1.993E+00, 5.822E+00
 2.036E+00, 5.566E+00
 2.079E+00, 5.325E+00
 2.122E+00, 5.084E+00
 2.165E+00, 4.837E+00
 2.207E+00, 4.585E+00
 2.250E+00, 4.315E+00
 2.293E+00, 4.055E+00
 2.336E+00, 3.814E+00
 2.379E+00, 3.583E+00
 2.422E+00, 3.357E+00
 2.464E+00, 3.136E+00
 2.507E+00, 2.921E+00
 2.550E+00, 2.713E+00
 2.593E+00, 2.518E+00
 2.636E+00, 2.324E+00
 2.678E+00, 2.139E+00
 2.721E+00, 1.963E+00
 2.764E+00, 1.787E+00
 2.807E+00, 1.626E+00
 2.850E+00, 1.482E+00
 2.893E+00, 1.347E+00
 2.935E+00, 1.218E+00
 2.978E+00, 1.097E+00
 3.021E+00, 9.851E-01
 3.064E+00, 8.844E-01
 3.107E+00, 7.921E-01
 3.149E+00, 7.079E-01
 3.192E+00, 6.332E-01
 3.235E+00, 5.669E-01
 3.278E+00, 5.056E-01
 3.321E+00, 4.497E-01
 3.363E+00, 3.995E-01
 3.406E+00, 3.527E-01
 3.449E+00, 3.117E-01
 3.492E+00, 2.734E-01
 3.535E+00, 2.375E-01
 3.578E+00, 2.056E-01
 3.620E+00, 1.787E-01
 3.663E+00, 1.553E-01
 3.706E+00, 1.345E-01
 3.749E+00, 1.155E-01
 3.792E+00, 9.966E-02
 3.834E+00, 8.534E-02
 3.877E+00, 7.306E-02
 3.920E+00, 6.276E-02
 3.963E+00, 5.406E-02
 4.006E+00, 4.675E-02
 4.049E+00, 4.049E-02
 4.091E+00, 3.518E-02
 4.134E+00, 3.047E-02
 4.177E+00, 2.665E-02
 4.220E+00, 2.321E-02
 4.263E+00, 2.027E-02
 4.305E+00, 1.732E-02
 4.348E+00, 1.476E-02
 4.391E+00, 1.261E-02
 4.434E+00, 1.083E-02
 4.477E+00, 9.281E-03
 4.519E+00, 7.867E-03
 4.562E+00, 6.671E-03
 4.605E+00, 5.664E-03
 4.648E+00, 4.771E-03
 4.691E+00, 4.031E-03
 4.734E+00, 3.401E-03
 4.776E+00, 2.861E-03
 4.819E+00, 2.385E-03
 4.862E+00, 1.998E-03
 4.905E+00, 1.679E-03
 4.948E+00, 1.413E-03
 4.990E+00, 1.196E-03
 5.033E+00, 1.014E-03
 5.076E+00, 8.680E-04
 5.119E+00, 7.440E-04
 5.162E+00, 6.466E-04
 5.205E+00, 5.521E-04
 5.247E+00, 4.629E-04
 5.290E+00, 3.855E-04
 5.333E+00, 3.213E-04
 5.376E+00, 2.720E-04
 5.419E+00, 2.316E-04
 5.461E+00, 1.963E-04
 5.504E+00, 1.655E-04
 5.547E+00, 1.402E-04
 5.590E+00, 1.194E-04
 5.633E+00, 1.014E-04
 5.676E+00, 8.671E-05
 5.718E+00, 7.356E-05
 5.761E+00, 6.213E-05
 5.804E+00, 5.251E-05
 5.847E+00, 4.407E-05
 5.890E+00, 3.704E-05
 5.932E+00, 3.125E-05
 5.975E+00, 2.664E-05
 6.018E+00, 2.273E-05
 6.061E+00, 1.946E-05
 6.104E+00, 1.668E-05
 6.146E+00, 1.403E-05
 6.189E+00, 1.195E-05
 6.232E+00, 1.027E-05
 6.275E+00, 8.734E-06
 6.318E+00, 7.530E-06
 6.361E+00, 6.326E-06
 6.403E+00, 5.397E-06
 6.446E+00, 4.802E-06
 6.489E+00, 2.961E-06
