s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.001E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 4.532E-01, 4.785E-01, 5.249E-01
 3.000E+01, 1.251E+00, 1.325E+00, 1.459E+00
 3.500E+01, 1.548E+00, 1.641E+00, 1.810E+00
 4.000E+01, 1.743E+00, 1.850E+00, 2.044E+00
 4.500E+01, 1.859E+00, 1.972E+00, 2.177E+00
 4.700E+01, 1.908E+00, 2.025E+00, 2.236E+00
