s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.003E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 2.372E+00, 2.600E+00, 3.076E+00
 3.500E+01, 2.403E+00, 2.628E+00, 3.092E+00
 4.000E+01, 2.420E+00, 2.648E+00, 3.123E+00
 4.501E+01, 2.405E+00, 2.631E+00, 3.100E+00
 5.001E+01, 2.415E+00, 2.642E+00, 3.114E+00
 5.400E+01, 2.405E+00, 2.630E+00, 3.099E+00
