s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.062E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.504E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.504E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.504E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.004E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.504E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.050E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.101E+02, 4.916E+01, 5.483E+01, 6.749E+01
 1.150E+02, 5.145E+01, 5.727E+01, 7.002E+01
 1.201E+02, 5.205E+01, 5.816E+01, 7.142E+01
 1.250E+02, 5.189E+01, 5.789E+01, 7.102E+01
 1.300E+02, 5.182E+01, 5.786E+01, 7.111E+01
 1.350E+02, 5.185E+01, 5.790E+01, 7.115E+01
 1.400E+02, 5.180E+01, 5.783E+01, 7.104E+01
 1.450E+02, 5.177E+01, 5.790E+01, 7.130E+01
 1.500E+02, 5.148E+01, 5.752E+01, 7.074E+01
 1.550E+02, 5.132E+01, 5.736E+01, 7.060E+01
 1.600E+02, 5.112E+01, 5.717E+01, 7.044E+01
 1.650E+02, 5.097E+01, 5.700E+01, 7.020E+01
 1.700E+02, 5.097E+01, 5.702E+01, 7.028E+01
 1.750E+02, 5.090E+01, 5.691E+01, 7.008E+01
 1.800E+02, 5.083E+01, 5.683E+01, 7.000E+01
 1.850E+02, 5.119E+01, 5.721E+01, 7.040E+01
 1.900E+02, 5.118E+01, 5.720E+01, 7.038E+01
 1.950E+02, 5.094E+01, 5.694E+01, 7.009E+01
 2.000E+02, 5.101E+01, 5.701E+01, 7.017E+01
 2.050E+02, 5.100E+01, 5.703E+01, 7.024E+01
 2.100E+02, 5.096E+01, 5.698E+01, 7.017E+01
 2.120E+02, 5.103E+01, 5.708E+01, 7.033E+01
