m,kW
Height,HRR
 4.734E-01, 1.219E+04
 1.414E+00, 1.253E+04
 2.355E+00, 1.311E+04
 3.296E+00, 1.301E+04
 4.236E+00, 1.257E+04
 5.177E+00, 1.254E+04
 6.118E+00, 1.119E+04
 7.059E+00, 1.029E+04
 7.999E+00, 9.689E+03
 8.940E+00, 9.250E+03
 9.881E+00, 8.909E+03
 1.082E+01, 8.650E+03
 1.176E+01, 8.465E+03
 1.270E+01, 8.340E+03
 1.364E+01, 8.261E+03
 1.458E+01, 8.221E+03
 1.553E+01, 8.169E+03
 1.647E+01, 8.127E+03
 1.741E+01, 8.086E+03
 1.835E+01, 8.016E+03
 1.929E+01, 7.921E+03
 2.023E+01, 7.810E+03
 2.117E+01, 7.660E+03
 2.211E+01, 7.464E+03
 2.305E+01, 7.210E+03
 2.399E+01, 6.919E+03
 2.493E+01, 6.589E+03
 2.587E+01, 6.232E+03
 2.681E+01, 5.833E+03
 2.776E+01, 5.396E+03
 2.870E+01, 4.911E+03
 2.964E+01, 4.378E+03
 3.058E+01, 3.834E+03
 3.152E+01, 3.315E+03
 3.246E+01, 2.816E+03
 3.340E+01, 2.358E+03
 3.434E+01, 1.946E+03
 3.528E+01, 1.590E+03
 3.622E+01, 1.289E+03
 3.716E+01, 1.040E+03
 3.810E+01, 8.331E+02
 3.904E+01, 6.656E+02
 3.998E+01, 5.310E+02
 4.093E+01, 4.227E+02
 4.187E+01, 3.352E+02
 4.281E+01, 2.656E+02
 4.375E+01, 2.104E+02
 4.469E+01, 1.672E+02
 4.563E+01, 1.329E+02
 4.657E+01, 1.058E+02
 4.751E+01, 8.406E+01
 4.845E+01, 6.682E+01
 4.939E+01, 5.303E+01
 5.033E+01, 4.209E+01
 5.127E+01, 3.340E+01
 5.221E+01, 2.658E+01
 5.316E+01, 2.114E+01
 5.410E+01, 1.686E+01
 5.504E+01, 1.343E+01
 5.598E+01, 1.073E+01
 5.692E+01, 8.590E+00
 5.786E+01, 6.876E+00
 5.880E+01, 5.500E+00
 5.974E+01, 4.404E+00
 6.068E+01, 3.519E+00
 6.162E+01, 2.817E+00
 6.256E+01, 2.251E+00
 6.350E+01, 1.809E+00
 6.444E+01, 1.445E+00
 6.539E+01, 1.161E+00
 6.633E+01, 9.311E-01
 6.727E+01, 7.525E-01
 6.821E+01, 6.058E-01
 6.915E+01, 4.865E-01
 7.009E+01, 3.962E-01
 7.103E+01, 2.370E-01
