s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.023E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.050E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.100E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.150E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.250E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.300E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.350E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.450E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+02, 1.166E+02, 1.248E+02, 1.408E+02
 1.550E+02, 1.167E+02, 1.244E+02, 1.400E+02
 1.600E+02, 1.186E+02, 1.263E+02, 1.419E+02
 1.650E+02, 1.203E+02, 1.280E+02, 1.438E+02
 1.700E+02, 1.223E+02, 1.300E+02, 1.457E+02
 1.750E+02, 1.235E+02, 1.312E+02, 1.471E+02
 1.800E+02, 1.237E+02, 1.314E+02, 1.473E+02
 1.850E+02, 1.241E+02, 1.318E+02, 1.476E+02
 1.900E+02, 1.247E+02, 1.325E+02, 1.484E+02
 1.950E+02, 1.251E+02, 1.329E+02, 1.490E+02
 2.000E+02, 1.243E+02, 1.321E+02, 1.484E+02
 2.050E+02, 1.240E+02, 1.318E+02, 1.480E+02
 2.100E+02, 1.236E+02, 1.315E+02, 1.477E+02
 2.150E+02, 1.232E+02, 1.310E+02, 1.472E+02
 2.200E+02, 1.223E+02, 1.302E+02, 1.464E+02
 2.250E+02, 1.218E+02, 1.296E+02, 1.456E+02
 2.300E+02, 1.221E+02, 1.299E+02, 1.460E+02
 2.350E+02, 1.225E+02, 1.303E+02, 1.464E+02
 2.400E+02, 1.226E+02, 1.303E+02, 1.464E+02
 2.450E+02, 1.226E+02, 1.304E+02, 1.465E+02
 2.500E+02, 1.226E+02, 1.303E+02, 1.463E+02
 2.550E+02, 1.229E+02, 1.306E+02, 1.466E+02
 2.600E+02, 1.232E+02, 1.309E+02, 1.470E+02
 2.650E+02, 1.233E+02, 1.310E+02, 1.470E+02
 2.700E+02, 1.236E+02, 1.313E+02, 1.474E+02
 2.750E+02, 1.236E+02, 1.313E+02, 1.474E+02
 2.800E+02, 1.235E+02, 1.313E+02, 1.473E+02
 2.850E+02, 1.231E+02, 1.308E+02, 1.469E+02
 2.900E+02, 1.226E+02, 1.304E+02, 1.464E+02
 2.930E+02, 1.227E+02, 1.304E+02, 1.464E+02
