m,kW
Height,HRR
 4.530E-02, 2.674E+02
 1.309E-01, 1.323E+02
 2.166E-01, 6.653E+01
 3.022E-01, 4.160E+01
 3.878E-01, 3.245E+01
 4.734E-01, 2.834E+01
 5.591E-01, 2.620E+01
 6.447E-01, 2.502E+01
 7.303E-01, 2.419E+01
 8.159E-01, 2.343E+01
 9.016E-01, 2.252E+01
 9.872E-01, 2.143E+01
 1.073E+00, 2.018E+01
 1.158E+00, 1.889E+01
 1.244E+00, 1.756E+01
 1.330E+00, 1.619E+01
 1.415E+00, 1.485E+01
 1.501E+00, 1.352E+01
 1.587E+00, 1.222E+01
 1.672E+00, 1.097E+01
 1.758E+00, 9.784E+00
 1.843E+00, 8.690E+00
 1.929E+00, 7.644E+00
 2.015E+00, 6.712E+00
 2.100E+00, 5.848E+00
 2.186E+00, 5.055E+00
 2.272E+00, 4.342E+00
 2.357E+00, 3.725E+00
 2.443E+00, 3.169E+00
 2.528E+00, 2.682E+00
 2.614E+00, 2.259E+00
 2.700E+00, 1.885E+00
 2.785E+00, 1.574E+00
 2.871E+00, 1.317E+00
 2.957E+00, 1.092E+00
 3.042E+00, 8.964E-01
 3.128E+00, 7.288E-01
 3.213E+00, 5.881E-01
 3.299E+00, 4.741E-01
 3.385E+00, 3.795E-01
 3.470E+00, 3.020E-01
 3.556E+00, 2.405E-01
 3.642E+00, 1.923E-01
 3.727E+00, 1.532E-01
 3.813E+00, 1.207E-01
 3.898E+00, 9.445E-02
 3.984E+00, 7.434E-02
 4.070E+00, 5.825E-02
 4.155E+00, 4.570E-02
 4.241E+00, 3.582E-02
 4.327E+00, 2.833E-02
 4.412E+00, 2.240E-02
 4.498E+00, 1.776E-02
 4.583E+00, 1.414E-02
 4.669E+00, 1.128E-02
 4.755E+00, 9.023E-03
 4.840E+00, 7.233E-03
 4.926E+00, 5.838E-03
 5.012E+00, 4.721E-03
 5.097E+00, 3.813E-03
 5.183E+00, 3.060E-03
 5.268E+00, 2.456E-03
 5.354E+00, 1.974E-03
 5.440E+00, 1.588E-03
 5.525E+00, 1.272E-03
 5.611E+00, 1.016E-03
 5.697E+00, 8.113E-04
 5.782E+00, 6.468E-04
 5.868E+00, 5.164E-04
 5.953E+00, 4.120E-04
 6.039E+00, 3.286E-04
 6.125E+00, 2.621E-04
 6.210E+00, 2.093E-04
 6.296E+00, 1.683E-04
 6.382E+00, 1.377E-04
 6.467E+00, 8.247E-05
