s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.600E+02, 3.119E+06,-2.571E+05,-2.567E+06,-3.067E+03,-6.248E-01, 0.000E+00, 0.000E+00, 2.417E+05, 2.914E+05, 6.601E+01, 6.601E+01
 1.650E+02, 2.948E+06,-2.441E+05,-2.564E+06,-5.345E+03,-6.172E-01, 0.000E+00, 0.000E+00, 8.514E+04, 1.349E+05, 6.601E+01, 6.601E+01
 1.700E+02, 3.004E+06,-2.575E+05,-2.938E+06,-8.475E+03,-6.187E-01, 0.000E+00, 0.000E+00,-2.448E+05,-2.000E+05, 6.601E+01, 6.601E+01
 1.750E+02, 2.981E+06,-1.907E+05,-2.797E+06,-3.889E+03,-6.060E-01, 0.000E+00, 0.000E+00,-5.597E+04,-1.037E+04, 6.601E+01, 6.601E+01
 1.800E+02, 3.041E+06,-2.214E+05,-2.910E+06,-3.914E+03,-6.218E-01, 0.000E+00, 0.000E+00,-1.385E+05,-9.481E+04, 6.601E+01, 6.601E+01
 1.850E+02, 3.053E+06,-2.270E+05,-2.902E+06,-4.341E+03,-6.236E-01, 0.000E+00, 0.000E+00,-1.247E+05,-8.042E+04, 6.601E+01, 6.601E+01
 1.900E+02, 3.018E+06,-2.316E+05,-2.518E+06,-2.810E+03,-6.142E-01, 0.000E+00, 0.000E+00, 2.219E+05, 2.661E+05, 6.601E+01, 6.601E+01
 1.950E+02, 3.076E+06,-2.434E+05,-2.534E+06,-6.202E+03,-6.275E-01, 0.000E+00, 0.000E+00, 2.486E+05, 2.924E+05, 6.601E+01, 6.601E+01
 2.000E+02, 3.007E+06,-2.325E+05,-2.889E+06,-6.709E+03,-6.266E-01, 0.000E+00, 0.000E+00,-1.653E+05,-1.214E+05, 6.601E+01, 6.601E+01
 2.050E+02, 3.022E+06,-2.411E+05,-2.663E+06,-5.406E+03,-6.199E-01, 0.000E+00, 0.000E+00, 6.880E+04, 1.120E+05, 6.601E+01, 6.601E+01
 2.100E+02, 3.064E+06,-2.475E+05,-2.441E+06,-6.265E+03,-6.163E-01, 0.000E+00, 0.000E+00, 3.221E+05, 3.693E+05, 6.601E+01, 6.601E+01
 2.150E+02, 3.034E+06,-2.325E+05,-3.354E+06,-7.541E+03,-6.236E-01, 0.000E+00, 0.000E+00,-6.069E+05,-5.599E+05, 6.601E+01, 6.601E+01
 2.200E+02, 2.973E+06,-2.257E+05,-2.676E+06,-3.131E+03,-6.160E-01, 0.000E+00, 0.000E+00, 2.513E+04, 6.874E+04, 6.601E+01, 6.601E+01
 2.250E+02, 3.033E+06,-2.295E+05,-2.489E+06,-2.272E+03,-6.283E-01, 0.000E+00, 0.000E+00, 2.648E+05, 3.119E+05, 6.601E+01, 6.601E+01
 2.300E+02, 3.075E+06,-2.410E+05,-3.070E+06,-8.253E+03,-6.253E-01, 0.000E+00, 0.000E+00,-2.885E+05,-2.440E+05, 6.601E+01, 6.601E+01
 2.350E+02, 2.919E+06,-2.277E+05,-2.442E+06,-6.912E+03,-6.259E-01, 0.000E+00, 0.000E+00, 2.005E+05, 2.419E+05, 6.601E+01, 6.601E+01
 2.400E+02, 3.058E+06,-2.410E+05,-2.824E+06,-2.972E+03,-6.187E-01, 0.000E+00, 0.000E+00,-5.628E+04,-1.014E+04, 6.601E+01, 6.601E+01
