m,kW
Height,HRR
 8.810E-02, 3.456E+02
 2.594E-01, 1.564E+02
 4.306E-01, 8.214E+01
 6.019E-01, 4.984E+01
 7.731E-01, 3.458E+01
 9.444E-01, 2.501E+01
 1.116E+00, 1.795E+01
 1.287E+00, 1.282E+01
 1.458E+00, 9.115E+00
 1.629E+00, 6.503E+00
 1.801E+00, 4.640E+00
 1.972E+00, 3.307E+00
 2.143E+00, 2.355E+00
 2.314E+00, 1.688E+00
 2.486E+00, 1.210E+00
 2.657E+00, 8.710E-01
 2.828E+00, 6.254E-01
 2.999E+00, 4.525E-01
 3.171E+00, 3.273E-01
 3.342E+00, 2.382E-01
 3.513E+00, 1.736E-01
 3.684E+00, 1.277E-01
 3.856E+00, 9.369E-02
 4.027E+00, 6.901E-02
 4.198E+00, 5.079E-02
 4.369E+00, 3.752E-02
 4.541E+00, 2.767E-02
 4.712E+00, 2.052E-02
 4.883E+00, 1.523E-02
 5.054E+00, 1.138E-02
 5.226E+00, 8.494E-03
 5.397E+00, 6.378E-03
 5.568E+00, 4.755E-03
 5.739E+00, 3.575E-03
 5.911E+00, 2.664E-03
 6.082E+00, 2.004E-03
 6.253E+00, 1.508E-03
 6.424E+00, 8.930E-04
