m,kW
Height,HRR
 1.207E+00, 1.190E+05
 3.575E+00, 1.224E+05
 5.943E+00, 1.353E+05
 8.311E+00, 1.350E+05
 1.068E+01, 1.246E+05
 1.305E+01, 1.195E+05
 1.542E+01, 1.045E+05
 1.778E+01, 9.520E+04
 2.015E+01, 8.945E+04
 2.252E+01, 8.595E+04
 2.489E+01, 8.375E+04
 2.726E+01, 8.231E+04
 2.962E+01, 8.121E+04
 3.199E+01, 8.019E+04
 3.436E+01, 7.919E+04
 3.673E+01, 7.857E+04
 3.910E+01, 7.820E+04
 4.146E+01, 7.769E+04
 4.383E+01, 7.719E+04
 4.620E+01, 7.660E+04
 4.857E+01, 7.578E+04
 5.094E+01, 7.484E+04
 5.331E+01, 7.396E+04
 5.567E+01, 7.308E+04
 5.804E+01, 7.163E+04
 6.041E+01, 6.965E+04
 6.278E+01, 6.701E+04
 6.515E+01, 6.392E+04
 6.751E+01, 6.071E+04
 6.988E+01, 5.730E+04
 7.225E+01, 5.345E+04
 7.462E+01, 4.921E+04
 7.699E+01, 4.468E+04
 7.935E+01, 3.990E+04
 8.172E+01, 3.500E+04
 8.409E+01, 3.015E+04
 8.646E+01, 2.553E+04
 8.883E+01, 2.129E+04
 9.120E+01, 1.754E+04
 9.356E+01, 1.430E+04
 9.593E+01, 1.156E+04
 9.830E+01, 9.270E+03
 1.007E+02, 7.409E+03
 1.030E+02, 5.918E+03
 1.054E+02, 4.720E+03
 1.078E+02, 3.762E+03
 1.101E+02, 2.999E+03
 1.125E+02, 2.385E+03
 1.149E+02, 1.894E+03
 1.172E+02, 1.504E+03
 1.196E+02, 1.193E+03
 1.220E+02, 9.470E+02
 1.243E+02, 7.513E+02
 1.267E+02, 5.971E+02
 1.291E+02, 4.744E+02
 1.315E+02, 3.776E+02
 1.338E+02, 3.002E+02
 1.362E+02, 2.383E+02
 1.386E+02, 1.888E+02
 1.409E+02, 1.500E+02
 1.433E+02, 1.191E+02
 1.457E+02, 9.454E+01
 1.480E+02, 7.502E+01
 1.504E+02, 5.974E+01
 1.528E+02, 4.762E+01
 1.551E+02, 3.802E+01
 1.575E+02, 3.022E+01
 1.599E+02, 2.412E+01
 1.622E+02, 1.916E+01
 1.646E+02, 1.528E+01
 1.670E+02, 1.213E+01
 1.693E+02, 9.714E+00
 1.717E+02, 7.773E+00
 1.741E+02, 6.218E+00
 1.764E+02, 5.031E+00
 1.788E+02, 2.976E+00
