s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.004E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.500E+01, 6.376E+00, 6.835E+00, 7.779E+00
 5.001E+01, 7.217E+00, 7.758E+00, 8.889E+00
 5.500E+01, 7.508E+00, 8.075E+00, 9.240E+00
 6.000E+01, 7.526E+00, 8.098E+00, 9.291E+00
 6.501E+01, 7.522E+00, 8.098E+00, 9.299E+00
 7.001E+01, 7.513E+00, 8.092E+00, 9.297E+00
 7.501E+01, 7.474E+00, 8.055E+00, 9.268E+00
 8.001E+01, 7.475E+00, 8.060E+00, 9.280E+00
 8.500E+01, 7.508E+00, 8.092E+00, 9.311E+00
