m,kW
Height,HRR
 1.230E-02, 1.147E+02
 4.199E-02, 5.299E+01
 7.167E-02, 2.560E+01
 1.014E-01, 1.524E+01
 1.310E-01, 1.083E+01
 1.607E-01, 8.447E+00
 1.904E-01, 6.937E+00
 2.201E-01, 5.883E+00
 2.498E-01, 5.079E+00
 2.795E-01, 4.438E+00
 3.092E-01, 3.934E+00
 3.389E-01, 3.532E+00
 3.685E-01, 3.204E+00
 3.982E-01, 2.928E+00
 4.279E-01, 2.697E+00
 4.576E-01, 2.496E+00
 4.873E-01, 2.319E+00
 5.170E-01, 2.160E+00
 5.467E-01, 2.013E+00
 5.763E-01, 1.879E+00
 6.060E-01, 1.751E+00
 6.357E-01, 1.630E+00
 6.654E-01, 1.520E+00
 6.951E-01, 1.418E+00
 7.248E-01, 1.324E+00
 7.545E-01, 1.239E+00
 7.842E-01, 1.160E+00
 8.138E-01, 1.089E+00
 8.435E-01, 1.025E+00
 8.732E-01, 9.658E-01
 9.029E-01, 9.089E-01
 9.326E-01, 8.561E-01
 9.623E-01, 8.085E-01
 9.920E-01, 7.646E-01
 1.022E+00, 7.216E-01
 1.051E+00, 6.784E-01
 1.081E+00, 6.394E-01
 1.111E+00, 6.063E-01
 1.140E+00, 5.755E-01
 1.170E+00, 5.445E-01
 1.200E+00, 5.105E-01
 1.229E+00, 4.732E-01
 1.259E+00, 4.365E-01
 1.289E+00, 4.024E-01
 1.319E+00, 3.697E-01
 1.348E+00, 3.397E-01
 1.378E+00, 3.122E-01
 1.408E+00, 2.842E-01
 1.437E+00, 2.575E-01
 1.467E+00, 2.326E-01
 1.497E+00, 2.080E-01
 1.526E+00, 1.854E-01
 1.556E+00, 1.645E-01
 1.586E+00, 1.448E-01
 1.615E+00, 1.270E-01
 1.645E+00, 1.113E-01
 1.675E+00, 9.712E-02
 1.704E+00, 8.439E-02
 1.734E+00, 7.313E-02
 1.764E+00, 6.319E-02
 1.794E+00, 5.443E-02
 1.823E+00, 4.690E-02
 1.853E+00, 4.026E-02
 1.883E+00, 3.456E-02
 1.912E+00, 2.971E-02
 1.942E+00, 2.530E-02
 1.972E+00, 2.157E-02
 2.001E+00, 1.833E-02
 2.031E+00, 1.560E-02
 2.061E+00, 1.321E-02
 2.090E+00, 1.113E-02
 2.120E+00, 9.359E-03
 2.150E+00, 7.835E-03
 2.179E+00, 6.559E-03
 2.209E+00, 5.448E-03
 2.239E+00, 4.567E-03
 2.268E+00, 3.832E-03
 2.298E+00, 3.232E-03
 2.328E+00, 2.717E-03
 2.358E+00, 2.284E-03
 2.387E+00, 1.922E-03
 2.417E+00, 1.619E-03
 2.447E+00, 1.350E-03
 2.476E+00, 1.118E-03
 2.506E+00, 9.246E-04
 2.536E+00, 7.716E-04
 2.565E+00, 6.440E-04
 2.595E+00, 5.355E-04
 2.625E+00, 4.427E-04
 2.654E+00, 3.655E-04
 2.684E+00, 3.004E-04
 2.714E+00, 2.460E-04
 2.743E+00, 2.025E-04
 2.773E+00, 1.672E-04
 2.803E+00, 1.379E-04
 2.833E+00, 1.138E-04
 2.862E+00, 9.383E-05
 2.892E+00, 7.746E-05
 2.922E+00, 6.401E-05
 2.951E+00, 5.316E-05
 2.981E+00, 4.404E-05
 3.011E+00, 3.659E-05
 3.040E+00, 3.035E-05
 3.070E+00, 2.517E-05
 3.100E+00, 2.094E-05
 3.129E+00, 1.747E-05
 3.159E+00, 1.459E-05
 3.189E+00, 1.225E-05
 3.218E+00, 1.029E-05
 3.248E+00, 8.617E-06
 3.278E+00, 7.198E-06
 3.308E+00, 6.055E-06
 3.337E+00, 5.076E-06
 3.367E+00, 4.221E-06
 3.397E+00, 3.510E-06
 3.426E+00, 2.937E-06
 3.456E+00, 2.462E-06
 3.486E+00, 2.062E-06
 3.515E+00, 1.724E-06
 3.545E+00, 1.444E-06
 3.575E+00, 1.209E-06
 3.604E+00, 1.009E-06
 3.634E+00, 8.411E-07
 3.664E+00, 7.027E-07
 3.693E+00, 5.850E-07
 3.723E+00, 4.867E-07
 3.753E+00, 4.060E-07
 3.783E+00, 3.382E-07
 3.812E+00, 2.811E-07
 3.842E+00, 2.319E-07
 3.872E+00, 1.903E-07
 3.901E+00, 1.568E-07
 3.931E+00, 1.283E-07
 3.961E+00, 1.048E-07
 3.990E+00, 8.554E-08
 4.020E+00, 6.957E-08
 4.050E+00, 5.671E-08
 4.079E+00, 4.608E-08
 4.109E+00, 3.736E-08
 4.139E+00, 3.005E-08
 4.168E+00, 2.378E-08
 4.198E+00, 1.887E-08
 4.228E+00, 1.482E-08
 4.258E+00, 1.162E-08
 4.287E+00, 9.020E-09
 4.317E+00, 7.043E-09
 4.347E+00, 5.366E-09
 4.376E+00, 4.153E-09
 4.406E+00, 3.315E-09
 4.436E+00, 2.561E-09
 4.465E+00, 2.102E-09
 4.495E+00, 1.118E-09
