s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.011E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.001E+01, 3.593E+00, 3.912E+00, 4.614E+00
 5.500E+01, 7.368E+00, 7.947E+00, 9.174E+00
 6.001E+01, 8.705E+00, 9.370E+00, 1.078E+01
 6.500E+01, 9.033E+00, 9.722E+00, 1.119E+01
 7.000E+01, 9.381E+00, 1.008E+01, 1.158E+01
 7.501E+01, 9.586E+00, 1.030E+01, 1.183E+01
 8.001E+01, 9.692E+00, 1.041E+01, 1.195E+01
 8.501E+01, 9.827E+00, 1.055E+01, 1.209E+01
 9.000E+01, 9.908E+00, 1.064E+01, 1.219E+01
 9.500E+01, 9.914E+00, 1.065E+01, 1.221E+01
 9.700E+01, 9.952E+00, 1.069E+01, 1.225E+01
