m,kW
Height,HRR
 2.391E+00, 5.382E+05
 7.127E+00, 8.165E+05
 1.186E+01, 8.402E+05
 1.660E+01, 7.268E+05
 2.134E+01, 6.247E+05
 2.607E+01, 5.551E+05
 3.081E+01, 4.920E+05
 3.554E+01, 4.251E+05
 4.028E+01, 3.534E+05
 4.502E+01, 2.820E+05
 4.975E+01, 2.176E+05
 5.449E+01, 1.657E+05
 5.923E+01, 1.263E+05
 6.396E+01, 9.610E+04
 6.870E+01, 7.344E+04
 7.343E+01, 5.604E+04
 7.817E+01, 4.294E+04
 8.291E+01, 3.282E+04
 8.764E+01, 2.517E+04
 9.238E+01, 1.928E+04
 9.712E+01, 1.483E+04
 1.019E+02, 1.142E+04
 1.066E+02, 8.826E+03
 1.113E+02, 6.829E+03
 1.161E+02, 5.298E+03
 1.208E+02, 4.101E+03
 1.255E+02, 3.179E+03
 1.303E+02, 2.456E+03
 1.350E+02, 1.901E+03
 1.397E+02, 1.468E+03
 1.445E+02, 1.136E+03
 1.492E+02, 8.758E+02
 1.540E+02, 6.764E+02
 1.587E+02, 5.194E+02
 1.634E+02, 4.007E+02
 1.682E+02, 3.075E+02
 1.729E+02, 2.274E+02
 1.776E+02, 1.265E+02
