m,kW
Height,HRR
 6.145E-01, 1.904E+04
 1.799E+00, 2.111E+04
 2.983E+00, 2.502E+04
 4.167E+00, 2.694E+04
 5.351E+00, 2.834E+04
 6.535E+00, 2.895E+04
 7.719E+00, 2.916E+04
 8.903E+00, 2.900E+04
 1.009E+01, 2.875E+04
 1.127E+01, 2.861E+04
 1.246E+01, 2.862E+04
 1.364E+01, 2.871E+04
 1.482E+01, 2.894E+04
 1.601E+01, 2.931E+04
 1.719E+01, 2.980E+04
 1.838E+01, 3.036E+04
 1.956E+01, 3.103E+04
 2.074E+01, 3.178E+04
 2.193E+01, 3.269E+04
 2.311E+01, 3.365E+04
 2.430E+01, 3.440E+04
 2.548E+01, 3.472E+04
 2.666E+01, 3.488E+04
 2.785E+01, 3.498E+04
 2.903E+01, 3.510E+04
 3.022E+01, 3.534E+04
 3.140E+01, 3.580E+04
 3.258E+01, 3.647E+04
 3.377E+01, 3.721E+04
 3.495E+01, 3.802E+04
 3.614E+01, 3.897E+04
 3.732E+01, 4.003E+04
 3.850E+01, 4.101E+04
 3.969E+01, 4.197E+04
 4.087E+01, 4.298E+04
 4.206E+01, 4.407E+04
 4.324E+01, 4.522E+04
 4.443E+01, 4.635E+04
 4.561E+01, 4.752E+04
 4.679E+01, 4.859E+04
 4.798E+01, 4.958E+04
 4.916E+01, 5.047E+04
 5.035E+01, 5.130E+04
 5.153E+01, 5.208E+04
 5.271E+01, 5.279E+04
 5.390E+01, 5.335E+04
 5.508E+01, 5.386E+04
 5.627E+01, 5.417E+04
 5.745E+01, 5.430E+04
 5.863E+01, 5.422E+04
 5.982E+01, 5.396E+04
 6.100E+01, 5.358E+04
 6.219E+01, 5.310E+04
 6.337E+01, 5.254E+04
 6.455E+01, 5.176E+04
 6.574E+01, 5.073E+04
 6.692E+01, 4.957E+04
 6.811E+01, 4.834E+04
 6.929E+01, 4.689E+04
 7.047E+01, 4.539E+04
 7.166E+01, 4.384E+04
 7.284E+01, 4.226E+04
 7.403E+01, 4.070E+04
 7.521E+01, 3.900E+04
 7.640E+01, 3.719E+04
 7.758E+01, 3.528E+04
 7.876E+01, 3.335E+04
 7.995E+01, 3.134E+04
 8.113E+01, 2.931E+04
 8.232E+01, 2.727E+04
 8.350E+01, 2.529E+04
 8.468E+01, 2.340E+04
 8.587E+01, 2.154E+04
 8.705E+01, 1.977E+04
 8.824E+01, 1.811E+04
 8.942E+01, 1.652E+04
 9.060E+01, 1.506E+04
 9.179E+01, 1.367E+04
 9.297E+01, 1.234E+04
 9.416E+01, 1.109E+04
 9.534E+01, 9.892E+03
 9.652E+01, 8.789E+03
 9.771E+01, 7.789E+03
 9.889E+01, 6.859E+03
 1.001E+02, 6.014E+03
 1.013E+02, 5.250E+03
 1.024E+02, 4.585E+03
 1.036E+02, 4.003E+03
 1.048E+02, 3.480E+03
 1.060E+02, 3.028E+03
 1.072E+02, 2.639E+03
 1.084E+02, 2.292E+03
 1.095E+02, 1.980E+03
 1.107E+02, 1.702E+03
 1.119E+02, 1.463E+03
 1.131E+02, 1.260E+03
 1.143E+02, 1.079E+03
 1.155E+02, 9.195E+02
 1.167E+02, 7.762E+02
 1.178E+02, 6.527E+02
 1.190E+02, 5.510E+02
 1.202E+02, 4.639E+02
 1.214E+02, 3.903E+02
 1.226E+02, 3.298E+02
 1.238E+02, 2.785E+02
 1.249E+02, 2.336E+02
 1.261E+02, 1.962E+02
 1.273E+02, 1.647E+02
 1.285E+02, 1.385E+02
 1.297E+02, 1.173E+02
 1.309E+02, 9.912E+01
 1.320E+02, 8.346E+01
 1.332E+02, 7.003E+01
 1.344E+02, 5.871E+01
 1.356E+02, 4.933E+01
 1.368E+02, 4.154E+01
 1.380E+02, 3.475E+01
 1.392E+02, 2.901E+01
 1.403E+02, 2.424E+01
 1.415E+02, 2.023E+01
 1.427E+02, 1.691E+01
 1.439E+02, 1.411E+01
 1.451E+02, 1.180E+01
 1.463E+02, 9.902E+00
 1.474E+02, 8.324E+00
 1.486E+02, 6.979E+00
 1.498E+02, 5.875E+00
 1.510E+02, 4.974E+00
 1.522E+02, 4.206E+00
 1.534E+02, 3.570E+00
 1.545E+02, 3.007E+00
 1.557E+02, 2.541E+00
 1.569E+02, 2.140E+00
 1.581E+02, 1.802E+00
 1.593E+02, 1.519E+00
 1.605E+02, 1.281E+00
 1.616E+02, 1.087E+00
 1.628E+02, 9.215E-01
 1.640E+02, 7.841E-01
 1.652E+02, 6.680E-01
 1.664E+02, 5.678E-01
 1.676E+02, 4.813E-01
 1.688E+02, 4.067E-01
 1.699E+02, 3.442E-01
 1.711E+02, 2.902E-01
 1.723E+02, 2.452E-01
 1.735E+02, 2.073E-01
 1.747E+02, 1.752E-01
 1.759E+02, 1.491E-01
 1.770E+02, 1.268E-01
 1.782E+02, 1.077E-01
 1.794E+02, 6.496E-02
