m,kW
Height,HRR
 2.719E-02, 1.375E+02
 8.656E-02, 5.569E+01
 1.459E-01, 2.460E+01
 2.053E-01, 1.386E+01
 2.647E-01, 9.629E+00
 3.240E-01, 7.669E+00
 3.834E-01, 6.545E+00
 4.428E-01, 5.763E+00
 5.022E-01, 5.147E+00
 5.615E-01, 4.629E+00
 6.209E-01, 4.166E+00
 6.803E-01, 3.733E+00
 7.396E-01, 3.325E+00
 7.990E-01, 2.938E+00
 8.584E-01, 2.574E+00
 9.178E-01, 2.242E+00
 9.771E-01, 1.947E+00
 1.036E+00, 1.686E+00
 1.096E+00, 1.453E+00
 1.155E+00, 1.245E+00
 1.215E+00, 1.063E+00
 1.274E+00, 9.022E-01
 1.333E+00, 7.579E-01
 1.393E+00, 6.284E-01
 1.452E+00, 5.175E-01
 1.511E+00, 4.274E-01
 1.571E+00, 3.537E-01
 1.630E+00, 2.908E-01
 1.690E+00, 2.372E-01
 1.749E+00, 1.926E-01
 1.808E+00, 1.568E-01
 1.868E+00, 1.274E-01
 1.927E+00, 1.037E-01
 1.986E+00, 8.425E-02
 2.046E+00, 6.803E-02
 2.105E+00, 5.481E-02
 2.165E+00, 4.398E-02
 2.224E+00, 3.508E-02
 2.283E+00, 2.785E-02
 2.343E+00, 2.221E-02
 2.402E+00, 1.772E-02
 2.461E+00, 1.415E-02
 2.521E+00, 1.131E-02
 2.580E+00, 9.025E-03
 2.640E+00, 7.182E-03
 2.699E+00, 5.681E-03
 2.758E+00, 4.495E-03
 2.818E+00, 3.570E-03
 2.877E+00, 2.836E-03
 2.936E+00, 2.239E-03
 2.996E+00, 1.774E-03
 3.055E+00, 1.411E-03
 3.114E+00, 1.123E-03
 3.174E+00, 8.998E-04
 3.233E+00, 7.257E-04
 3.293E+00, 5.840E-04
 3.352E+00, 4.704E-04
 3.411E+00, 3.771E-04
 3.471E+00, 3.011E-04
 3.530E+00, 2.418E-04
 3.589E+00, 1.939E-04
 3.649E+00, 1.550E-04
 3.708E+00, 1.241E-04
 3.768E+00, 9.926E-05
 3.827E+00, 7.957E-05
 3.886E+00, 6.347E-05
 3.946E+00, 5.081E-05
 4.005E+00, 4.070E-05
 4.064E+00, 3.231E-05
 4.124E+00, 2.565E-05
 4.183E+00, 2.045E-05
 4.243E+00, 1.632E-05
 4.302E+00, 1.302E-05
 4.361E+00, 1.034E-05
 4.421E+00, 8.311E-06
 4.480E+00, 4.928E-06
