s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.016E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.050E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.100E+02, 6.157E+01, 6.535E+01, 7.334E+01
 1.150E+02, 6.012E+01, 6.406E+01, 7.244E+01
 1.200E+02, 6.046E+01, 6.443E+01, 7.273E+01
 1.250E+02, 6.061E+01, 6.455E+01, 7.283E+01
 1.300E+02, 6.213E+01, 6.612E+01, 7.443E+01
 1.350E+02, 6.236E+01, 6.639E+01, 7.485E+01
 1.400E+02, 6.270E+01, 6.677E+01, 7.533E+01
 1.450E+02, 6.335E+01, 6.744E+01, 7.598E+01
 1.500E+02, 6.367E+01, 6.780E+01, 7.640E+01
 1.550E+02, 6.306E+01, 6.717E+01, 7.575E+01
 1.600E+02, 6.297E+01, 6.706E+01, 7.564E+01
 1.650E+02, 6.275E+01, 6.685E+01, 7.540E+01
 1.700E+02, 6.269E+01, 6.677E+01, 7.528E+01
 1.750E+02, 6.315E+01, 6.725E+01, 7.580E+01
 1.800E+02, 6.333E+01, 6.744E+01, 7.602E+01
 1.850E+02, 6.367E+01, 6.779E+01, 7.639E+01
 1.900E+02, 6.360E+01, 6.775E+01, 7.639E+01
 1.950E+02, 6.381E+01, 6.796E+01, 7.660E+01
 2.000E+02, 6.398E+01, 6.813E+01, 7.678E+01
 2.050E+02, 6.406E+01, 6.821E+01, 7.686E+01
 2.100E+02, 6.407E+01, 6.823E+01, 7.687E+01
 2.120E+02, 6.413E+01, 6.829E+01, 7.692E+01
