m,kW
Height,HRR
 6.800E-02, 3.562E+02
 2.101E-01, 4.451E+02
 3.523E-01, 4.446E+02
 4.944E-01, 3.932E+02
 6.365E-01, 3.452E+02
 7.786E-01, 3.142E+02
 9.208E-01, 2.957E+02
 1.063E+00, 2.864E+02
 1.205E+00, 2.805E+02
 1.347E+00, 2.743E+02
 1.489E+00, 2.678E+02
 1.631E+00, 2.602E+02
 1.774E+00, 2.532E+02
 1.916E+00, 2.469E+02
 2.058E+00, 2.411E+02
 2.200E+00, 2.371E+02
 2.342E+00, 2.347E+02
 2.484E+00, 2.335E+02
 2.626E+00, 2.326E+02
 2.768E+00, 2.333E+02
 2.911E+00, 2.353E+02
 3.053E+00, 2.370E+02
 3.195E+00, 2.390E+02
 3.337E+00, 2.409E+02
 3.479E+00, 2.430E+02
 3.621E+00, 2.452E+02
 3.763E+00, 2.466E+02
 3.905E+00, 2.480E+02
 4.048E+00, 2.494E+02
 4.190E+00, 2.513E+02
 4.332E+00, 2.526E+02
 4.474E+00, 2.530E+02
 4.616E+00, 2.529E+02
 4.758E+00, 2.521E+02
 4.900E+00, 2.506E+02
 5.042E+00, 2.488E+02
 5.185E+00, 2.464E+02
 5.327E+00, 2.434E+02
 5.469E+00, 2.398E+02
 5.611E+00, 2.357E+02
 5.753E+00, 2.319E+02
 5.895E+00, 2.274E+02
 6.037E+00, 2.220E+02
 6.179E+00, 2.161E+02
 6.322E+00, 2.102E+02
 6.464E+00, 2.041E+02
 6.606E+00, 1.974E+02
 6.748E+00, 1.904E+02
 6.890E+00, 1.830E+02
 7.032E+00, 1.756E+02
 7.174E+00, 1.683E+02
 7.316E+00, 1.604E+02
 7.459E+00, 1.525E+02
 7.601E+00, 1.444E+02
 7.743E+00, 1.358E+02
 7.885E+00, 1.272E+02
 8.027E+00, 1.189E+02
 8.169E+00, 1.107E+02
 8.311E+00, 1.030E+02
 8.453E+00, 9.562E+01
 8.596E+00, 8.825E+01
 8.738E+00, 8.114E+01
 8.880E+00, 7.415E+01
 9.022E+00, 6.744E+01
 9.164E+00, 6.133E+01
 9.306E+00, 5.567E+01
 9.448E+00, 5.038E+01
 9.590E+00, 4.541E+01
 9.733E+00, 4.094E+01
 9.875E+00, 3.703E+01
 1.002E+01, 3.351E+01
 1.016E+01, 3.032E+01
 1.030E+01, 2.732E+01
 1.044E+01, 2.465E+01
 1.059E+01, 2.220E+01
 1.073E+01, 1.988E+01
 1.087E+01, 1.769E+01
 1.101E+01, 1.564E+01
 1.115E+01, 1.375E+01
 1.130E+01, 1.209E+01
 1.144E+01, 1.065E+01
 1.158E+01, 9.333E+00
 1.172E+01, 8.134E+00
 1.186E+01, 7.081E+00
 1.201E+01, 6.134E+00
 1.215E+01, 5.295E+00
 1.229E+01, 4.573E+00
 1.243E+01, 3.946E+00
 1.258E+01, 3.383E+00
 1.272E+01, 2.903E+00
 1.286E+01, 2.482E+00
 1.300E+01, 2.111E+00
 1.314E+01, 1.784E+00
 1.329E+01, 1.509E+00
 1.343E+01, 1.281E+00
 1.357E+01, 1.089E+00
 1.371E+01, 9.247E-01
 1.385E+01, 7.830E-01
 1.400E+01, 6.623E-01
 1.414E+01, 5.597E-01
 1.428E+01, 4.703E-01
 1.442E+01, 3.950E-01
 1.456E+01, 3.294E-01
 1.471E+01, 2.747E-01
 1.485E+01, 2.280E-01
 1.499E+01, 1.900E-01
 1.513E+01, 1.584E-01
 1.528E+01, 1.328E-01
 1.542E+01, 1.105E-01
 1.556E+01, 9.162E-02
 1.570E+01, 7.597E-02
 1.584E+01, 6.329E-02
 1.599E+01, 5.293E-02
 1.613E+01, 4.414E-02
 1.627E+01, 3.705E-02
 1.641E+01, 3.107E-02
 1.655E+01, 2.590E-02
 1.670E+01, 2.153E-02
 1.684E+01, 1.789E-02
 1.698E+01, 1.492E-02
 1.712E+01, 1.240E-02
 1.727E+01, 1.034E-02
 1.741E+01, 8.683E-03
 1.755E+01, 7.251E-03
 1.769E+01, 6.077E-03
 1.783E+01, 5.101E-03
 1.798E+01, 4.282E-03
 1.812E+01, 3.605E-03
 1.826E+01, 3.030E-03
 1.840E+01, 2.558E-03
 1.854E+01, 2.153E-03
 1.869E+01, 1.812E-03
 1.883E+01, 1.512E-03
 1.897E+01, 1.261E-03
 1.911E+01, 1.056E-03
 1.925E+01, 8.835E-04
 1.940E+01, 7.384E-04
 1.954E+01, 6.153E-04
 1.968E+01, 5.152E-04
 1.982E+01, 4.319E-04
 1.997E+01, 3.607E-04
 2.011E+01, 3.035E-04
 2.025E+01, 2.545E-04
 2.039E+01, 2.137E-04
 2.053E+01, 1.791E-04
 2.068E+01, 1.503E-04
 2.082E+01, 1.262E-04
 2.096E+01, 1.062E-04
 2.110E+01, 8.982E-05
 2.124E+01, 7.536E-05
 2.139E+01, 6.476E-05
 2.153E+01, 3.936E-05
