m,kW
Height,HRR
 3.438E+00, 6.005E+05
 1.025E+01, 8.362E+05
 1.707E+01, 9.056E+05
 2.388E+01, 7.343E+05
 3.070E+01, 6.097E+05
 3.751E+01, 5.411E+05
 4.433E+01, 4.947E+05
 5.114E+01, 4.593E+05
 5.796E+01, 4.252E+05
 6.477E+01, 3.893E+05
 7.159E+01, 3.464E+05
 7.840E+01, 2.918E+05
 8.522E+01, 2.315E+05
 9.203E+01, 1.749E+05
 9.885E+01, 1.292E+05
 1.057E+02, 9.527E+04
 1.125E+02, 6.995E+04
 1.193E+02, 5.144E+04
 1.261E+02, 3.777E+04
 1.329E+02, 2.783E+04
 1.397E+02, 2.051E+04
 1.466E+02, 1.518E+04
 1.534E+02, 1.119E+04
 1.602E+02, 8.270E+03
 1.670E+02, 6.099E+03
 1.738E+02, 4.522E+03
 1.806E+02, 3.328E+03
 1.874E+02, 2.464E+03
 1.943E+02, 1.818E+03
 2.011E+02, 1.352E+03
 2.079E+02, 1.001E+03
 2.147E+02, 7.470E+02
 2.215E+02, 5.515E+02
 2.283E+02, 4.146E+02
 2.351E+02, 3.092E+02
 2.420E+02, 2.317E+02
 2.488E+02, 1.740E+02
 2.556E+02, 1.012E+02
