s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.038E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.003E+01, 2.049E+01, 2.308E+01, 2.884E+01
 7.502E+01, 1.906E+01, 2.142E+01, 2.673E+01
 8.003E+01, 1.925E+01, 2.159E+01, 2.683E+01
 8.500E+01, 1.915E+01, 2.149E+01, 2.674E+01
 9.002E+01, 1.919E+01, 2.152E+01, 2.673E+01
 9.501E+01, 1.908E+01, 2.143E+01, 2.665E+01
 1.000E+02, 1.904E+01, 2.135E+01, 2.648E+01
 1.050E+02, 1.892E+01, 2.124E+01, 2.639E+01
 1.100E+02, 1.898E+01, 2.130E+01, 2.645E+01
 1.150E+02, 1.893E+01, 2.124E+01, 2.639E+01
 1.200E+02, 1.881E+01, 2.112E+01, 2.626E+01
 1.250E+02, 1.885E+01, 2.114E+01, 2.625E+01
 1.300E+02, 1.882E+01, 2.112E+01, 2.623E+01
 1.340E+02, 1.877E+01, 2.108E+01, 2.621E+01
