m,kW
Height,HRR
 4.500E+00, 1.131E+06
 1.350E+01, 1.777E+06
 2.250E+01, 2.018E+06
 3.150E+01, 1.636E+06
 4.050E+01, 1.339E+06
 4.950E+01, 1.185E+06
 5.850E+01, 1.071E+06
 6.750E+01, 9.584E+05
 7.650E+01, 8.408E+05
 8.550E+01, 7.188E+05
 9.450E+01, 5.901E+05
 1.035E+02, 4.690E+05
 1.125E+02, 3.549E+05
 1.215E+02, 2.604E+05
 1.305E+02, 1.889E+05
 1.395E+02, 1.379E+05
 1.485E+02, 1.009E+05
 1.575E+02, 7.404E+04
 1.665E+02, 5.415E+04
 1.755E+02, 3.972E+04
 1.845E+02, 2.907E+04
 1.935E+02, 2.132E+04
 2.025E+02, 1.558E+04
 2.115E+02, 1.148E+04
 2.205E+02, 8.454E+03
 2.295E+02, 6.276E+03
 2.385E+02, 4.632E+03
 2.475E+02, 3.428E+03
 2.565E+02, 2.533E+03
 2.655E+02, 1.879E+03
 2.745E+02, 1.387E+03
 2.835E+02, 1.038E+03
 2.925E+02, 7.670E+02
 3.015E+02, 5.752E+02
 3.105E+02, 4.277E+02
 3.195E+02, 3.198E+02
 3.285E+02, 2.386E+02
 3.375E+02, 1.382E+02
