m,kW
Height,HRR
 5.690E-02, 1.643E+02
 1.756E-01, 6.327E+01
 2.944E-01, 2.832E+01
 4.131E-01, 1.528E+01
 5.319E-01, 9.422E+00
 6.506E-01, 6.289E+00
 7.694E-01, 4.375E+00
 8.881E-01, 3.111E+00
 1.007E+00, 2.234E+00
 1.126E+00, 1.619E+00
 1.244E+00, 1.180E+00
 1.363E+00, 8.644E-01
 1.482E+00, 6.321E-01
 1.601E+00, 4.633E-01
 1.719E+00, 3.391E-01
 1.838E+00, 2.486E-01
 1.957E+00, 1.814E-01
 2.076E+00, 1.329E-01
 2.194E+00, 9.758E-02
 2.313E+00, 7.172E-02
 2.432E+00, 5.267E-02
 2.551E+00, 3.875E-02
 2.669E+00, 2.852E-02
 2.788E+00, 2.105E-02
 2.907E+00, 1.552E-02
 3.026E+00, 1.154E-02
 3.144E+00, 8.562E-03
 3.263E+00, 6.371E-03
 3.382E+00, 4.701E-03
 3.501E+00, 3.477E-03
 3.619E+00, 2.570E-03
 3.738E+00, 1.916E-03
 3.857E+00, 1.420E-03
 3.976E+00, 1.064E-03
 4.094E+00, 7.922E-04
 4.213E+00, 5.967E-04
 4.332E+00, 4.516E-04
 4.451E+00, 2.682E-04
