s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.012E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.501E+01, 2.476E-01, 2.983E-01, 4.096E-01
 3.000E+01, 6.612E-01, 7.925E-01, 1.078E+00
 3.500E+01, 8.243E-01, 9.890E-01, 1.347E+00
 4.001E+01, 9.170E-01, 1.100E+00, 1.497E+00
 4.501E+01, 9.723E-01, 1.169E+00, 1.598E+00
 4.700E+01, 9.979E-01, 1.198E+00, 1.635E+00
