m,kW
Height,HRR
 5.690E-02, 2.150E+02
 1.756E-01, 9.096E+01
 2.944E-01, 4.476E+01
 4.131E-01, 2.665E+01
 5.319E-01, 1.873E+01
 6.506E-01, 1.421E+01
 7.694E-01, 1.091E+01
 8.881E-01, 8.338E+00
 1.007E+00, 6.269E+00
 1.126E+00, 4.675E+00
 1.244E+00, 3.465E+00
 1.363E+00, 2.557E+00
 1.482E+00, 1.879E+00
 1.601E+00, 1.381E+00
 1.719E+00, 1.016E+00
 1.838E+00, 7.496E-01
 1.957E+00, 5.532E-01
 2.076E+00, 4.088E-01
 2.194E+00, 3.014E-01
 2.313E+00, 2.223E-01
 2.432E+00, 1.638E-01
 2.551E+00, 1.212E-01
 2.669E+00, 8.998E-02
 2.788E+00, 6.673E-02
 2.907E+00, 4.936E-02
 3.026E+00, 3.661E-02
 3.144E+00, 2.724E-02
 3.263E+00, 2.039E-02
 3.382E+00, 1.526E-02
 3.501E+00, 1.150E-02
 3.619E+00, 8.653E-03
 3.738E+00, 6.559E-03
 3.857E+00, 4.957E-03
 3.976E+00, 3.780E-03
 4.094E+00, 2.863E-03
 4.213E+00, 2.188E-03
 4.332E+00, 1.675E-03
 4.451E+00, 9.967E-04
