m,kW
Height,HRR
 1.130E-02, 8.466E+01
 3.380E-02, 3.244E+01
 5.630E-02, 1.299E+01
 7.880E-02, 6.412E+00
 1.013E-01, 3.816E+00
 1.238E-01, 2.558E+00
 1.463E-01, 1.833E+00
 1.688E-01, 1.368E+00
 1.913E-01, 1.049E+00
 2.138E-01, 8.182E-01
 2.363E-01, 6.468E-01
 2.588E-01, 5.161E-01
 2.813E-01, 4.150E-01
 3.038E-01, 3.360E-01
 3.263E-01, 2.731E-01
 3.488E-01, 2.225E-01
 3.713E-01, 1.821E-01
 3.938E-01, 1.495E-01
 4.163E-01, 1.229E-01
 4.388E-01, 1.011E-01
 4.613E-01, 8.336E-02
 4.838E-01, 6.887E-02
 5.063E-01, 5.701E-02
 5.288E-01, 4.722E-02
 5.513E-01, 3.914E-02
 5.738E-01, 3.246E-02
 5.963E-01, 2.694E-02
 6.188E-01, 2.236E-02
 6.413E-01, 1.857E-02
 6.638E-01, 1.544E-02
 6.863E-01, 1.285E-02
 7.088E-01, 1.070E-02
 7.313E-01, 8.908E-03
 7.538E-01, 7.404E-03
 7.763E-01, 6.175E-03
 7.988E-01, 5.164E-03
 8.213E-01, 4.330E-03
 8.438E-01, 3.622E-03
 8.664E-01, 3.028E-03
 8.889E-01, 2.531E-03
 9.114E-01, 2.117E-03
 9.339E-01, 1.765E-03
 9.564E-01, 1.471E-03
 9.789E-01, 1.228E-03
 1.001E+00, 1.027E-03
 1.024E+00, 8.572E-04
 1.046E+00, 7.141E-04
 1.069E+00, 5.950E-04
 1.091E+00, 4.961E-04
 1.114E+00, 4.133E-04
 1.136E+00, 3.443E-04
 1.159E+00, 2.866E-04
 1.181E+00, 2.379E-04
 1.204E+00, 1.969E-04
 1.226E+00, 1.630E-04
 1.249E+00, 1.347E-04
 1.271E+00, 1.112E-04
 1.294E+00, 9.181E-05
 1.316E+00, 7.577E-05
 1.339E+00, 6.241E-05
 1.361E+00, 5.135E-05
 1.384E+00, 4.221E-05
 1.406E+00, 3.474E-05
 1.429E+00, 2.865E-05
 1.451E+00, 2.369E-05
 1.474E+00, 1.961E-05
 1.496E+00, 1.626E-05
 1.519E+00, 1.349E-05
 1.541E+00, 1.119E-05
 1.564E+00, 9.298E-06
 1.586E+00, 7.741E-06
 1.609E+00, 6.434E-06
 1.631E+00, 5.337E-06
 1.654E+00, 4.423E-06
 1.676E+00, 3.666E-06
 1.699E+00, 3.038E-06
 1.721E+00, 2.518E-06
 1.744E+00, 2.085E-06
 1.766E+00, 1.728E-06
 1.789E+00, 1.432E-06
 1.811E+00, 1.188E-06
 1.834E+00, 9.866E-07
 1.856E+00, 8.189E-07
 1.879E+00, 6.794E-07
 1.901E+00, 5.637E-07
 1.924E+00, 4.672E-07
 1.946E+00, 3.867E-07
 1.969E+00, 3.195E-07
 1.991E+00, 2.635E-07
 2.014E+00, 2.169E-07
 2.036E+00, 1.780E-07
 2.059E+00, 1.456E-07
 2.081E+00, 1.188E-07
 2.104E+00, 9.672E-08
 2.126E+00, 7.848E-08
 2.149E+00, 6.336E-08
 2.171E+00, 5.081E-08
 2.194E+00, 4.050E-08
 2.216E+00, 3.212E-08
 2.239E+00, 2.539E-08
 2.261E+00, 1.990E-08
 2.284E+00, 1.546E-08
 2.306E+00, 1.194E-08
 2.329E+00, 9.089E-09
 2.351E+00, 6.811E-09
 2.374E+00, 5.052E-09
 2.396E+00, 3.706E-09
 2.419E+00, 2.701E-09
 2.441E+00, 1.963E-09
 2.464E+00, 1.438E-09
 2.486E+00, 1.054E-09
 2.509E+00, 7.594E-10
 2.531E+00, 5.354E-10
 2.554E+00, 3.583E-10
 2.576E+00, 2.409E-10
 2.599E+00, 1.580E-10
 2.621E+00, 1.103E-10
 2.644E+00, 7.984E-11
 2.666E+00, 5.608E-11
 2.689E+00, 4.128E-11
 2.711E+00, 3.114E-11
 2.734E+00, 2.040E-11
 2.756E+00, 1.314E-11
 2.779E+00, 8.885E-12
 2.801E+00, 5.017E-12
 2.824E+00, 2.910E-12
 2.846E+00, 1.109E-12
 2.869E+00, 8.274E-13
 2.891E+00, 3.570E-13
 2.914E+00, 4.244E-13
 2.936E+00, 3.509E-13
 2.959E+00, 2.250E-13
 2.981E+00, 7.809E-14
 3.004E+00, 1.774E-13
 3.026E+00, 0.000E+00
 3.049E+00, 1.153E-13
 3.071E+00, 1.485E-13
 3.094E+00, 2.418E-13
 3.116E+00, 1.500E-13
 3.139E+00, 2.417E-13
 3.161E+00, 1.690E-13
 3.184E+00, 1.014E-13
 3.206E+00, 1.513E-13
 3.229E+00, 8.596E-14
 3.251E+00, 1.667E-13
 3.274E+00, 0.000E+00
 3.296E+00, 0.000E+00
 3.319E+00, 0.000E+00
 3.341E+00, 0.000E+00
 3.364E+00, 0.000E+00
 3.386E+00, 1.292E-13
 3.409E+00, 0.000E+00
