s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.010E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.501E+01, 5.815E+00, 6.513E+00, 8.117E+00
 5.001E+01, 6.952E+00, 7.745E+00, 9.526E+00
 5.502E+01, 7.045E+00, 7.871E+00, 9.714E+00
 6.001E+01, 7.173E+00, 8.005E+00, 9.855E+00
 6.501E+01, 7.242E+00, 8.090E+00, 9.974E+00
 7.002E+01, 7.244E+00, 8.092E+00, 9.969E+00
 7.501E+01, 7.242E+00, 8.098E+00, 9.988E+00
 8.001E+01, 7.228E+00, 8.088E+00, 9.981E+00
 8.500E+01, 7.238E+00, 8.096E+00, 9.983E+00
