s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.004E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+01, 2.937E+01, 3.080E+01, 3.365E+01
 8.501E+01, 2.993E+01, 3.147E+01, 3.444E+01
 9.001E+01, 3.102E+01, 3.262E+01, 3.560E+01
 9.500E+01, 3.129E+01, 3.288E+01, 3.584E+01
 1.000E+02, 3.142E+01, 3.301E+01, 3.597E+01
 1.050E+02, 3.138E+01, 3.295E+01, 3.588E+01
 1.100E+02, 3.124E+01, 3.282E+01, 3.579E+01
 1.150E+02, 3.114E+01, 3.272E+01, 3.566E+01
 1.200E+02, 3.095E+01, 3.253E+01, 3.548E+01
 1.250E+02, 3.093E+01, 3.252E+01, 3.549E+01
 1.300E+02, 3.084E+01, 3.242E+01, 3.538E+01
 1.350E+02, 3.075E+01, 3.232E+01, 3.527E+01
 1.400E+02, 3.062E+01, 3.218E+01, 3.510E+01
 1.450E+02, 3.059E+01, 3.215E+01, 3.509E+01
 1.500E+02, 3.067E+01, 3.223E+01, 3.517E+01
 1.540E+02, 3.073E+01, 3.229E+01, 3.523E+01
