m,kW
Height,HRR
 8.810E-02, 3.844E+02
 2.594E-01, 1.825E+02
 4.306E-01, 9.945E+01
 6.019E-01, 6.314E+01
 7.731E-01, 4.600E+01
 9.444E-01, 3.497E+01
 1.116E+00, 2.638E+01
 1.287E+00, 1.937E+01
 1.458E+00, 1.403E+01
 1.629E+00, 1.014E+01
 1.801E+00, 7.318E+00
 1.972E+00, 5.281E+00
 2.143E+00, 3.808E+00
 2.314E+00, 2.763E+00
 2.486E+00, 2.001E+00
 2.657E+00, 1.454E+00
 2.828E+00, 1.052E+00
 2.999E+00, 7.679E-01
 3.171E+00, 5.587E-01
 3.342E+00, 4.085E-01
 3.513E+00, 2.990E-01
 3.684E+00, 2.198E-01
 3.856E+00, 1.615E-01
 4.027E+00, 1.191E-01
 4.198E+00, 8.773E-02
 4.369E+00, 6.484E-02
 4.541E+00, 4.801E-02
 4.712E+00, 3.581E-02
 4.883E+00, 2.659E-02
 5.054E+00, 1.982E-02
 5.226E+00, 1.477E-02
 5.397E+00, 1.108E-02
 5.568E+00, 8.263E-03
 5.739E+00, 6.216E-03
 5.911E+00, 4.636E-03
 6.082E+00, 3.497E-03
 6.253E+00, 2.651E-03
 6.424E+00, 1.562E-03
