m,kW
Height,HRR
 2.813E-01, 1.129E+03
 8.498E-01, 1.630E+03
 1.418E+00, 1.969E+03
 1.987E+00, 1.660E+03
 2.555E+00, 1.396E+03
 3.124E+00, 1.236E+03
 3.692E+00, 1.120E+03
 4.261E+00, 1.014E+03
 4.829E+00, 8.978E+02
 5.398E+00, 7.633E+02
 5.966E+00, 6.179E+02
 6.535E+00, 4.699E+02
 7.103E+00, 3.422E+02
 7.672E+00, 2.446E+02
 8.240E+00, 1.734E+02
 8.809E+00, 1.237E+02
 9.377E+00, 8.843E+01
 9.946E+00, 6.394E+01
 1.051E+01, 4.629E+01
 1.108E+01, 3.380E+01
 1.165E+01, 2.466E+01
 1.222E+01, 1.810E+01
 1.279E+01, 1.326E+01
 1.336E+01, 9.756E+00
 1.393E+01, 7.172E+00
 1.449E+01, 5.318E+00
 1.506E+01, 3.944E+00
 1.563E+01, 2.942E+00
 1.620E+01, 2.189E+00
 1.677E+01, 1.638E+00
 1.734E+01, 1.225E+00
 1.790E+01, 9.268E-01
 1.847E+01, 6.959E-01
 1.904E+01, 5.274E-01
 1.961E+01, 3.967E-01
 2.018E+01, 2.996E-01
 2.075E+01, 2.265E-01
 2.132E+01, 1.342E-01
