m,kW
Height,HRR
 1.230E-02, 1.189E+02
 4.199E-02, 6.284E+01
 7.167E-02, 3.246E+01
 1.014E-01, 2.087E+01
 1.310E-01, 1.581E+01
 1.607E-01, 1.304E+01
 1.904E-01, 1.123E+01
 2.201E-01, 9.920E+00
 2.498E-01, 8.904E+00
 2.795E-01, 8.103E+00
 3.092E-01, 7.434E+00
 3.389E-01, 6.871E+00
 3.685E-01, 6.401E+00
 3.982E-01, 6.000E+00
 4.279E-01, 5.661E+00
 4.576E-01, 5.363E+00
 4.873E-01, 5.099E+00
 5.170E-01, 4.859E+00
 5.467E-01, 4.644E+00
 5.763E-01, 4.451E+00
 6.060E-01, 4.274E+00
 6.357E-01, 4.108E+00
 6.654E-01, 3.954E+00
 6.951E-01, 3.814E+00
 7.248E-01, 3.682E+00
 7.545E-01, 3.559E+00
 7.842E-01, 3.448E+00
 8.138E-01, 3.337E+00
 8.435E-01, 3.224E+00
 8.732E-01, 3.114E+00
 9.029E-01, 3.018E+00
 9.326E-01, 2.919E+00
 9.623E-01, 2.816E+00
 9.920E-01, 2.710E+00
 1.022E+00, 2.597E+00
 1.051E+00, 2.481E+00
 1.081E+00, 2.368E+00
 1.111E+00, 2.257E+00
 1.140E+00, 2.149E+00
 1.170E+00, 2.046E+00
 1.200E+00, 1.947E+00
 1.229E+00, 1.853E+00
 1.259E+00, 1.766E+00
 1.289E+00, 1.685E+00
 1.319E+00, 1.606E+00
 1.348E+00, 1.530E+00
 1.378E+00, 1.456E+00
 1.408E+00, 1.382E+00
 1.437E+00, 1.310E+00
 1.467E+00, 1.237E+00
 1.497E+00, 1.169E+00
 1.526E+00, 1.105E+00
 1.556E+00, 1.046E+00
 1.586E+00, 9.894E-01
 1.615E+00, 9.315E-01
 1.645E+00, 8.704E-01
 1.675E+00, 8.122E-01
 1.704E+00, 7.573E-01
 1.734E+00, 7.041E-01
 1.764E+00, 6.541E-01
 1.794E+00, 6.104E-01
 1.823E+00, 5.709E-01
 1.853E+00, 5.328E-01
 1.883E+00, 4.974E-01
 1.912E+00, 4.638E-01
 1.942E+00, 4.329E-01
 1.972E+00, 4.062E-01
 2.001E+00, 3.835E-01
 2.031E+00, 3.613E-01
 2.061E+00, 3.395E-01
 2.090E+00, 3.188E-01
 2.120E+00, 2.965E-01
 2.150E+00, 2.738E-01
 2.179E+00, 2.525E-01
 2.209E+00, 2.334E-01
 2.239E+00, 2.155E-01
 2.268E+00, 1.973E-01
 2.298E+00, 1.797E-01
 2.328E+00, 1.622E-01
 2.358E+00, 1.456E-01
 2.387E+00, 1.304E-01
 2.417E+00, 1.175E-01
 2.447E+00, 1.055E-01
 2.476E+00, 9.475E-02
 2.506E+00, 8.529E-02
 2.536E+00, 7.662E-02
 2.565E+00, 6.910E-02
 2.595E+00, 6.212E-02
 2.625E+00, 5.625E-02
 2.654E+00, 5.091E-02
 2.684E+00, 4.598E-02
 2.714E+00, 4.154E-02
 2.743E+00, 3.792E-02
 2.773E+00, 3.493E-02
 2.803E+00, 3.262E-02
 2.833E+00, 3.054E-02
 2.862E+00, 2.822E-02
 2.892E+00, 2.592E-02
 2.922E+00, 2.390E-02
 2.951E+00, 2.216E-02
 2.981E+00, 2.056E-02
 3.011E+00, 1.919E-02
 3.040E+00, 1.814E-02
 3.070E+00, 1.717E-02
 3.100E+00, 1.641E-02
 3.129E+00, 1.551E-02
 3.159E+00, 1.450E-02
 3.189E+00, 1.321E-02
 3.218E+00, 1.186E-02
 3.248E+00, 1.071E-02
 3.278E+00, 9.767E-03
 3.308E+00, 9.005E-03
 3.337E+00, 8.310E-03
 3.367E+00, 7.665E-03
 3.397E+00, 6.852E-03
 3.426E+00, 6.056E-03
 3.456E+00, 5.372E-03
 3.486E+00, 4.615E-03
 3.515E+00, 3.863E-03
 3.545E+00, 3.182E-03
 3.575E+00, 2.550E-03
 3.604E+00, 2.021E-03
 3.634E+00, 1.607E-03
 3.664E+00, 1.303E-03
 3.693E+00, 1.055E-03
 3.723E+00, 8.622E-04
 3.753E+00, 6.973E-04
 3.783E+00, 5.566E-04
 3.812E+00, 4.395E-04
 3.842E+00, 3.528E-04
 3.872E+00, 2.879E-04
 3.901E+00, 2.306E-04
 3.931E+00, 1.854E-04
 3.961E+00, 1.469E-04
 3.990E+00, 1.192E-04
 4.020E+00, 9.597E-05
 4.050E+00, 7.926E-05
 4.079E+00, 6.168E-05
 4.109E+00, 4.986E-05
 4.139E+00, 3.970E-05
 4.168E+00, 3.201E-05
 4.198E+00, 2.593E-05
 4.228E+00, 2.039E-05
 4.258E+00, 1.666E-05
 4.287E+00, 1.331E-05
 4.317E+00, 1.100E-05
 4.347E+00, 9.069E-06
 4.376E+00, 7.291E-06
 4.406E+00, 5.956E-06
 4.436E+00, 4.836E-06
 4.465E+00, 4.063E-06
 4.495E+00, 2.486E-06
