s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.013E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.002E+01, 4.532E+00, 5.127E+00, 6.425E+00
 4.502E+01, 4.616E+00, 5.230E+00, 6.597E+00
 5.001E+01, 4.543E+00, 5.165E+00, 6.535E+00
 5.501E+01, 4.629E+00, 5.252E+00, 6.629E+00
 6.001E+01, 4.628E+00, 5.250E+00, 6.622E+00
 6.500E+01, 4.709E+00, 5.338E+00, 6.721E+00
 7.001E+01, 4.740E+00, 5.371E+00, 6.761E+00
 7.400E+01, 4.713E+00, 5.344E+00, 6.731E+00
