s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00, 1.801E-15,-5.551E-20, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.801E-15, 0.000E+00, 0.000E+00, 0.000E+00
 5.004E+00, 7.596E+02, 0.000E+00,-2.049E+02,-2.959E+02,-4.270E+00,-4.206E-02, 0.000E+00, 0.000E+00, 2.529E+02, 2.545E+02, 0.000E+00, 1.713E-02, 0.000E+00
 1.000E+01, 9.071E+02, 0.000E+00,-2.329E+02,-6.962E+02,-5.312E+00,-4.957E-02, 0.000E+00, 0.000E+00,-2.629E+01,-2.730E+01, 0.000E+00, 1.980E-02, 0.000E+00
 1.500E+01, 9.023E+02, 0.000E+00,-2.314E+02,-6.634E+02,-4.135E+00,-4.955E-02, 0.000E+00, 0.000E+00, 3.534E+00, 3.292E+00, 0.000E+00, 1.980E-02, 0.000E+00
 2.000E+01, 9.127E+02, 0.000E+00,-2.336E+02,-6.871E+02,-4.364E+00,-4.946E-02, 0.000E+00, 0.000E+00,-1.164E+01,-1.245E+01, 0.000E+00, 1.980E-02, 0.000E+00
 2.500E+01, 8.989E+02, 0.000E+00,-2.301E+02,-6.535E+02,-4.882E+00,-4.954E-02, 0.000E+00, 0.000E+00, 1.106E+01, 1.039E+01, 0.000E+00, 1.980E-02, 0.000E+00
 3.000E+01, 9.137E+02, 0.000E+00,-2.340E+02,-6.817E+02,-4.361E+00,-4.958E-02, 0.000E+00, 0.000E+00,-6.069E+00,-6.365E+00, 0.000E+00, 1.980E-02, 0.000E+00
 3.500E+01, 9.041E+02, 0.000E+00,-2.315E+02,-6.702E+02,-5.017E+00,-4.956E-02, 0.000E+00, 0.000E+00,-2.056E+00,-2.713E+00, 0.000E+00, 1.980E-02, 0.000E+00
 4.000E+01, 9.065E+02, 0.000E+00,-2.321E+02,-6.558E+02,-4.440E+00,-4.976E-02, 0.000E+00, 0.000E+00, 1.471E+01, 1.415E+01, 0.000E+00, 1.980E-02, 0.000E+00
 4.500E+01, 9.087E+02, 0.000E+00,-2.334E+02,-6.775E+02,-4.398E+00,-4.968E-02, 0.000E+00, 0.000E+00,-6.000E+00,-6.624E+00, 0.000E+00, 1.980E-02, 0.000E+00
 4.700E+01, 9.032E+02, 0.000E+00,-2.328E+02,-6.449E+02,-4.476E+00,-4.998E-02, 0.000E+00, 0.000E+00, 2.167E+01, 2.095E+01, 0.000E+00, 1.980E-02, 0.000E+00
