m,kW
Height,HRR
 2.719E-02, 1.556E+02
 8.656E-02, 7.131E+01
 1.459E-01, 3.359E+01
 2.053E-01, 2.044E+01
 2.647E-01, 1.545E+01
 3.240E-01, 1.312E+01
 3.834E-01, 1.181E+01
 4.428E-01, 1.091E+01
 5.022E-01, 1.021E+01
 5.615E-01, 9.635E+00
 6.209E-01, 9.145E+00
 6.803E-01, 8.689E+00
 7.396E-01, 8.208E+00
 7.990E-01, 7.710E+00
 8.584E-01, 7.207E+00
 9.178E-01, 6.696E+00
 9.771E-01, 6.174E+00
 1.036E+00, 5.669E+00
 1.096E+00, 5.146E+00
 1.155E+00, 4.636E+00
 1.215E+00, 4.165E+00
 1.274E+00, 3.732E+00
 1.333E+00, 3.338E+00
 1.393E+00, 2.973E+00
 1.452E+00, 2.642E+00
 1.511E+00, 2.332E+00
 1.571E+00, 2.038E+00
 1.630E+00, 1.766E+00
 1.690E+00, 1.516E+00
 1.749E+00, 1.293E+00
 1.808E+00, 1.096E+00
 1.868E+00, 9.252E-01
 1.927E+00, 7.737E-01
 1.986E+00, 6.452E-01
 2.046E+00, 5.311E-01
 2.105E+00, 4.346E-01
 2.165E+00, 3.548E-01
 2.224E+00, 2.887E-01
 2.283E+00, 2.342E-01
 2.343E+00, 1.880E-01
 2.402E+00, 1.499E-01
 2.461E+00, 1.192E-01
 2.521E+00, 9.442E-02
 2.580E+00, 7.501E-02
 2.640E+00, 5.957E-02
 2.699E+00, 4.747E-02
 2.758E+00, 3.778E-02
 2.818E+00, 3.003E-02
 2.877E+00, 2.385E-02
 2.936E+00, 1.899E-02
 2.996E+00, 1.509E-02
 3.055E+00, 1.198E-02
 3.114E+00, 9.471E-03
 3.174E+00, 7.540E-03
 3.233E+00, 6.045E-03
 3.293E+00, 4.858E-03
 3.352E+00, 3.893E-03
 3.411E+00, 3.122E-03
 3.471E+00, 2.506E-03
 3.530E+00, 2.014E-03
 3.589E+00, 1.625E-03
 3.649E+00, 1.311E-03
 3.708E+00, 1.053E-03
 3.768E+00, 8.442E-04
 3.827E+00, 6.738E-04
 3.886E+00, 5.375E-04
 3.946E+00, 4.295E-04
 4.005E+00, 3.437E-04
 4.064E+00, 2.760E-04
 4.124E+00, 2.220E-04
 4.183E+00, 1.772E-04
 4.243E+00, 1.430E-04
 4.302E+00, 1.150E-04
 4.361E+00, 9.280E-05
 4.421E+00, 7.599E-05
 4.480E+00, 4.522E-05
