s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.002E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.004E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.505E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.505E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.006E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.505E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.005E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.004E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.504E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.051E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.100E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.150E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.250E+02, 7.072E+01, 7.895E+01, 9.702E+01
 1.300E+02, 6.711E+01, 7.505E+01, 9.223E+01
 1.350E+02, 6.876E+01, 7.675E+01, 9.407E+01
 1.400E+02, 6.842E+01, 7.656E+01, 9.431E+01
 1.450E+02, 6.868E+01, 7.680E+01, 9.438E+01
 1.500E+02, 6.928E+01, 7.742E+01, 9.497E+01
 1.550E+02, 6.948E+01, 7.768E+01, 9.538E+01
 1.600E+02, 6.916E+01, 7.734E+01, 9.503E+01
 1.651E+02, 6.914E+01, 7.730E+01, 9.500E+01
 1.700E+02, 6.863E+01, 7.678E+01, 9.447E+01
 1.750E+02, 6.845E+01, 7.656E+01, 9.412E+01
 1.800E+02, 6.804E+01, 7.624E+01, 9.400E+01
 1.850E+02, 6.775E+01, 7.581E+01, 9.329E+01
 1.900E+02, 6.810E+01, 7.617E+01, 9.367E+01
 1.951E+02, 6.809E+01, 7.617E+01, 9.368E+01
 2.000E+02, 6.833E+01, 7.642E+01, 9.396E+01
 2.050E+02, 6.840E+01, 7.649E+01, 9.404E+01
 2.100E+02, 6.845E+01, 7.654E+01, 9.410E+01
 2.150E+02, 6.806E+01, 7.610E+01, 9.356E+01
 2.201E+02, 6.801E+01, 7.605E+01, 9.349E+01
 2.250E+02, 6.783E+01, 7.585E+01, 9.326E+01
 2.300E+02, 6.769E+01, 7.571E+01, 9.317E+01
 2.350E+02, 6.762E+01, 7.567E+01, 9.319E+01
 2.400E+02, 6.757E+01, 7.562E+01, 9.316E+01
 2.440E+02, 6.769E+01, 7.575E+01, 9.330E+01
