m,kW
Height,HRR
 5.850E-02, 3.148E+02
 1.715E-01, 1.771E+02
 2.844E-01, 1.035E+02
 3.974E-01, 7.259E+01
 5.103E-01, 6.009E+01
 6.233E-01, 5.517E+01
 7.362E-01, 5.319E+01
 8.492E-01, 5.240E+01
 9.621E-01, 5.181E+01
 1.075E+00, 5.107E+01
 1.188E+00, 5.024E+01
 1.301E+00, 4.900E+01
 1.414E+00, 4.727E+01
 1.527E+00, 4.497E+01
 1.640E+00, 4.230E+01
 1.753E+00, 3.935E+01
 1.866E+00, 3.621E+01
 1.979E+00, 3.266E+01
 2.092E+00, 2.903E+01
 2.205E+00, 2.543E+01
 2.318E+00, 2.203E+01
 2.431E+00, 1.885E+01
 2.543E+00, 1.585E+01
 2.656E+00, 1.322E+01
 2.769E+00, 1.090E+01
 2.882E+00, 8.858E+00
 2.995E+00, 7.136E+00
 3.108E+00, 5.669E+00
 3.221E+00, 4.477E+00
 3.334E+00, 3.501E+00
 3.447E+00, 2.731E+00
 3.560E+00, 2.122E+00
 3.673E+00, 1.643E+00
 3.786E+00, 1.273E+00
 3.899E+00, 9.841E-01
 4.012E+00, 7.599E-01
 4.125E+00, 5.873E-01
 4.238E+00, 4.531E-01
 4.351E+00, 3.498E-01
 4.464E+00, 2.701E-01
 4.577E+00, 2.095E-01
 4.690E+00, 1.632E-01
 4.803E+00, 1.270E-01
 4.915E+00, 9.919E-02
 5.028E+00, 7.753E-02
 5.141E+00, 6.058E-02
 5.254E+00, 4.756E-02
 5.367E+00, 3.733E-02
 5.480E+00, 2.919E-02
 5.593E+00, 2.282E-02
 5.706E+00, 1.784E-02
 5.819E+00, 1.396E-02
 5.932E+00, 1.097E-02
 6.045E+00, 8.694E-03
 6.158E+00, 6.903E-03
 6.271E+00, 5.482E-03
 6.384E+00, 4.337E-03
 6.497E+00, 3.446E-03
 6.610E+00, 2.739E-03
 6.723E+00, 2.175E-03
 6.836E+00, 1.732E-03
 6.949E+00, 1.385E-03
 7.062E+00, 1.105E-03
 7.175E+00, 8.808E-04
 7.288E+00, 7.016E-04
 7.400E+00, 5.619E-04
 7.513E+00, 4.486E-04
 7.626E+00, 3.595E-04
 7.739E+00, 2.862E-04
 7.852E+00, 2.291E-04
 7.965E+00, 1.820E-04
 8.078E+00, 1.456E-04
 8.191E+00, 1.159E-04
 8.304E+00, 9.235E-05
 8.417E+00, 7.434E-05
 8.530E+00, 4.426E-05
