s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.002E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 2.970E+00, 3.152E+00, 3.510E+00
 3.500E+01, 3.063E+00, 3.246E+00, 3.590E+00
 4.000E+01, 3.060E+00, 3.246E+00, 3.592E+00
 4.500E+01, 3.091E+00, 3.277E+00, 3.625E+00
 5.000E+01, 3.069E+00, 3.255E+00, 3.599E+00
 5.400E+01, 3.076E+00, 3.263E+00, 3.608E+00
