s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.026E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.004E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.503E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.001E+01, 2.650E+01, 2.951E+01, 3.612E+01
 8.503E+01, 2.751E+01, 3.077E+01, 3.794E+01
 9.003E+01, 2.797E+01, 3.114E+01, 3.816E+01
 9.501E+01, 2.751E+01, 3.068E+01, 3.767E+01
 1.000E+02, 2.797E+01, 3.116E+01, 3.817E+01
 1.050E+02, 2.736E+01, 3.053E+01, 3.753E+01
 1.100E+02, 2.723E+01, 3.042E+01, 3.744E+01
 1.150E+02, 2.696E+01, 3.012E+01, 3.710E+01
 1.200E+02, 2.668E+01, 2.985E+01, 3.682E+01
 1.250E+02, 2.650E+01, 2.966E+01, 3.662E+01
 1.300E+02, 2.635E+01, 2.952E+01, 3.650E+01
 1.350E+02, 2.618E+01, 2.934E+01, 3.631E+01
 1.400E+02, 2.626E+01, 2.941E+01, 3.636E+01
 1.450E+02, 2.616E+01, 2.931E+01, 3.625E+01
 1.500E+02, 2.620E+01, 2.935E+01, 3.630E+01
 1.540E+02, 2.617E+01, 2.930E+01, 3.623E+01
