s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.002E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+01, 1.597E+01, 1.704E+01, 1.912E+01
 6.500E+01, 1.705E+01, 1.789E+01, 1.951E+01
 7.001E+01, 1.676E+01, 1.761E+01, 1.926E+01
 7.501E+01, 1.706E+01, 1.792E+01, 1.959E+01
 8.000E+01, 1.715E+01, 1.803E+01, 1.972E+01
 8.501E+01, 1.701E+01, 1.788E+01, 1.955E+01
 9.000E+01, 1.711E+01, 1.799E+01, 1.966E+01
 9.500E+01, 1.703E+01, 1.790E+01, 1.957E+01
 1.000E+02, 1.717E+01, 1.805E+01, 1.973E+01
 1.050E+02, 1.701E+01, 1.789E+01, 1.956E+01
 1.100E+02, 1.702E+01, 1.789E+01, 1.956E+01
 1.150E+02, 1.700E+01, 1.788E+01, 1.955E+01
 1.170E+02, 1.700E+01, 1.787E+01, 1.954E+01
