s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.020E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 7.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 8.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 9.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.050E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.100E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.150E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.250E+02, 7.897E+01, 8.469E+01, 9.630E+01
 1.300E+02, 7.867E+01, 8.442E+01, 9.642E+01
 1.350E+02, 7.767E+01, 8.331E+01, 9.499E+01
 1.400E+02, 7.748E+01, 8.298E+01, 9.433E+01
 1.450E+02, 7.796E+01, 8.349E+01, 9.494E+01
 1.500E+02, 7.748E+01, 8.295E+01, 9.432E+01
 1.550E+02, 7.770E+01, 8.312E+01, 9.438E+01
 1.600E+02, 7.824E+01, 8.372E+01, 9.507E+01
 1.650E+02, 7.850E+01, 8.399E+01, 9.533E+01
 1.700E+02, 7.795E+01, 8.349E+01, 9.495E+01
 1.750E+02, 7.777E+01, 8.326E+01, 9.464E+01
 1.800E+02, 7.782E+01, 8.332E+01, 9.469E+01
 1.850E+02, 7.770E+01, 8.320E+01, 9.460E+01
 1.900E+02, 7.781E+01, 8.333E+01, 9.476E+01
 1.950E+02, 7.777E+01, 8.329E+01, 9.472E+01
 2.000E+02, 7.794E+01, 8.349E+01, 9.496E+01
 2.050E+02, 7.799E+01, 8.352E+01, 9.498E+01
 2.100E+02, 7.780E+01, 8.331E+01, 9.475E+01
 2.150E+02, 7.763E+01, 8.314E+01, 9.458E+01
 2.200E+02, 7.712E+01, 8.261E+01, 9.406E+01
 2.250E+02, 7.662E+01, 8.212E+01, 9.356E+01
 2.300E+02, 7.628E+01, 8.177E+01, 9.320E+01
 2.350E+02, 7.583E+01, 8.129E+01, 9.267E+01
 2.400E+02, 7.564E+01, 8.109E+01, 9.243E+01
 2.440E+02, 7.537E+01, 8.081E+01, 9.213E+01
