m,kW
Height,HRR
 1.382E-01, 1.581E+03
 4.086E-01, 1.305E+03
 6.789E-01, 1.330E+03
 9.493E-01, 1.306E+03
 1.220E+00, 1.264E+03
 1.490E+00, 1.230E+03
 1.760E+00, 1.201E+03
 2.031E+00, 1.172E+03
 2.301E+00, 1.149E+03
 2.572E+00, 1.137E+03
 2.842E+00, 1.131E+03
 3.112E+00, 1.129E+03
 3.383E+00, 1.129E+03
 3.653E+00, 1.129E+03
 3.923E+00, 1.127E+03
 4.194E+00, 1.117E+03
 4.464E+00, 1.106E+03
 4.735E+00, 1.096E+03
 5.005E+00, 1.088E+03
 5.275E+00, 1.085E+03
 5.546E+00, 1.090E+03
 5.816E+00, 1.100E+03
 6.086E+00, 1.111E+03
 6.357E+00, 1.125E+03
 6.627E+00, 1.141E+03
 6.898E+00, 1.160E+03
 7.168E+00, 1.181E+03
 7.438E+00, 1.202E+03
 7.709E+00, 1.221E+03
 7.979E+00, 1.237E+03
 8.249E+00, 1.253E+03
 8.520E+00, 1.270E+03
 8.790E+00, 1.286E+03
 9.061E+00, 1.300E+03
 9.331E+00, 1.309E+03
 9.601E+00, 1.314E+03
 9.872E+00, 1.314E+03
 1.014E+01, 1.314E+03
 1.041E+01, 1.309E+03
 1.068E+01, 1.298E+03
 1.095E+01, 1.282E+03
 1.122E+01, 1.263E+03
 1.149E+01, 1.243E+03
 1.176E+01, 1.221E+03
 1.203E+01, 1.198E+03
 1.231E+01, 1.170E+03
 1.258E+01, 1.141E+03
 1.285E+01, 1.110E+03
 1.312E+01, 1.077E+03
 1.339E+01, 1.041E+03
 1.366E+01, 1.004E+03
 1.393E+01, 9.661E+02
 1.420E+01, 9.269E+02
 1.447E+01, 8.865E+02
 1.474E+01, 8.451E+02
 1.501E+01, 8.035E+02
 1.528E+01, 7.626E+02
 1.555E+01, 7.218E+02
 1.582E+01, 6.809E+02
 1.609E+01, 6.411E+02
 1.636E+01, 6.007E+02
 1.663E+01, 5.599E+02
 1.690E+01, 5.197E+02
 1.717E+01, 4.805E+02
 1.744E+01, 4.443E+02
 1.771E+01, 4.101E+02
 1.798E+01, 3.775E+02
 1.825E+01, 3.461E+02
 1.852E+01, 3.160E+02
 1.879E+01, 2.877E+02
 1.906E+01, 2.616E+02
 1.933E+01, 2.368E+02
 1.961E+01, 2.132E+02
 1.988E+01, 1.913E+02
 2.015E+01, 1.717E+02
 2.042E+01, 1.539E+02
 2.069E+01, 1.372E+02
 2.096E+01, 1.211E+02
 2.123E+01, 1.064E+02
 2.150E+01, 9.321E+01
 2.177E+01, 8.098E+01
 2.204E+01, 6.985E+01
 2.231E+01, 6.031E+01
 2.258E+01, 5.224E+01
 2.285E+01, 4.520E+01
 2.312E+01, 3.924E+01
 2.339E+01, 3.391E+01
 2.366E+01, 2.931E+01
 2.393E+01, 2.536E+01
 2.420E+01, 2.197E+01
 2.447E+01, 1.906E+01
 2.474E+01, 1.650E+01
 2.501E+01, 1.418E+01
 2.528E+01, 1.213E+01
 2.555E+01, 1.031E+01
 2.582E+01, 8.727E+00
 2.609E+01, 7.374E+00
 2.636E+01, 6.312E+00
 2.663E+01, 5.401E+00
 2.691E+01, 4.619E+00
 2.718E+01, 3.935E+00
 2.745E+01, 3.351E+00
 2.772E+01, 2.830E+00
 2.799E+01, 2.398E+00
 2.826E+01, 2.030E+00
 2.853E+01, 1.750E+00
 2.880E+01, 1.502E+00
 2.907E+01, 1.273E+00
 2.934E+01, 1.077E+00
 2.961E+01, 9.165E-01
 2.988E+01, 7.853E-01
 3.015E+01, 6.808E-01
 3.042E+01, 5.969E-01
 3.069E+01, 5.177E-01
 3.096E+01, 4.424E-01
 3.123E+01, 3.749E-01
 3.150E+01, 3.172E-01
 3.177E+01, 2.676E-01
 3.204E+01, 2.251E-01
 3.231E+01, 1.925E-01
 3.258E+01, 1.665E-01
 3.285E+01, 1.414E-01
 3.312E+01, 1.197E-01
 3.339E+01, 1.003E-01
 3.366E+01, 8.485E-02
 3.394E+01, 7.174E-02
 3.421E+01, 6.104E-02
 3.448E+01, 5.165E-02
 3.475E+01, 4.390E-02
 3.502E+01, 3.710E-02
 3.529E+01, 3.123E-02
 3.556E+01, 2.626E-02
 3.583E+01, 2.223E-02
 3.610E+01, 1.887E-02
 3.637E+01, 1.590E-02
 3.664E+01, 1.332E-02
 3.691E+01, 1.122E-02
 3.718E+01, 9.534E-03
 3.745E+01, 8.013E-03
 3.772E+01, 6.717E-03
 3.799E+01, 5.654E-03
 3.826E+01, 4.717E-03
 3.853E+01, 3.989E-03
 3.880E+01, 3.396E-03
 3.907E+01, 2.880E-03
 3.934E+01, 2.412E-03
 3.961E+01, 2.023E-03
 3.988E+01, 1.691E-03
 4.015E+01, 1.420E-03
 4.042E+01, 1.186E-03
 4.069E+01, 1.007E-03
 4.096E+01, 5.986E-04
