s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.002E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 4.044E-01, 4.277E-01, 4.678E-01
 3.000E+01, 1.085E+00, 1.156E+00, 1.284E+00
 3.500E+01, 1.377E+00, 1.467E+00, 1.632E+00
 4.000E+01, 1.580E+00, 1.684E+00, 1.870E+00
 4.500E+01, 1.689E+00, 1.800E+00, 1.998E+00
 4.700E+01, 1.728E+00, 1.841E+00, 2.043E+00
