s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.022E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.003E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 5.502E+01, 0.000E+00, 0.000E+00, 0.000E+00
 6.001E+01, 1.527E+01, 1.695E+01, 2.086E+01
 6.502E+01, 1.491E+01, 1.676E+01, 2.077E+01
 7.001E+01, 1.440E+01, 1.620E+01, 2.012E+01
 7.501E+01, 1.427E+01, 1.606E+01, 1.997E+01
 8.002E+01, 1.428E+01, 1.605E+01, 1.992E+01
 8.502E+01, 1.421E+01, 1.597E+01, 1.985E+01
 9.003E+01, 1.413E+01, 1.588E+01, 1.973E+01
 9.502E+01, 1.407E+01, 1.582E+01, 1.966E+01
 1.000E+02, 1.410E+01, 1.584E+01, 1.969E+01
 1.050E+02, 1.418E+01, 1.593E+01, 1.979E+01
 1.100E+02, 1.419E+01, 1.595E+01, 1.982E+01
 1.150E+02, 1.425E+01, 1.601E+01, 1.987E+01
 1.170E+02, 1.430E+01, 1.606E+01, 1.994E+01
