s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.010E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.002E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.501E+01, 3.216E+00, 3.642E+00, 4.572E+00
 4.001E+01, 3.089E+00, 3.515E+00, 4.448E+00
 4.500E+01, 3.071E+00, 3.498E+00, 4.437E+00
 5.001E+01, 3.119E+00, 3.546E+00, 4.489E+00
 5.501E+01, 3.199E+00, 3.629E+00, 4.579E+00
 6.000E+01, 3.228E+00, 3.660E+00, 4.609E+00
 6.200E+01, 3.222E+00, 3.653E+00, 4.602E+00
