m,kW
Height,HRR
 3.303E-01, 4.931E+03
 1.008E+00, 5.306E+03
 1.686E+00, 6.018E+03
 2.363E+00, 6.901E+03
 3.041E+00, 7.181E+03
 3.719E+00, 7.274E+03
 4.396E+00, 7.321E+03
 5.074E+00, 7.391E+03
 5.752E+00, 7.464E+03
 6.429E+00, 7.549E+03
 7.107E+00, 7.645E+03
 7.785E+00, 7.733E+03
 8.462E+00, 7.825E+03
 9.140E+00, 7.966E+03
 9.818E+00, 8.124E+03
 1.050E+01, 8.296E+03
 1.117E+01, 8.510E+03
 1.185E+01, 8.769E+03
 1.253E+01, 8.970E+03
 1.321E+01, 9.127E+03
 1.388E+01, 9.220E+03
 1.456E+01, 9.249E+03
 1.524E+01, 9.258E+03
 1.592E+01, 9.257E+03
 1.659E+01, 9.298E+03
 1.727E+01, 9.402E+03
 1.795E+01, 9.553E+03
 1.863E+01, 9.723E+03
 1.931E+01, 9.919E+03
 1.998E+01, 1.013E+04
 2.066E+01, 1.037E+04
 2.134E+01, 1.063E+04
 2.202E+01, 1.092E+04
 2.269E+01, 1.122E+04
 2.337E+01, 1.153E+04
 2.405E+01, 1.182E+04
 2.473E+01, 1.206E+04
 2.540E+01, 1.230E+04
 2.608E+01, 1.253E+04
 2.676E+01, 1.277E+04
 2.744E+01, 1.300E+04
 2.812E+01, 1.323E+04
 2.879E+01, 1.344E+04
 2.947E+01, 1.359E+04
 3.015E+01, 1.367E+04
 3.083E+01, 1.371E+04
 3.150E+01, 1.370E+04
 3.218E+01, 1.369E+04
 3.286E+01, 1.363E+04
 3.354E+01, 1.352E+04
 3.421E+01, 1.337E+04
 3.489E+01, 1.319E+04
 3.557E+01, 1.299E+04
 3.625E+01, 1.274E+04
 3.693E+01, 1.246E+04
 3.760E+01, 1.214E+04
 3.828E+01, 1.181E+04
 3.896E+01, 1.143E+04
 3.964E+01, 1.100E+04
 4.031E+01, 1.055E+04
 4.099E+01, 1.008E+04
 4.167E+01, 9.597E+03
 4.235E+01, 9.110E+03
 4.302E+01, 8.611E+03
 4.370E+01, 8.122E+03
 4.438E+01, 7.639E+03
 4.506E+01, 7.173E+03
 4.573E+01, 6.708E+03
 4.641E+01, 6.255E+03
 4.709E+01, 5.817E+03
 4.777E+01, 5.395E+03
 4.845E+01, 4.987E+03
 4.912E+01, 4.589E+03
 4.980E+01, 4.198E+03
 5.048E+01, 3.832E+03
 5.116E+01, 3.506E+03
 5.183E+01, 3.198E+03
 5.251E+01, 2.907E+03
 5.319E+01, 2.629E+03
 5.387E+01, 2.365E+03
 5.454E+01, 2.117E+03
 5.522E+01, 1.886E+03
 5.590E+01, 1.669E+03
 5.658E+01, 1.475E+03
 5.726E+01, 1.304E+03
 5.793E+01, 1.149E+03
 5.861E+01, 1.012E+03
 5.929E+01, 8.891E+02
 5.997E+01, 7.790E+02
 6.064E+01, 6.810E+02
 6.132E+01, 5.942E+02
 6.200E+01, 5.192E+02
 6.268E+01, 4.521E+02
 6.335E+01, 3.926E+02
 6.403E+01, 3.405E+02
 6.471E+01, 2.949E+02
 6.539E+01, 2.556E+02
 6.607E+01, 2.204E+02
 6.674E+01, 1.898E+02
 6.742E+01, 1.634E+02
 6.810E+01, 1.405E+02
 6.878E+01, 1.200E+02
 6.945E+01, 1.030E+02
 7.013E+01, 8.826E+01
 7.081E+01, 7.614E+01
 7.149E+01, 6.579E+01
 7.216E+01, 5.678E+01
 7.284E+01, 4.876E+01
 7.352E+01, 4.180E+01
 7.420E+01, 3.572E+01
 7.488E+01, 3.044E+01
 7.555E+01, 2.608E+01
 7.623E+01, 2.243E+01
 7.691E+01, 1.943E+01
 7.759E+01, 1.672E+01
 7.826E+01, 1.436E+01
 7.894E+01, 1.215E+01
 7.962E+01, 1.018E+01
 8.030E+01, 8.546E+00
 8.097E+01, 7.259E+00
 8.165E+01, 6.193E+00
 8.233E+01, 5.238E+00
 8.301E+01, 4.412E+00
 8.368E+01, 3.735E+00
 8.436E+01, 3.182E+00
 8.504E+01, 2.701E+00
 8.572E+01, 2.305E+00
 8.640E+01, 1.971E+00
 8.707E+01, 1.667E+00
 8.775E+01, 1.391E+00
 8.843E+01, 1.162E+00
 8.911E+01, 9.760E-01
 8.978E+01, 8.199E-01
 9.046E+01, 6.847E-01
 9.114E+01, 5.706E-01
 9.182E+01, 4.781E-01
 9.249E+01, 3.975E-01
 9.317E+01, 3.292E-01
 9.385E+01, 2.710E-01
 9.453E+01, 2.253E-01
 9.521E+01, 1.872E-01
 9.588E+01, 1.561E-01
 9.656E+01, 1.303E-01
 9.724E+01, 1.089E-01
 9.792E+01, 9.133E-02
 9.859E+01, 7.647E-02
 9.927E+01, 6.437E-02
 9.995E+01, 5.409E-02
 1.006E+02, 4.600E-02
 1.013E+02, 3.853E-02
 1.020E+02, 3.276E-02
 1.027E+02, 1.996E-02
