s,m,m,m
Time,Lf_95,Lf_97,Lf_99
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.008E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.501E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 2.693E-01, 3.175E-01, 4.186E-01
 3.001E+01, 7.021E-01, 8.315E-01, 1.113E+00
 3.501E+01, 8.863E-01, 1.051E+00, 1.410E+00
 4.001E+01, 1.011E+00, 1.198E+00, 1.607E+00
 4.501E+01, 1.087E+00, 1.288E+00, 1.729E+00
 4.700E+01, 1.110E+00, 1.316E+00, 1.768E+00
