s,Pa,Pa,Pa,Pa,Pa,Pa,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,1/m,1/m,1/m,%/m,%/m,%/m,%/m,%/m,%/m
Time,SFP,CAP,PRES,POSTS,HA,CP,VIEW SF1V,VIEW SF1S,FAST SF1V,FAST SF1S,SIMPLEX SF1V,SIMPLEX SF1S,BI FLOW SF1,T SF1,VIEW SF2V,VIEW SF2S,FAST SF2V,FAST SF2S,SIMPLEX SF2V,SIMPLEX SF2S,BI FLOW SF2,T SF2,VIEW SF3V,VIEW SF3S,FAST SF3V,FAST SF3S,FM SF3S,SIMPLEX SF3V,SIMPLEX SF3S,BI FLOW SF3,T SF3,VIEW C1V,VIEW C1S,FAST C1V,FAST C1S,SIMPLEX C1V,SIMPLEX C1S,BI FLOW C1,BI FLOW C1,T C1,VIEW C2V,VIEW C2S,FAST C2V,FAST C2S,FM C2S,SIMPLEX C2V,SIMPLEX C2S,BI FLOW C2,BI FLOW C2,T C2,VIEW C3V,VIEW C3S,FAST C3V,FAST C3S,SIMPLEX C3V,SIMPLEX C3S,BI FLOW C3,BI FLOW C3,T C3,VIEW P1V,VIEW P1S,FAST P1V,FAST P1S,FM P1S,SIMPLEX P1V,SIMPLEX P1S,BI FLOW P1,T P1,VIEW P2V,VIEW P2S,FAST P2V,FAST P2S,SIMPLEX P2V,SIMPLEX P2S,BI FLOW P2,T P2,VIEW P3V,VIEW P3S,FAST P3V,FAST P3S,SIMPLEX P3V,SIMPLEX P3S,BI FLOW P3,T P3,EC_FM SF3S,EC_FM C2S,EC_FM P1S,ppm_FM SF3S,ppm_FM C2S,ppm_FM P1S,Avg_ppm_FM SF3S,Avg_ppm_FM C2S,Avg_ppm_FM P1S
-2.0000000E+001,-1.3713492E-005,-3.9335428E-006,-2.5121364E-005,-2.6011243E-005,-4.1112900E-005,-3.3526405E-005, 4.6225445E-003, 0.0000000E+000, 3.2644323E-003, 0.0000000E+000, 8.8231440E-003, 0.0000000E+000,-1.8174130E-003, 2.0000000E+001, 8.5173733E-003, 0.0000000E+000, 3.2539175E-003, 0.0000000E+000, 3.4834990E-003, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 1.4715160E-003, 0.0000000E+000, 3.6204997E-003, 0.0000000E+000, 0.0000000E+000, 7.9531632E-003, 0.0000000E+000,-4.2351159E-003, 2.0000000E+001, 1.0001701E-002, 0.0000000E+000, 1.0148465E-002, 0.0000000E+000, 5.3525105E-003, 0.0000000E+000,-8.3121955E-004, 2.3055339E-003, 2.0000000E+001, 4.6814486E-003, 0.0000000E+000, 2.9362020E-003, 0.0000000E+000, 0.0000000E+000, 5.7329026E-003, 0.0000000E+000, 0.0000000E+000,-3.7004943E-003, 2.0000000E+001, 4.7984986E-003, 0.0000000E+000, 4.8430799E-003, 0.0000000E+000, 4.5793038E-003, 0.0000000E+000,-9.9249443E-003,-4.5472545E-003, 2.0000000E+001, 5.1425643E-003, 0.0000000E+000, 8.2247322E-003, 0.0000000E+000, 0.0000000E+000, 3.1678394E-003, 0.0000000E+000, 3.7958765E-003, 2.0000000E+001, 6.8915868E-003, 0.0000000E+000, 6.4098968E-003, 0.0000000E+000, 4.8781338E-003, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 3.4975223E-003, 0.0000000E+000, 6.1269509E-003, 0.0000000E+000, 6.8428701E-003, 0.0000000E+000, 2.9349497E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
-9.9968014E+000,-4.2328413E+001,-5.6763592E+001,-5.9583380E+001,-6.6681600E+001,-7.1096754E+001,-9.0324397E+001, 4.2496953E+000, 0.0000000E+000, 1.2807913E+000, 0.0000000E+000, 4.5728741E+000, 0.0000000E+000, 3.6401939E+000, 2.0000173E+001, 2.4092811E+000, 0.0000000E+000, 2.9993551E+000, 0.0000000E+000, 1.3655752E+000, 0.0000000E+000, 1.8035890E+000, 1.9999896E+001, 1.2371658E+000, 0.0000000E+000, 1.1061203E+000, 0.0000000E+000, 0.0000000E+000, 9.9605762E-001, 0.0000000E+000, 3.8767723E-001, 1.9998775E+001, 5.9426346E-001, 0.0000000E+000, 4.5978273E-001, 0.0000000E+000, 5.8271144E-001, 0.0000000E+000, 1.8787728E-001, 1.5067225E-001, 1.9997302E+001, 8.7633759E-001, 0.0000000E+000, 7.0647334E-001, 0.0000000E+000, 0.0000000E+000, 3.1812936E-001, 0.0000000E+000,-4.8183718E-001, 2.5277313E-001, 1.9990742E+001, 8.2787765E-001, 0.0000000E+000, 7.4147582E-001, 0.0000000E+000, 8.2552446E-001, 0.0000000E+000, 2.4080063E-001,-5.8120810E-002, 1.9991912E+001, 2.9350822E+000, 0.0000000E+000, 2.8231954E+000, 0.0000000E+000, 0.0000000E+000, 2.6682394E+000, 0.0000000E+000,-2.6318681E+000, 1.9989146E+001, 1.9967476E+000, 0.0000000E+000, 2.2011895E+000, 0.0000000E+000, 2.0168880E+000, 0.0000000E+000,-2.1352389E+000, 1.9983998E+001, 1.6789038E+000, 0.0000000E+000, 1.8375157E+000, 0.0000000E+000, 1.9081831E+000, 0.0000000E+000,-1.1758802E+000, 1.9986802E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1014742E-003,-4.3099120E+001,-5.7752517E+001,-6.0799688E+001,-6.8445139E+001,-7.3112587E+001,-9.3666096E+001, 4.5080418E+000, 0.0000000E+000, 1.2084631E+000, 0.0000000E+000, 4.8034082E+000, 0.0000000E+000, 3.8611742E+000, 1.9999401E+001, 2.2288606E+000, 0.0000000E+000, 3.1946425E+000, 0.0000000E+000, 1.5918017E+000, 0.0000000E+000, 1.6698034E+000, 1.9999478E+001, 1.3341727E+000, 0.0000000E+000, 1.0897556E+000, 0.0000000E+000, 0.0000000E+000, 1.0586660E+000, 0.0000000E+000, 4.0498335E-001, 2.0000456E+001, 1.1141985E+000, 0.0000000E+000, 9.7766939E-001, 0.0000000E+000, 9.8963348E-001, 0.0000000E+000, 9.7991985E-001, 1.6114858E-001, 1.9974464E+001, 1.1535948E+000, 0.0000000E+000, 9.4929474E-001, 0.0000000E+000, 0.0000000E+000, 6.1391486E-001, 0.0000000E+000,-6.8723516E-001, 2.6474896E-001, 1.9970363E+001, 1.1461032E+000, 0.0000000E+000, 9.5632068E-001, 0.0000000E+000, 1.2027890E+000, 0.0000000E+000, 2.7501584E-001, 2.8008285E-002, 1.9995648E+001, 3.0422184E+000, 0.0000000E+000, 2.9242391E+000, 0.0000000E+000, 0.0000000E+000, 2.7562494E+000, 0.0000000E+000,-2.8519363E+000, 1.9967332E+001, 2.3563211E+000, 0.0000000E+000, 2.4092625E+000, 0.0000000E+000, 2.2762387E+000, 0.0000000E+000,-2.4121199E+000, 1.9961775E+001, 1.9604041E+000, 0.0000000E+000, 2.1682188E+000, 0.0000000E+000, 2.3337504E+000, 0.0000000E+000,-1.3200990E+000, 1.9979211E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000384E+001,-4.2949377E+001,-5.7614414E+001,-6.0674562E+001,-6.8279744E+001,-7.3000102E+001,-9.3484414E+001, 4.6348555E+000, 5.8018066E-056, 1.2584694E+000, 1.1963342E-055, 4.9632817E+000, 1.1858716E-047, 3.9652394E+000, 1.9999577E+001, 2.1972792E+000, 1.6051535E-030, 3.2024516E+000, 1.2290560E-033, 1.6240447E+000, 3.7204885E-028, 1.5648648E+000, 1.9999633E+001, 1.4345482E+000, 8.3613565E-005, 1.1604271E+000, 5.4852673E-004, 1.3883153E-004, 1.1378460E+000, 5.4578185E-003, 4.8037930E-001, 2.0003676E+001, 1.1735326E+000, 7.1784167E-015, 9.8225915E-001, 2.4786857E-016, 8.9413747E-001, 1.7172663E-017, 9.1440348E-001, 2.0636183E-001, 1.9968402E+001, 1.1980973E+000, 9.5982360E-008, 9.8649549E-001, 3.5324078E-007, 2.8444505E-007, 6.1534146E-001, 5.4545310E-006,-7.3246511E-001, 3.1164113E-001, 1.9967875E+001, 1.0784329E+000, 1.0763048E-002, 9.2542128E-001, 1.4876901E-002, 1.0918764E+000, 1.1191409E-002, 1.9861056E-001, 5.4966130E-003, 2.0003049E+001, 3.1296206E+000, 2.0732620E-007, 2.9815354E+000, 3.4995461E-007, 6.6892514E-007, 2.7986218E+000, 4.3126922E-007,-2.8818531E+000, 1.9964163E+001, 2.3191603E+000, 5.0832455E-005, 2.4184276E+000, 1.6344196E-004, 2.2515251E+000, 1.5416279E-004,-2.4090567E+000, 1.9961201E+001, 2.0628851E+000, 5.0064559E-003, 2.2083686E+000, 6.9346563E-003, 2.3753232E+000, 4.2841092E-003,-1.3847714E+000, 1.9988336E+001, 7.5802017E-007, 1.5530700E-009, 3.6523313E-009, 1.8806524E-006, 2.3385300E-006, 8.7748484E-006, 7.5792830E-005, 1.5445470E-007, 3.6222768E-007
 2.0003140E+001,-4.2967035E+001,-5.7540016E+001,-6.0634800E+001,-6.8197560E+001,-7.2857374E+001,-9.3320575E+001, 4.5903670E+000, 6.4057133E-039, 1.2523825E+000, 4.1576365E-039, 4.9104028E+000, 7.5743545E-032, 3.9196086E+000, 1.9999576E+001, 2.1272890E+000, 1.8066843E-020, 3.1429499E+000, 8.5255917E-023, 1.5238919E+000, 3.5080923E-021, 1.4465052E+000, 1.9999557E+001, 1.5585390E+000, 5.9430982E-003, 1.1273060E+000, 2.7169825E-002, 1.6226624E-002, 1.2654375E+000, 3.9110850E-002, 4.9101815E-001, 2.0002446E+001, 1.2612934E+000, 1.8677592E-007, 1.0099855E+000, 1.7791520E-007, 9.7577802E-001, 1.0631598E-007, 1.0873891E+000, 1.5186325E-001, 1.9968119E+001, 1.1383776E+000, 1.0458290E-003, 9.4300690E-001, 2.3562594E-003, 1.9793090E-003, 6.1797029E-001, 3.6608565E-003,-6.8896580E-001, 3.1898593E-001, 1.9967888E+001, 1.1166737E+000, 3.0232070E-001, 9.8954411E-001, 3.9159427E-001, 1.1071962E+000, 2.5946180E-001, 2.7075390E-001, 1.2927493E-002, 2.0007866E+001, 3.1374296E+000, 3.4334315E-003, 2.9797898E+000, 4.2527026E-003, 5.2350154E-003, 2.7791524E+000, 3.6538114E-003,-2.9088930E+000, 1.9963598E+001, 2.2858021E+000, 1.9471267E-002, 2.3574246E+000, 1.7842747E-002, 2.1994850E+000, 2.8575695E-002,-2.3461488E+000, 1.9961219E+001, 2.0385951E+000, 1.3035057E-001, 2.1691604E+000, 1.4236342E-001, 2.3509142E+000, 8.3478475E-002,-1.2734122E+000, 1.9982899E+001, 8.8597369E-005, 1.0807027E-005, 2.8583184E-005, 9.3952619E-004, 3.7248152E-004, 8.8508999E-003, 4.4651529E-003, 5.4046147E-004, 1.4279593E-003
 3.0002965E+001,-4.2678416E+001,-5.7413315E+001,-6.0509663E+001,-6.8110766E+001,-7.2782186E+001,-9.3290075E+001, 4.5547232E+000, 6.6735305E-036, 1.2112872E+000, 6.1780747E-036, 4.8712391E+000, 8.7014451E-031, 3.9016718E+000, 1.9999614E+001, 2.2732432E+000, 6.9824338E-019, 3.2198379E+000, 1.1141411E-020, 1.5088798E+000, 2.4592546E-019, 1.6191779E+000, 1.9999627E+001, 1.4396500E+000, 6.7259252E-002, 1.1249420E+000, 2.0031082E-002, 3.6890581E-003, 1.0976206E+000, 1.1010580E-001, 4.7476351E-001, 2.0003861E+001, 1.1692933E+000, 2.6058770E-005, 1.0189958E+000, 2.1303076E-005, 9.5652627E-001, 1.5703082E-005, 9.5698196E-001, 1.7761012E-001, 1.9968085E+001, 1.1529658E+000, 7.1834902E-003, 9.9282264E-001, 1.0061168E-002, 8.2004587E-003, 6.3132757E-001, 1.4662856E-002,-7.0202891E-001, 2.6620119E-001, 1.9967671E+001, 1.0932891E+000, 6.5436995E-001, 9.3831725E-001, 7.5218981E-001, 1.0862157E+000, 6.3564391E-001, 3.1994998E-001, 1.5242220E-002, 2.0008300E+001, 3.1230609E+000, 1.5813019E-002, 3.0237912E+000, 1.7492047E-002, 2.0843866E-002, 2.7665580E+000, 1.5213428E-002,-2.8196163E+000, 1.9963179E+001, 2.3432616E+000, 5.4168314E-002, 2.4401425E+000, 4.8234430E-002, 2.2491891E+000, 7.6580655E-002,-2.4327386E+000, 1.9962064E+001, 2.1251305E+000, 4.5799001E-001, 2.1646210E+000, 4.9212407E-001, 2.3688342E+000, 3.6533757E-001,-1.3654237E+000, 1.9983719E+001, 2.0142257E-005, 4.4774504E-005, 1.1380751E-004, 9.4773694E-005, 1.4155252E-002, 9.5410910E-003, 3.6480404E-003, 1.8510558E-003, 4.7450880E-003
 4.0000880E+001,-4.2669895E+001,-5.7392059E+001,-6.0476625E+001,-6.8075208E+001,-7.2741218E+001,-9.3217228E+001, 4.5261466E+000, 2.0447625E-035, 1.2147785E+000, 2.3493056E-035, 4.8401113E+000, 7.9582817E-030, 3.8774595E+000, 1.9999582E+001, 2.2032335E+000, 8.4341134E-019, 3.2433015E+000, 5.9539733E-021, 1.5542538E+000, 1.8675486E-019, 1.6616216E+000, 1.9999414E+001, 1.4729530E+000, 2.1316979E-002, 1.0741133E+000, 1.9886246E-002, 3.4076668E-002, 1.2489377E+000, 8.2167810E-002, 4.9837829E-001, 2.0002306E+001, 1.2029337E+000, 9.8777120E-005, 9.5645909E-001, 9.3277380E-005, 9.6669473E-001, 6.9505334E-005, 8.9658939E-001, 1.9970766E-001, 1.9967835E+001, 1.1503724E+000, 1.9970070E-002, 9.9175313E-001, 2.2543051E-002, 1.8700151E-002, 5.8907325E-001, 2.0792300E-002,-6.9080697E-001, 3.2459649E-001, 1.9967851E+001, 1.1241494E+000, 1.1474549E+000, 9.8235674E-001, 1.2688765E+000, 1.1474426E+000, 1.1472781E+000, 2.4419800E-001,-1.1372338E-002, 2.0006327E+001, 3.0881177E+000, 2.6310405E-002, 2.9257375E+000, 2.7567490E-002, 3.0632442E-002, 2.7974015E+000, 2.3870267E-002,-2.9103631E+000, 1.9963712E+001, 2.3276442E+000, 9.9461450E-002, 2.3964001E+000, 7.9181390E-002, 2.2144885E+000, 1.4250902E-001,-2.3885667E+000, 1.9962963E+001, 2.1126698E+000, 7.1455230E-001, 2.1531160E+000, 7.2973971E-001, 2.3793712E+000, 5.8463391E-001,-1.3164603E+000, 1.9985754E+001, 1.8605861E-004, 1.0210283E-004, 1.6725313E-004, 4.4445488E-003, 3.1700317E-003, 2.4013260E-002, 7.3821970E-003, 3.9412931E-003, 7.7373910E-003
 5.0001447E+001,-4.2873384E+001,-5.7450208E+001,-6.0573377E+001,-6.8171059E+001,-7.2809138E+001,-9.3211778E+001, 4.5236563E+000, 3.5374425E-036, 1.2313362E+000, 5.5938034E-036, 4.8234403E+000, 1.5572688E-030, 3.8674485E+000, 1.9999412E+001, 2.1119206E+000, 1.1216028E-018, 3.1040055E+000, 6.4990945E-021, 1.4344363E+000, 1.4580822E-019, 1.6697884E+000, 1.9999468E+001, 1.4651995E+000, 8.9519466E-004, 1.1034171E+000, 4.0190399E-002, 2.3092296E-002, 1.1591084E+000, 1.7437137E-001, 4.7789808E-001, 2.0002399E+001, 1.1704998E+000, 1.4020081E-004, 9.5100807E-001, 1.3191656E-004, 9.2892858E-001, 1.1314845E-004, 8.8079744E-001, 1.8683539E-001, 1.9967982E+001, 1.1788358E+000, 2.2474005E-002, 9.7761055E-001, 2.5126072E-002, 1.6224572E-002, 5.6924148E-001, 3.1654851E-002,-6.6901986E-001, 3.2096278E-001, 1.9967766E+001, 1.0833413E+000, 1.4257809E+000, 9.9617536E-001, 1.5474599E+000, 1.1489615E+000, 1.3576945E+000, 3.0903813E-001, 3.2854643E-002, 2.0007485E+001, 3.1528578E+000, 3.6897942E-002, 3.0637539E+000, 4.1229149E-002, 4.7856690E-002, 2.8461360E+000, 3.5904395E-002,-2.9289551E+000, 1.9963347E+001, 2.3478873E+000, 7.8838861E-002, 2.4382839E+000, 8.4937433E-002, 2.2068520E+000, 1.2231468E-001,-2.3859071E+000, 1.9960971E+001, 1.9446700E+000, 1.0609693E+000, 2.1141068E+000, 1.0938438E+000, 2.3916352E+000, 8.9746223E-001,-1.2377377E+000, 1.9985995E+001, 1.2608394E-004, 8.8586161E-005, 2.6129753E-004, 8.9184632E-007, 2.3115518E-002, 2.5588087E-002, 8.4264077E-003, 4.9232034E-003, 1.1415302E-002
 6.0002324E+001,-4.2733584E+001,-5.7555861E+001,-6.0678160E+001,-6.8314783E+001,-7.2977947E+001,-9.3388894E+001, 4.5350211E+000, 1.3688606E-036, 1.1760248E+000, 1.0016397E-036, 4.8512508E+000, 4.9444492E-031, 3.8819717E+000, 1.9999373E+001, 2.0981354E+000, 3.2965619E-019, 3.0777185E+000, 3.5494587E-021, 1.5663353E+000, 1.7882279E-019, 1.5862467E+000, 1.9999453E+001, 1.3962833E+000, 9.3690432E-003, 1.1404365E+000, 7.6791527E-003, 2.8594776E-003, 1.1544184E+000, 7.3983542E-002, 4.4853860E-001, 2.0000358E+001, 1.0965556E+000, 2.3983885E-004, 9.4941412E-001, 1.8391435E-004, 8.9828366E-001, 1.3858631E-004, 8.1213894E-001, 1.8282312E-001, 1.9967858E+001, 1.1775087E+000, 3.3695180E-002, 1.0177514E+000, 4.5589712E-002, 3.7999329E-002, 5.5723771E-001, 4.7709452E-002,-6.5562042E-001, 3.3963500E-001, 1.9968017E+001, 1.1652652E+000, 1.8437237E+000, 9.8023428E-001, 1.9805338E+000, 1.1209609E+000, 1.6772275E+000, 3.1460860E-001, 1.2073626E-002, 2.0008854E+001, 3.0915368E+000, 5.0145838E-002, 2.9322646E+000, 5.1958289E-002, 5.4045783E-002, 2.7270061E+000, 4.8606692E-002,-2.8770116E+000, 1.9963136E+001, 2.2828715E+000, 1.3598705E-001, 2.4346973E+000, 1.4460666E-001, 2.2345796E+000, 1.9710032E-001,-2.3862667E+000, 1.9961753E+001, 1.9665949E+000, 1.2325167E+000, 2.1705129E+000, 1.3101571E+000, 2.3754659E+000, 1.0167982E+000,-1.2983275E+000, 1.9986646E+001, 1.5612748E-005, 2.0747634E-004, 2.9508998E-004, 1.1451060E-002, 2.2527320E-002, 3.0357908E-002, 7.2815154E-003, 7.5601474E-003, 1.4430012E-002
