s,Pa,Pa,Pa,Pa,Pa,Pa,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,1/m,1/m,1/m,%/m,%/m,%/m
Time,SFP,CAP,PRES,POSTS,HA,CP,VIEW SF1V,VIEW SF1S,FAST SF1V,FAST SF1S,SIMPLEX SF1V,SIMPLEX SF1S,BI FLOW SF1,T SF1,VIEW SF2V,VIEW SF2S,FAST SF2V,FAST SF2S,SIMPLEX SF2V,SIMPLEX SF2S,BI FLOW SF2,T SF2,VIEW SF3V,VIEW SF3S,FAST SF3V,FAST SF3S,FM SF3S,SIMPLEX SF3V,SIMPLEX SF3S,BI FLOW SF3,T SF3,VIEW C1V,VIEW C1S,FAST C1V,FAST C1S,SIMPLEX C1V,SIMPLEX C1S,BI FLOW C1,BI FLOW C1,T C1,VIEW C2V,VIEW C2S,FAST C2V,FAST C2S,FM C2S,SIMPLEX C2V,SIMPLEX C2S,BI FLOW C2,BI FLOW C2,T C2,VIEW C3V,VIEW C3S,FAST C3V,FAST C3S,SIMPLEX C3V,SIMPLEX C3S,BI FLOW C3,BI FLOW C3,T C3,VIEW P1V,VIEW P1S,FAST P1V,FAST P1S,FM P1S,SIMPLEX P1V,SIMPLEX P1S,BI FLOW P1,T P1,VIEW P2V,VIEW P2S,FAST P2V,FAST P2S,SIMPLEX P2V,SIMPLEX P2S,BI FLOW P2,T P2,VIEW P3V,VIEW P3S,FAST P3V,FAST P3S,SIMPLEX P3V,SIMPLEX P3S,BI FLOW P3,T P3,EC_FM SF3S,EC_FM C2S,EC_FM P1S,OBS FM SF3S,OBS FM C2S,OBS FM P1S
-2.0000000E+001,-1.3713492E-005,-3.9335428E-006,-2.5121364E-005,-2.6011243E-005,-4.1112900E-005,-3.3526405E-005, 4.6225445E-003, 0.0000000E+000, 3.2644323E-003, 0.0000000E+000, 8.8231440E-003, 0.0000000E+000,-1.8174130E-003, 2.0000000E+001, 8.5173733E-003, 0.0000000E+000, 3.2539175E-003, 0.0000000E+000, 3.4834990E-003, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 1.4715160E-003, 0.0000000E+000, 3.6204997E-003, 0.0000000E+000, 0.0000000E+000, 7.9531632E-003, 0.0000000E+000,-4.2351159E-003, 2.0000000E+001, 1.0001701E-002, 0.0000000E+000, 1.0148465E-002, 0.0000000E+000, 5.3525105E-003, 0.0000000E+000,-8.3121955E-004, 2.3055339E-003, 2.0000000E+001, 4.6814486E-003, 0.0000000E+000, 2.9362020E-003, 0.0000000E+000, 0.0000000E+000, 5.7329026E-003, 0.0000000E+000, 0.0000000E+000,-3.7004943E-003, 2.0000000E+001, 4.7984986E-003, 0.0000000E+000, 4.8430799E-003, 0.0000000E+000, 4.5793038E-003, 0.0000000E+000,-9.9249443E-003,-4.5472545E-003, 2.0000000E+001, 5.1425643E-003, 0.0000000E+000, 8.2247322E-003, 0.0000000E+000, 0.0000000E+000, 3.1678394E-003, 0.0000000E+000, 3.7958765E-003, 2.0000000E+001, 6.8915868E-003, 0.0000000E+000, 6.4098968E-003, 0.0000000E+000, 4.8781338E-003, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 3.4975223E-003, 0.0000000E+000, 6.1269509E-003, 0.0000000E+000, 6.8428701E-003, 0.0000000E+000, 2.9349497E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
-9.9999368E+000,-4.2368853E+001,-5.6771265E+001,-5.9583615E+001,-6.6683669E+001,-7.1101679E+001,-9.0315120E+001, 4.2781301E+000, 0.0000000E+000, 1.2538163E+000, 0.0000000E+000, 4.6061687E+000, 0.0000000E+000, 3.6652735E+000, 2.0000112E+001, 2.4188795E+000, 0.0000000E+000, 2.9838959E+000, 0.0000000E+000, 1.3853648E+000, 0.0000000E+000, 1.8576823E+000, 1.9999815E+001, 1.2246686E+000, 0.0000000E+000, 1.1181033E+000, 0.0000000E+000, 0.0000000E+000, 9.7608524E-001, 0.0000000E+000, 4.1054174E-001, 1.9998608E+001, 5.9265099E-001, 0.0000000E+000, 4.5862620E-001, 0.0000000E+000, 5.7761422E-001, 0.0000000E+000, 1.8192957E-001, 1.4899521E-001, 1.9997197E+001, 8.7583082E-001, 0.0000000E+000, 7.0432857E-001, 0.0000000E+000, 0.0000000E+000, 3.1757224E-001, 0.0000000E+000,-4.8122461E-001, 2.5214900E-001, 1.9990482E+001, 8.3232510E-001, 0.0000000E+000, 7.4056663E-001, 0.0000000E+000, 8.2697167E-001, 0.0000000E+000, 2.3849183E-001,-5.8087848E-002, 1.9990985E+001, 2.9256660E+000, 0.0000000E+000, 2.8291239E+000, 0.0000000E+000, 0.0000000E+000, 2.6633495E+000, 0.0000000E+000,-2.6775191E+000, 1.9989253E+001, 2.0179373E+000, 0.0000000E+000, 2.1960646E+000, 0.0000000E+000, 2.0128716E+000, 0.0000000E+000,-2.1401600E+000, 1.9984023E+001, 1.6434947E+000, 0.0000000E+000, 1.8412422E+000, 0.0000000E+000, 1.8982358E+000, 0.0000000E+000,-1.1713412E+000, 1.9986432E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8654819E-005,-4.3156603E+001,-5.7722208E+001,-6.0769062E+001,-6.8418526E+001,-7.3069532E+001,-9.3662314E+001, 4.5282750E+000, 0.0000000E+000, 1.2235397E+000, 0.0000000E+000, 4.8311498E+000, 0.0000000E+000, 3.8780865E+000, 1.9999510E+001, 2.2575876E+000, 0.0000000E+000, 3.1810023E+000, 0.0000000E+000, 1.6501134E+000, 0.0000000E+000, 1.6196735E+000, 1.9999406E+001, 1.4551715E+000, 0.0000000E+000, 1.1558848E+000, 0.0000000E+000, 0.0000000E+000, 1.2026138E+000, 0.0000000E+000, 5.0868779E-001, 1.9998028E+001, 1.1008109E+000, 0.0000000E+000, 9.6522178E-001, 0.0000000E+000, 1.0088818E+000, 0.0000000E+000, 9.2842655E-001, 2.1291298E-001, 1.9974818E+001, 1.1424556E+000, 0.0000000E+000, 9.4531012E-001, 0.0000000E+000, 0.0000000E+000, 5.9456346E-001, 0.0000000E+000,-6.8506907E-001, 2.7893119E-001, 1.9970136E+001, 1.1430091E+000, 0.0000000E+000, 9.6548122E-001, 0.0000000E+000, 1.2067432E+000, 0.0000000E+000, 2.5078983E-001, 2.4840989E-002, 1.9969905E+001, 3.1582724E+000, 0.0000000E+000, 3.0160304E+000, 0.0000000E+000, 0.0000000E+000, 2.8000054E+000, 0.0000000E+000,-2.9013556E+000, 1.9967239E+001, 2.3361076E+000, 0.0000000E+000, 2.3808944E+000, 0.0000000E+000, 2.2137677E+000, 0.0000000E+000,-2.3905924E+000, 1.9960082E+001, 2.1045535E+000, 0.0000000E+000, 2.2427915E+000, 0.0000000E+000, 2.3253963E+000, 0.0000000E+000,-1.3740528E+000, 1.9963833E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003220E+001,-4.2730652E+001,-5.7445364E+001,-6.0598477E+001,-6.8220513E+001,-7.2906077E+001,-9.3407095E+001, 4.4753704E+000, 2.4196882E-056, 1.2247364E+000, 2.6292280E-056, 4.7691991E+000, 1.2445225E-047, 3.8172357E+000, 2.0003412E+001, 2.1639900E+000, 6.1466881E-031, 3.1709289E+000, 4.9837630E-025, 1.5426818E+000, 1.0602932E-020, 1.6565236E+000, 2.0052000E+001, 1.2960946E+000, 5.8452576E+001, 1.1771722E+000, 1.1971095E+002, 1.5400727E+002, 1.4367782E+000, 6.9450583E+001, 4.5690921E-001, 2.8982687E+001, 1.1966710E+000, 2.1634828E-010, 9.4291316E-001, 1.2807589E-015, 8.5268015E-001, 1.8516911E-014, 8.7466859E-001, 1.4327478E-001, 1.9968689E+001, 1.1910023E+000, 2.4457273E-002, 1.0225778E+000, 5.1398799E-002, 5.2650658E-002, 6.1499896E-001, 1.2847914E-001,-7.1875298E-001, 2.6848550E-001, 1.9968212E+001, 1.0893481E+000, 2.7600737E+000, 9.7261348E-001, 3.1771899E+000, 1.1653360E+000, 4.0469674E+000, 2.9874590E-001,-5.3023853E-003, 2.0103960E+001, 3.1172741E+000, 4.9494348E-003, 3.0607032E+000, 8.9801631E-003, 8.6343324E-003, 2.8003486E+000, 9.3156228E-003,-2.8682680E+000, 1.9964465E+001, 2.2676408E+000, 4.6007712E-001, 2.3936592E+000, 3.8716897E-001, 2.2193607E+000, 7.6803025E-001,-2.3709804E+000, 1.9970860E+001, 2.1505755E+000, 2.0200665E+000, 2.1992993E+000, 2.7085278E+000, 2.3321152E+000, 1.9460763E+000,-1.3218622E+000, 2.0078248E+001, 1.4153268E+000, 4.8385955E-004, 7.9349515E-005, 8.1692244E+001, 4.4921692E-001, 1.8757337E-001
 2.0001373E+001,-4.2559640E+001,-5.7352454E+001,-6.0523531E+001,-6.8145773E+001,-7.2823923E+001,-9.3337636E+001, 4.5533135E+000, 4.4169601E-039, 1.2083249E+000, 4.5514970E-039, 4.8535328E+000, 1.1494374E-031, 3.8972019E+000, 2.0007811E+001, 2.1593011E+000, 6.9526663E-020, 3.1535958E+000, 3.1335567E-020, 1.4830273E+000, 5.7186398E-016, 1.6006542E+000, 2.0117892E+001, 1.1241231E+000, 9.4869535E+001, 1.1522610E+000, 1.9390344E+002, 2.2418031E+002, 1.4030705E+000, 1.0804063E+002, 4.7546685E-001, 4.4027860E+001, 1.1954591E+000, 8.6608216E-003, 9.9105706E-001, 6.3315884E-003, 9.5495236E-001, 3.3556354E-003, 9.5496770E-001, 1.9171510E-001, 1.9968618E+001, 1.1422575E+000, 2.4515159E+000, 9.4542048E-001, 3.7667752E+000, 3.1468376E+000, 6.2680959E-001, 3.7140302E+000,-7.0083425E-001, 2.4296383E-001, 2.0010904E+001, 1.2195675E+000, 1.7630418E+001, 1.0517498E+000, 2.2840484E+001, 1.2253901E+000, 2.5404094E+001, 1.6672119E-001, 3.3676786E-002, 2.2146063E+001, 3.1035728E+000, 1.5094563E+000, 3.0464650E+000, 1.5663817E+000, 1.8623202E+000, 2.7629227E+000, 1.3820567E+000,-2.8271272E+000, 2.0046782E+001, 2.3593865E+000, 6.7853555E+000, 2.4126376E+000, 6.0700601E+000, 2.2488244E+000, 8.6184124E+000,-2.3979161E+000, 2.0395772E+001, 1.8823941E+000, 2.1176916E+001, 2.1553435E+000, 2.3254000E+001, 2.3766276E+000, 2.2088059E+001,-1.3408025E+000, 2.2479495E+001, 2.0602170E+000, 2.8919437E-002, 1.7114723E-002, 8.4329000E+001, 4.1749034E+000, 3.4866785E+000
 3.0001082E+001,-4.2780658E+001,-5.7460861E+001,-6.0577352E+001,-6.8177372E+001,-7.2889282E+001,-9.3352779E+001, 4.5149003E+000, 2.4705970E-035, 1.2426552E+000, 2.1015840E-035, 4.8154083E+000, 1.3472405E-029, 3.8549839E+000, 2.0007966E+001, 2.0615401E+000, 2.4400367E-019, 3.0674863E+000, 2.9505792E-021, 1.5834354E+000, 1.7963411E-019, 1.5658880E+000, 2.0128376E+001, 1.0636072E+000, 8.3280863E+001, 1.2759378E+000, 1.8821659E+002, 2.4082929E+002, 1.4400069E+000, 1.2762456E+002, 3.7577488E-001, 4.8135777E+001, 1.1390982E+000, 2.2678080E-002, 1.0193881E+000, 3.2202097E-002, 9.0047623E-001, 1.8028427E-002, 8.7173534E-001, 2.2662495E-001, 1.9969302E+001, 1.1182760E+000, 1.5157705E+000, 9.8012565E-001, 3.4053457E+000, 3.4177253E+000, 6.2266407E-001, 3.1700414E+000,-6.8100964E-001, 2.8860687E-001, 2.0051623E+001, 1.1292453E+000, 1.9588233E+001, 1.0300037E+000, 2.4533615E+001, 1.2197868E+000, 3.3017981E+001, 1.3019343E-001, 2.2259008E-003, 2.3418737E+001, 3.1336340E+000, 2.9048749E+000, 3.0192646E+000, 3.2155855E+000, 3.7492342E+000, 2.7821926E+000, 2.8281342E+000,-2.8996384E+000, 2.0186376E+001, 2.3390061E+000, 9.4936488E+000, 2.3952702E+000, 7.6311604E+000, 2.2236298E+000, 1.2617876E+001,-2.3967805E+000, 2.0973466E+001, 2.0713048E+000, 2.3764663E+001, 2.1593405E+000, 2.6442996E+001, 2.3693613E+000, 2.6901174E+001,-1.3861889E+000, 2.3638212E+001, 2.2132212E+000, 3.1408896E-002, 3.4455463E-002, 8.8558936E+001, 1.3284691E+000, 5.0485214E+000
 4.0001571E+001,-4.2818946E+001,-5.7496466E+001,-6.0560264E+001,-6.8190663E+001,-7.2830076E+001,-9.3336252E+001, 4.5296294E+000, 1.5057107E-036, 1.2043416E+000, 1.3931603E-036, 4.8276847E+000, 2.4367642E-030, 3.8766163E+000, 2.0008359E+001, 2.0994268E+000, 5.3479247E-019, 3.2476946E+000, 3.5373284E-021, 1.5909285E+000, 1.1460109E-018, 1.4597481E+000, 2.0128853E+001, 1.0989607E+000, 9.7229251E+001, 1.2320608E+000, 1.6407905E+002, 2.0913342E+002, 1.4704631E+000, 1.0460846E+002, 4.6729639E-001, 4.4770893E+001, 1.1801116E+000, 2.9847609E-002, 9.5406492E-001, 2.3548619E-002, 8.6567038E-001, 2.0177060E-002, 8.4449432E-001, 2.4843024E-001, 1.9970327E+001, 1.0858489E+000, 1.4486527E+000, 9.5153569E-001, 3.0473822E+000, 3.2741180E+000, 5.5963611E-001, 2.6687998E+000,-6.1717614E-001, 3.8780784E-001, 2.0031385E+001, 1.1693276E+000, 1.8026327E+001, 1.0986952E+000, 2.4243454E+001, 1.1754828E+000, 2.9993801E+001, 1.4154366E-001, 3.5500755E-002, 2.3592256E+001, 3.1336853E+000, 3.3827674E+000, 2.9707224E+000, 3.8302309E+000, 4.1629049E+000, 2.8008538E+000, 3.1625398E+000,-2.8918484E+000, 2.0269103E+001, 2.3149528E+000, 8.5908644E+000, 2.4116443E+000, 1.0398784E+001, 2.2329745E+000, 1.1848518E+001,-2.3761729E+000, 2.0914042E+001, 2.1067751E+000, 2.3641292E+001, 2.1685143E+000, 2.5245423E+001, 2.3966778E+000, 2.7040334E+001,-1.2974500E+000, 2.3961783E+001, 1.9219361E+000, 3.0089145E-002, 3.8257096E-002, 8.8776887E+001, 1.5342989E+000, 5.0449109E+000
 5.0001316E+001,-4.2676943E+001,-5.7456740E+001,-6.0567857E+001,-6.8166883E+001,-7.2884409E+001,-9.3351949E+001, 4.5236550E+000, 8.5549326E-035, 1.2385007E+000, 8.2114948E-035, 4.8245020E+000, 1.0079417E-028, 3.8739322E+000, 2.0008863E+001, 2.0630965E+000, 8.1872601E-018, 3.0582619E+000, 3.7821722E-020, 1.5832499E+000, 6.1638862E-018, 1.6525748E+000, 2.0129032E+001, 1.2146053E+000, 7.8837683E+001, 1.2453622E+000, 1.7654705E+002, 2.0668664E+002, 1.4076909E+000, 1.1065389E+002, 3.7927596E-001, 4.3522753E+001, 1.1538736E+000, 2.7756475E-002, 9.6728881E-001, 2.6066881E-002, 9.1016048E-001, 1.8052570E-002, 9.2538071E-001, 1.7156729E-001, 1.9971120E+001, 1.1282085E+000, 2.3428704E+000, 9.7804127E-001, 3.9555934E+000, 4.1402655E+000, 5.8549364E-001, 4.6596655E+000,-6.6315257E-001, 3.5239183E-001, 2.0041504E+001, 1.1292205E+000, 2.0589587E+001, 1.0724062E+000, 2.3374112E+001, 1.2749548E+000, 2.9621214E+001, 2.6713861E-001, 1.9817146E-002, 2.3529892E+001, 3.0825979E+000, 3.4631452E+000, 2.9547285E+000, 3.6724598E+000, 4.4696339E+000, 2.8068031E+000, 3.2648252E+000,-2.8901392E+000, 2.0267137E+001, 2.2854901E+000, 7.8710795E+000, 2.4520718E+000, 7.2182357E+000, 2.2118275E+000, 1.0991554E+001,-2.3705259E+000, 2.0733454E+001, 2.1840726E+000, 2.5664892E+001, 2.2022956E+000, 2.7962222E+001, 2.4167579E+000, 3.0109450E+001,-1.3136315E+000, 2.4177885E+001, 1.8994502E+000, 3.8049040E-002, 4.1075935E-002, 9.7803305E+001, 2.9731679E+000, 2.6560569E+000
 6.0001614E+001,-4.2640642E+001,-5.7398467E+001,-6.0485505E+001,-6.8087037E+001,-7.2789602E+001,-9.3240572E+001, 4.5203855E+000, 2.6782835E-035, 1.2275065E+000, 2.8409115E-035, 4.8193150E+000, 2.4123194E-029, 3.8552855E+000, 2.0008551E+001, 2.2272064E+000, 2.4528678E-018, 3.2317909E+000, 5.3415362E-019, 1.6243575E+000, 4.1824159E-015, 1.5602305E+000, 2.0132023E+001, 1.1629512E+000, 1.0635024E+002, 1.2130407E+000, 1.6743278E+002, 2.0645606E+002, 1.4135535E+000, 9.5537055E+001, 4.1956328E-001, 4.4515977E+001, 1.2547370E+000, 3.6389838E-002, 9.9703676E-001, 4.4358658E-002, 9.8176161E-001, 3.3306048E-002, 1.0549780E+000, 2.1307578E-001, 1.9971885E+001, 1.1199653E+000, 2.2537763E+000, 9.2057815E-001, 3.7207174E+000, 3.6040907E+000, 5.6955478E-001, 3.1532961E+000,-6.7136603E-001, 2.9924577E-001, 2.0047096E+001, 1.1519056E+000, 2.0291491E+001, 1.0520169E+000, 2.3055928E+001, 1.2643749E+000, 2.9038356E+001, 2.5080630E-001, 3.6802327E-002, 2.3596040E+001, 3.1171660E+000, 2.8353171E+000, 2.9835626E+000, 3.0271494E+000, 3.4631910E+000, 2.7332197E+000, 2.6617328E+000,-2.8472290E+000, 2.0217603E+001, 2.3259357E+000, 8.6057467E+000, 2.4156727E+000, 8.4233426E+000, 2.2136381E+000, 1.0722397E+001,-2.3741328E+000, 2.0705286E+001, 2.2962519E+000, 2.3073449E+001, 2.2167024E+000, 2.5792497E+001, 2.4153102E+000, 2.7201696E+001,-1.3517531E+000, 2.4154346E+001, 1.8973312E+000, 3.3121594E-002, 3.1826725E-002, 8.2227805E+001, 2.9869200E+000, 3.7426643E+000
