s,Pa,Pa,Pa,Pa,Pa,Pa,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,m/s,C,m/s,mg/m3,m/s,mg/m3,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,m/s,mg/m3,m/s,mg/m3,m/s,mg/m3,m/s,C,1/m,1/m,1/m,%/m,%/m,%/m
Time,SFP,CAP,PRES,POSTS,HA,CP,VIEW SF1V,VIEW SF1S,FAST SF1V,FAST SF1S,SIMPLEX SF1V,SIMPLEX SF1S,BI FLOW SF1,T SF1,VIEW SF2V,VIEW SF2S,FAST SF2V,FAST SF2S,SIMPLEX SF2V,SIMPLEX SF2S,BI FLOW SF2,T SF2,VIEW SF3V,VIEW SF3S,FAST SF3V,FAST SF3S,FM SF3S,SIMPLEX SF3V,SIMPLEX SF3S,BI FLOW SF3,T SF3,VIEW C1V,VIEW C1S,FAST C1V,FAST C1S,SIMPLEX C1V,SIMPLEX C1S,BI FLOW C1,BI FLOW C1,T C1,VIEW C2V,VIEW C2S,FAST C2V,FAST C2S,FM C2S,SIMPLEX C2V,SIMPLEX C2S,BI FLOW C2,BI FLOW C2,T C2,VIEW C3V,VIEW C3S,FAST C3V,FAST C3S,SIMPLEX C3V,SIMPLEX C3S,BI FLOW C3,BI FLOW C3,T C3,VIEW P1V,VIEW P1S,FAST P1V,FAST P1S,FM P1S,SIMPLEX P1V,SIMPLEX P1S,BI FLOW P1,T P1,VIEW P2V,VIEW P2S,FAST P2V,FAST P2S,SIMPLEX P2V,SIMPLEX P2S,BI FLOW P2,T P2,VIEW P3V,VIEW P3S,FAST P3V,FAST P3S,SIMPLEX P3V,SIMPLEX P3S,BI FLOW P3,T P3,EC_FM SF3S,EC_FM C2S,EC_FM P1S,OBS FM SF3S,OBS FM C2S,OBS FM P1S
-2.0000000E+001,-1.3713492E-005,-3.9335428E-006,-2.5121364E-005,-2.6011243E-005,-4.1112900E-005,-3.3526405E-005, 4.6225445E-003, 0.0000000E+000, 3.2644323E-003, 0.0000000E+000, 8.8231440E-003, 0.0000000E+000,-1.8174130E-003, 2.0000000E+001, 8.5173733E-003, 0.0000000E+000, 3.2539175E-003, 0.0000000E+000, 3.4834990E-003, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 1.4715160E-003, 0.0000000E+000, 3.6204997E-003, 0.0000000E+000, 0.0000000E+000, 7.9531632E-003, 0.0000000E+000,-4.2351159E-003, 2.0000000E+001, 1.0001701E-002, 0.0000000E+000, 1.0148465E-002, 0.0000000E+000, 5.3525105E-003, 0.0000000E+000,-8.3121955E-004, 2.3055339E-003, 2.0000000E+001, 4.6814486E-003, 0.0000000E+000, 2.9362020E-003, 0.0000000E+000, 0.0000000E+000, 5.7329026E-003, 0.0000000E+000, 0.0000000E+000,-3.7004943E-003, 2.0000000E+001, 4.7984986E-003, 0.0000000E+000, 4.8430799E-003, 0.0000000E+000, 4.5793038E-003, 0.0000000E+000,-9.9249443E-003,-4.5472545E-003, 2.0000000E+001, 5.1425643E-003, 0.0000000E+000, 8.2247322E-003, 0.0000000E+000, 0.0000000E+000, 3.1678394E-003, 0.0000000E+000, 3.7958765E-003, 2.0000000E+001, 6.8915868E-003, 0.0000000E+000, 6.4098968E-003, 0.0000000E+000, 4.8781338E-003, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 3.4975223E-003, 0.0000000E+000, 6.1269509E-003, 0.0000000E+000, 6.8428701E-003, 0.0000000E+000, 2.9349497E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
-9.9974949E+000,-4.0965615E+000,-5.5241752E+000,-5.8087264E+000,-7.7175120E+000,-8.1102396E+000,-9.9490035E+000, 1.2129525E+000, 0.0000000E+000, 3.9870903E-001, 0.0000000E+000, 1.2994809E+000, 0.0000000E+000, 1.0273766E+000, 2.0000214E+001, 8.2951893E-001, 0.0000000E+000, 7.5054656E-001, 0.0000000E+000, 4.3753591E-001, 0.0000000E+000, 7.5124445E-001, 1.9999585E+001, 2.7213055E-001, 0.0000000E+000, 3.0488713E-001, 0.0000000E+000, 0.0000000E+000, 2.7267833E-001, 0.0000000E+000, 1.0969072E-001, 2.0019305E+001, 1.6371942E-001, 0.0000000E+000, 1.2372103E-001, 0.0000000E+000, 1.5653390E-001, 0.0000000E+000,-4.7669321E-002, 3.5353347E-002, 1.9999781E+001, 1.8957088E-001, 0.0000000E+000, 1.0722423E-001, 0.0000000E+000, 0.0000000E+000, 3.5977262E-002, 0.0000000E+000,-8.5381189E-002, 3.5123526E-002, 1.9999147E+001, 8.5425179E-002, 0.0000000E+000, 6.9599962E-002, 0.0000000E+000, 9.6993997E-002, 0.0000000E+000, 1.4872994E-002, 4.4856112E-003, 1.9999845E+001, 7.9115893E-001, 0.0000000E+000, 7.3660530E-001, 0.0000000E+000, 0.0000000E+000, 7.1896807E-001, 0.0000000E+000,-7.1369176E-001, 1.9998507E+001, 4.4970722E-001, 0.0000000E+000, 5.7456251E-001, 0.0000000E+000, 5.5913323E-001, 0.0000000E+000,-5.4390319E-001, 1.9996263E+001, 3.4924165E-001, 0.0000000E+000, 4.2713598E-001, 0.0000000E+000, 4.5904379E-001, 0.0000000E+000,-2.9953999E-001, 1.9997423E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1619421E-004,-3.5415790E+000,-4.8922172E+000,-5.1890531E+000,-7.2646840E+000,-7.6810220E+000,-9.6147222E+000, 1.3945886E+000, 0.0000000E+000, 3.6376216E-001, 0.0000000E+000, 1.5062784E+000, 0.0000000E+000, 1.1911817E+000, 2.0000321E+001, 9.7528368E-001, 0.0000000E+000, 7.8001502E-001, 0.0000000E+000, 5.0438876E-001, 0.0000000E+000, 9.4409768E-001, 1.9999618E+001, 4.4157632E-001, 0.0000000E+000, 3.2893752E-001, 0.0000000E+000, 0.0000000E+000, 3.0873756E-001, 0.0000000E+000, 1.1799136E-001, 2.0038380E+001, 1.4158936E-001, 0.0000000E+000, 1.1787039E-001, 0.0000000E+000, 1.4291810E-001, 0.0000000E+000,-1.4967358E-002, 4.9661068E-002, 1.9997797E+001, 2.7137083E-001, 0.0000000E+000, 2.2476663E-001, 0.0000000E+000, 0.0000000E+000, 1.0502928E-001, 0.0000000E+000,-1.4327206E-001, 8.3174698E-002, 1.9987612E+001, 3.1010899E-001, 0.0000000E+000, 2.9998490E-001, 0.0000000E+000, 3.2976680E-001, 0.0000000E+000, 1.1021247E-001,-2.7626070E-002, 1.9989248E+001, 9.1593647E-001, 0.0000000E+000, 8.8079364E-001, 0.0000000E+000, 0.0000000E+000, 8.1386640E-001, 0.0000000E+000,-8.2741988E-001, 1.9987882E+001, 6.9705288E-001, 0.0000000E+000, 7.7371017E-001, 0.0000000E+000, 7.1553489E-001, 0.0000000E+000,-7.7514977E-001, 1.9976600E+001, 5.8762964E-001, 0.0000000E+000, 6.4846490E-001, 0.0000000E+000, 6.9989613E-001, 0.0000000E+000,-3.9718327E-001, 1.9981617E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002344E+001,-3.4982299E+000,-4.8730409E+000,-5.1747699E+000,-7.2479143E+000,-7.6799520E+000,-9.6090868E+000, 1.3001073E+000, 8.0937940E-095, 3.4343874E-001, 1.2259172E-097, 1.3979372E+000, 2.5502592E-088, 1.1191451E+000, 1.9999546E+001, 6.4833822E-001, 4.2759291E-052, 8.3153058E-001, 1.7884950E-047, 4.0177841E-001, 2.7139478E-037, 5.4094160E-001, 1.9999540E+001, 4.5577309E-001, 7.2928360E-002, 3.8067255E-001, 4.2990817E-001, 5.4155098E-001, 4.1624452E-001, 7.0687129E-002, 1.8936307E-001, 2.0021143E+001, 2.0456187E-001, 1.8342898E-059, 1.4744601E-001, 7.4265569E-068, 2.0065807E-001, 6.6254761E-062, 1.4121318E-001, 4.3182446E-002, 1.9991932E+001, 2.6059610E-001, 6.5589487E-030, 2.4300163E-001, 4.9827876E-030, 1.1210546E-031, 1.4906132E-001, 3.1090415E-027,-1.6881206E-001, 6.7619355E-002, 1.9972742E+001, 3.2596191E-001, 8.6525341E-018, 2.6881544E-001, 1.7175635E-017, 2.9220213E-001, 4.5882064E-019, 7.9865250E-002,-8.1919685E-003, 1.9995258E+001, 9.1514368E-001, 3.3334639E-043, 8.9907557E-001, 2.4424953E-043, 2.5442432E-044, 8.6964412E-001, 4.4425510E-040,-8.4868193E-001, 1.9976689E+001, 7.0832144E-001, 2.2590087E-027, 7.7076483E-001, 5.6039666E-028, 6.9569068E-001, 9.9543678E-026,-7.5607215E-001, 1.9964133E+001, 6.4625876E-001, 3.7151168E-023, 6.5173009E-001, 7.2331495E-022, 7.3139143E-001, 4.0411526E-022,-4.1094495E-001, 1.9996367E+001, 2.5290431E-003, 5.2353249E-034, 1.1881616E-046, 1.5358472E+000, 0.0000000E+000, 0.0000000E+000
 2.0000255E+001,-3.5469242E+000,-4.9014177E+000,-5.2078329E+000,-7.2835540E+000,-7.7065342E+000,-9.6517380E+000, 1.3180525E+000, 2.0245155E-067, 3.4031883E-001, 7.8477654E-068, 1.4157858E+000, 4.1502303E-057, 1.1249731E+000, 1.9999446E+001, 7.0853794E-001, 2.5792884E-043, 7.9397305E-001, 1.3098667E-039, 3.8344095E-001, 9.4025620E-032, 4.8744230E-001, 1.9999661E+001, 4.6025645E-001, 2.1269833E-002, 2.9443274E-001, 6.5354195E+000, 9.1489852E+000, 3.8208931E-001, 4.6665605E+000, 1.4302521E-001, 2.0182042E+001, 3.1790170E-001, 5.7118562E-026, 2.6181161E-001, 1.6214950E-030, 3.0618087E-001, 2.5787235E-030, 2.9146906E-001, 9.5144443E-002, 1.9977395E+001, 2.8167751E-001, 1.4992623E-012, 2.3961228E-001, 1.8251358E-012, 6.3808497E-013, 1.4841930E-001, 2.0791270E-011,-1.7165359E-001, 8.1875076E-002, 1.9967771E+001, 3.3930581E-001, 1.9619094E-003, 3.0252208E-001, 2.5150870E-003, 3.4311538E-001, 2.5518032E-003, 7.9352867E-002,-2.7862325E-002, 2.0033375E+001, 9.3272914E-001, 2.4636032E-016, 9.1702077E-001, 1.5530713E-016, 2.8628044E-017, 8.4583296E-001, 1.7521807E-014,-8.7131679E-001, 1.9969624E+001, 7.0540169E-001, 1.3236533E-009, 7.4803751E-001, 3.6264772E-010, 6.9525609E-001, 1.7688093E-007,-7.3696813E-001, 1.9965218E+001, 6.5424117E-001, 8.3670670E-005, 6.5958162E-001, 1.3380259E-004, 6.8370237E-001, 6.6341051E-005,-4.2935399E-001, 2.0032792E+001, 4.2725761E-002, 2.9798568E-015, 1.3369297E-019, 1.8403061E-001, 5.9952043E-012, 0.0000000E+000
 3.0002183E+001,-3.5614013E+000,-4.9173301E+000,-5.2264580E+000,-7.3195787E+000,-7.7350521E+000,-9.6796610E+000, 1.3036664E+000, 1.0254389E-050, 3.2878841E-001, 8.0577895E-051, 1.4029726E+000, 4.9419698E-044, 1.1200451E+000, 1.9999474E+001, 5.9198917E-001, 9.8822064E-032, 8.5633872E-001, 4.8369466E-034, 4.8149171E-001, 7.2838678E-030, 4.5183061E-001, 1.9999591E+001, 4.6441574E-001, 2.6999886E-002, 2.8817685E-001, 5.2425499E+000, 5.3331213E-001, 3.8162572E-001, 3.7543063E+000, 1.4696847E-001, 2.0237804E+001, 3.2023089E-001, 6.1839810E-013, 2.4547546E-001, 1.0470184E-014, 2.7161976E-001, 8.1112143E-015, 2.5102278E-001, 6.2915598E-002, 1.9970444E+001, 2.9017006E-001, 1.9553802E-005, 2.6905222E-001, 3.7021615E-005, 1.7721677E-005, 1.2275586E-001, 2.0619224E-004,-1.6859458E-001, 8.0399272E-002, 1.9966947E+001, 3.5408527E-001, 1.0478739E-001, 2.5256744E-001, 2.6770928E-001, 3.3348455E-001, 2.5637490E-001, 9.2919258E-002, 2.5959993E-002, 2.0080841E+001, 9.4889787E-001, 1.2462128E-004, 8.7615510E-001, 1.0154306E-004, 4.7995695E-005, 8.6939834E-001, 1.9406620E-004,-8.9877889E-001, 1.9968566E+001, 7.2484243E-001, 4.7330193E-003, 7.6662356E-001, 1.4902068E-002, 7.1228844E-001, 2.9599534E-002,-7.5319596E-001, 1.9970102E+001, 6.0518995E-001, 1.0560620E-001, 6.6091714E-001, 1.5371759E-001, 6.8016118E-001, 8.6010033E-002,-3.8031104E-001, 2.0041679E+001, 2.4905676E-003, 8.2760230E-008, 2.2413990E-007, 6.5506702E-001, 3.1739575E-005, 3.7098044E-004
 4.0000094E+001,-3.4911156E+000,-4.8594863E+000,-5.1720270E+000,-7.2637080E+000,-7.6839608E+000,-9.6262400E+000, 1.3045219E+000, 7.8904916E-048, 3.5367273E-001, 7.4372458E-048, 1.3956056E+000, 2.5658442E-042, 1.1148505E+000, 1.9999286E+001, 6.9993535E-001, 6.3408651E-026, 8.0005664E-001, 7.9954654E-029, 4.8895418E-001, 1.4048682E-026, 5.6853665E-001, 1.9999559E+001, 4.1578262E-001, 5.8756203E-001, 2.7287937E-001, 1.2105228E+001, 4.0270044E+000, 3.4756640E-001, 1.3926798E+001, 1.0650168E-001, 2.0244612E+001, 3.2705394E-001, 8.3128991E-010, 2.3786690E-001, 2.3697587E-011, 2.2606495E-001, 5.0659178E-011, 2.6239917E-001, 8.2341713E-002, 1.9969250E+001, 2.9460649E-001, 2.3448105E-003, 2.5600879E-001, 2.5886324E-003, 2.0874700E-003, 1.5682497E-001, 7.0119357E-003,-1.8479375E-001, 2.2987581E-002, 1.9967337E+001, 3.3844654E-001, 6.2881626E-001, 2.6824221E-001, 8.7809448E-001, 3.2935713E-001, 1.1373897E+000, 7.9185378E-002,-7.3547838E-003, 2.0034251E+001, 9.5218164E-001, 1.7015924E-002, 8.8226377E-001, 2.2413116E-002, 1.9086929E-002, 8.4686473E-001, 2.3177562E-002,-8.6474392E-001, 1.9968154E+001, 6.9595032E-001, 2.7962742E-001, 7.3927709E-001, 1.9629009E-001, 7.0944284E-001, 4.5144273E-001,-7.4213506E-001, 1.9981031E+001, 6.1363351E-001, 7.8568792E-001, 6.8700592E-001, 1.0288607E+000, 6.2893144E-001, 6.3244513E-001,-4.5176914E-001, 2.0025118E+001, 1.8806110E-002, 9.7484847E-006, 8.9135959E-005, 1.0771372E+001, 4.4001511E-003, 1.6370774E-002
 5.0002022E+001,-3.5111612E+000,-4.8933410E+000,-5.2035531E+000,-7.3029831E+000,-7.7213691E+000,-9.6641209E+000, 1.3321608E+000, 1.2189962E-041, 3.2536930E-001, 1.9929003E-042, 1.4278938E+000, 1.6973595E-035, 1.1316442E+000, 1.9999463E+001, 6.0784174E-001, 2.1509849E-022, 8.2866337E-001, 1.2926091E-024, 4.4899682E-001, 2.1160648E-022, 4.9273503E-001, 1.9999278E+001, 4.1061979E-001, 1.8715313E+000, 2.8341329E-001, 3.7953717E+000, 2.3827585E+000, 3.4628493E-001, 1.0997450E+001, 1.1717674E-001, 2.0212033E+001, 2.8495836E-001, 4.5666384E-008, 2.4160817E-001, 1.7221804E-008, 2.5320103E-001, 5.2325652E-009, 2.2894978E-001, 7.0280329E-002, 1.9968489E+001, 3.1630770E-001, 5.4450351E-003, 2.6609956E-001, 1.1108349E-002, 1.1056824E-002, 1.2062521E-001, 1.7241672E-002,-1.6952455E-001, 6.9202617E-002, 1.9967737E+001, 3.4613989E-001, 1.1447275E+000, 2.5059732E-001, 1.8483463E+000, 3.2722960E-001, 2.5734764E+000, 6.3672107E-002, 4.9972517E-002, 2.0052765E+001, 9.2108011E-001, 4.6046854E-002, 8.7046238E-001, 5.2616302E-002, 4.6659187E-002, 8.3113867E-001, 4.9062529E-002,-8.7013966E-001, 1.9967593E+001, 7.3769419E-001, 1.2571301E-001, 7.6862167E-001, 1.3007236E-001, 6.7857600E-001, 1.8275835E-001,-7.5906275E-001, 1.9972830E+001, 6.4130130E-001, 2.0552388E+000, 6.4021974E-001, 2.1678504E+000, 6.6277756E-001, 1.5965159E+000,-4.3397005E-001, 2.0050090E+001, 1.1127482E-002, 5.1635370E-005, 2.1789840E-004, 1.5102593E+000, 1.5250493E-002, 3.5746162E-002
 6.0003950E+001,-3.5201631E+000,-4.8965460E+000,-5.2073062E+000,-7.3028095E+000,-7.7253483E+000,-9.6668594E+000, 1.3323969E+000, 9.5510834E-041, 3.4944164E-001, 4.9536353E-041, 1.4216405E+000, 4.2234882E-034, 1.1365295E+000, 1.9999702E+001, 6.4869893E-001, 7.4570066E-021, 8.2302715E-001, 4.9006570E-023, 4.0509385E-001, 2.6820935E-020, 5.2277599E-001, 1.9999440E+001, 4.6103769E-001, 9.2994427E-002, 3.4183399E-001, 5.2744792E+000, 1.3477215E+001, 3.7864776E-001, 8.2678998E+000, 1.6584840E-001, 2.0137467E+001, 2.9979800E-001, 9.4489340E-006, 2.6415959E-001, 3.9122243E-007, 2.3402522E-001, 6.2921829E-007, 2.4914754E-001, 3.4101191E-002, 1.9967879E+001, 3.4796746E-001, 6.0402356E-003, 2.7133351E-001, 2.6873400E-002, 3.7231658E-002, 1.3771555E-001, 3.1542104E-002,-1.7969012E-001, 9.3167332E-002, 1.9967105E+001, 3.6067826E-001, 1.3703684E+000, 2.5568832E-001, 2.3220813E+000, 3.0942098E-001, 3.1514238E+000, 7.3839885E-002,-8.5929260E-003, 2.0037282E+001, 9.0537131E-001, 9.5615993E-002, 8.7897509E-001, 1.1784909E-001, 1.3952930E-001, 8.5959202E-001, 1.1651147E-001,-8.5585755E-001, 1.9967342E+001, 6.4469134E-001, 5.2489399E-001, 7.6631370E-001, 5.0490227E-001, 7.1207936E-001, 7.9184497E-001,-7.1364272E-001, 1.9973518E+001, 5.7716050E-001, 2.7456280E+000, 6.5142815E-001, 3.0256563E+000, 6.3328421E-001, 2.2991268E+000,-3.8588434E-001, 2.0044335E+001, 6.2938593E-002, 1.7387184E-004, 6.5160183E-004, 3.4364567E-003, 1.5331086E-002, 9.9025702E-002
