s,kW
Time,HRR_comp
 0.0000000E+000, 0.0000000E+000
 3.0059766E+001, 3.2211329E+002
 6.0084047E+001, 5.8459126E+002
 9.0091376E+001, 4.7183729E+002
 1.2005458E+002, 5.6417546E+002
 1.5007666E+002, 4.5887325E+002
 1.8004217E+002, 4.8317454E+002
 2.1005587E+002, 4.6455164E+002
 2.4005238E+002, 4.7206753E+002
 2.7005768E+002, 4.7916914E+002
 3.0000018E+002, 4.8688001E+002
 3.3000867E+002, 4.7127390E+002
 3.6005727E+002, 4.9890914E+002
 3.9002681E+002, 4.9511234E+002
 4.2002817E+002, 4.8707079E+002
 4.5003817E+002, 4.7989910E+002
 4.8005854E+002, 4.9722307E+002
 5.1002410E+002, 4.8262053E+002
 5.4001128E+002, 4.8632806E+002
 5.7006594E+002, 4.7630568E+002
 6.0000894E+002, 4.8614370E+002
 6.3005051E+002, 4.7232960E+002
 6.6001288E+002, 5.2306754E+002
 6.9005218E+002, 4.9817875E+002
 7.2003046E+002, 5.1183151E+002
 7.5005677E+002, 5.0100725E+002
 7.8003058E+002, 5.2779625E+002
 8.1005417E+002, 5.0848611E+002
 8.4005640E+002, 4.9486221E+002
 8.7006470E+002, 4.8756172E+002
 9.0006474E+002, 4.9794309E+002
 9.3004073E+002, 5.2030869E+002
 9.6006436E+002, 5.0624947E+002
 9.9004122E+002, 4.9973726E+002
 1.0200088E+003, 5.1040644E+002
 1.0500045E+003, 5.0942647E+002
 1.0800332E+003, 5.5238998E+002
 1.1100068E+003, 5.2185276E+002
 1.1400580E+003, 5.1233400E+002
 1.1700662E+003, 5.1136231E+002
 1.2000594E+003, 5.1451162E+002
 1.2300039E+003, 5.3164785E+002
 1.2600250E+003, 5.2295440E+002
 1.2900349E+003, 5.1877863E+002
 1.3200072E+003, 5.4244951E+002
 1.3500411E+003, 5.2303437E+002
 1.3800112E+003, 5.5191949E+002
 1.4100247E+003, 5.1260548E+002
 1.4400031E+003, 5.3305969E+002
 1.4700378E+003, 5.1035701E+002
 1.5000244E+003, 5.3914511E+002
 1.5300172E+003, 5.0193605E+002
 1.5600471E+003, 5.1541431E+002
 1.5900465E+003, 5.4962095E+002
 1.6200003E+003, 5.2145315E+002
 1.6500467E+003, 5.2506251E+002
 1.6800460E+003, 5.4104076E+002
 1.7100214E+003, 5.4262746E+002
 1.7400043E+003, 5.2996010E+002
 1.7700041E+003, 5.4585360E+002
 1.8000000E+003, 5.0316229E+002
