s,kW
Time,HRR_comp
 0.0000000E+000, 0.0000000E+000
 3.0048891E+001, 3.3479022E+002
 6.0010333E+001, 5.8186279E+002
 9.0028353E+001, 4.5519052E+002
 1.2001832E+002, 5.6486455E+002
 1.5002221E+002, 5.2171488E+002
 1.8001625E+002, 4.9767669E+002
 2.1000095E+002, 5.1638645E+002
 2.4003681E+002, 5.0431148E+002
 2.7000238E+002, 5.2504444E+002
 3.0000761E+002, 4.9969908E+002
 3.3002534E+002, 4.8781961E+002
 3.6001234E+002, 5.3490626E+002
 3.9002081E+002, 5.1035226E+002
 4.2001203E+002, 5.1579690E+002
 4.5001895E+002, 5.1604045E+002
 4.8001460E+002, 5.2363687E+002
 5.1002287E+002, 5.0426924E+002
 5.4002659E+002, 5.3444018E+002
 5.7000977E+002, 5.0722717E+002
 6.0002699E+002, 4.6533190E+002
 6.3001738E+002, 5.4948837E+002
 6.6001411E+002, 5.4124482E+002
 6.9002770E+002, 5.4896206E+002
 7.2001621E+002, 5.1652817E+002
 7.5000387E+002, 5.7986223E+002
 7.8002891E+002, 5.3694480E+002
 8.1001913E+002, 5.5373203E+002
 8.4000849E+002, 5.6048833E+002
 8.7000638E+002, 5.5838684E+002
 9.0001323E+002, 5.3626905E+002
 9.3001132E+002, 5.4971376E+002
 9.6001621E+002, 5.6456185E+002
 9.9000181E+002, 5.1989267E+002
 1.0200105E+003, 5.3216667E+002
 1.0500181E+003, 5.8315247E+002
 1.0800250E+003, 5.5492802E+002
 1.1100214E+003, 5.2452231E+002
 1.1400290E+003, 5.5887688E+002
 1.1700163E+003, 5.5443861E+002
 1.2000165E+003, 5.7506964E+002
 1.2300065E+003, 5.4258052E+002
 1.2600109E+003, 5.7387321E+002
 1.2900065E+003, 5.9468657E+002
 1.3200177E+003, 5.8276992E+002
 1.3500288E+003, 5.7677606E+002
 1.3800216E+003, 5.8036869E+002
 1.4100101E+003, 5.8409195E+002
 1.4400121E+003, 5.8216981E+002
 1.4700214E+003, 5.7467614E+002
 1.5000054E+003, 5.6204133E+002
 1.5300254E+003, 5.6708790E+002
 1.5600222E+003, 5.7174870E+002
 1.5900118E+003, 5.8073896E+002
 1.6200089E+003, 5.4640882E+002
 1.6500231E+003, 5.6238579E+002
 1.6800050E+003, 5.7825098E+002
 1.7100127E+003, 5.5297862E+002
 1.7400038E+003, 5.5932309E+002
 1.7700245E+003, 5.9971363E+002
 1.8000000E+003, 5.4837803E+002
