s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol
Time,"A-01","A-02","A-03","A-04","A-05","A-06","A-07","A-08","A-09","A-10","B-01","B-02","B-03","B-04","B-05","B-06","B-07","B-08","B-09","B-10","C-01","C-02","C-03","C-04","C-05","C-06","C-07","C-08","C-09","C-10","D-01","D-02","D-03","D-04","D-05","D-06","D-07","D-08","D-09","D-10","E-01","E-02","E-03","E-04","E-05","E-06","E-07","E-08","F-01","F-02","F-03","F-04","F-05","F-06","F-07","F-08","F-09","F-10","G-01","G-02","G-03","G-04","G-05","G-06","G-07","G-08","G-09","G-10","H-01_VEL","H-01_TEMP","H-02_VEL","H-02_TEMP","H-03_VEL","H-03_TEMP","H-04_VEL","H-04_TEMP","I-01_VEL","I-01_TEMP","I-02_VEL","I-02_TEMP","I-03_VEL","I-03_TEMP","I-04_VEL","I-04_TEMP","J-01_VEL","J-01_TEMP","J-02_VEL","J-02_TEMP","J-03_VEL","J-03_TEMP","J-04_VEL","J-04_TEMP","K-01_VEL","K-01_TEMP","K-02_VEL","K-02_TEMP","K-03_VEL","K-03_TEMP","K-04_VEL","K-04_TEMP","Wall_RADI_1","Wall_THFG_1","Wall_THFG_2","Hall_THFG","O2-1","O2-2","O2-3","O2-4"
 0.000E+00, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-1.782E-03, 2.700E+01,-2.927E-03, 2.700E+01, 4.811E-03, 2.700E+01,-6.895E-03, 2.700E+01,-3.506E-03, 2.700E+01,-6.588E-03, 2.700E+01,-5.080E-03, 2.700E+01,-2.286E-03, 2.700E+01,-5.900E-03, 2.700E+01, 6.137E-03, 2.700E+01,-5.657E-03, 2.700E+01, 4.798E-03, 2.700E+01, 4.629E-03, 2.700E+01,-3.051E-03, 2.700E+01,-4.637E-03, 2.700E+01, 6.913E-03, 2.700E+01,-1.221E-05,-1.221E-05,-1.107E-05,-1.167E-05, 2.065E-01, 2.065E-01, 2.065E-01, 2.065E-01
 1.502E+01, 2.718E+01, 2.717E+01, 2.721E+01, 2.713E+01, 2.714E+01, 2.747E+01, 3.047E+01, 3.411E+01, 3.411E+01, 3.940E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-4.793E-03, 2.700E+01,-4.803E-04, 2.700E+01, 6.600E-03, 2.700E+01, 1.309E-01, 2.733E+01, 1.909E-02, 2.700E+01, 2.271E-02, 2.700E+01, 2.159E-02, 2.700E+01, 2.168E-02, 2.700E+01, 2.064E-02, 2.700E+01, 2.460E-02, 2.700E+01, 1.939E-02, 2.700E+01, 2.024E-02, 2.700E+01, 2.265E-02, 2.700E+01, 2.205E-02, 2.700E+01, 2.454E-02, 2.700E+01, 2.350E-02, 2.700E+01, 7.569E-01, 7.600E-01, 7.595E-01, 2.498E-01, 2.065E-01, 2.065E-01, 2.065E-01, 2.065E-01
 3.000E+01, 2.765E+01, 2.761E+01, 2.778E+01, 2.760E+01, 3.153E+01, 4.746E+01, 6.420E+01, 7.687E+01, 7.687E+01, 8.825E+01, 2.703E+01, 2.704E+01, 2.705E+01, 2.707E+01, 2.868E+01, 3.345E+01, 4.208E+01, 4.944E+01, 4.944E+01, 4.911E+01, 2.701E+01, 2.711E+01, 2.770E+01, 2.807E+01, 2.859E+01, 2.953E+01, 3.111E+01, 3.165E+01, 3.165E+01, 3.143E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.704E+01, 2.735E+01, 2.723E+01, 2.802E+01, 2.802E+01, 2.869E+01, 2.699E+01, 2.699E+01, 2.699E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-3.199E-01, 2.707E+01,-3.186E-01, 2.711E+01, 7.123E-02, 3.086E+01, 1.189E+00, 5.824E+01,-2.183E-01, 2.702E+01,-2.119E-01, 2.704E+01, 2.201E-01, 3.161E+01, 8.155E-01, 4.119E+01, 4.959E-02, 2.700E+01, 4.677E-02, 2.700E+01, 5.005E-02, 2.700E+01, 4.581E-02, 2.700E+01, 4.755E-02, 2.700E+01, 4.786E-02, 2.700E+01, 4.735E-02, 2.700E+01, 4.850E-02, 2.700E+01, 1.883E+00, 1.892E+00, 1.896E+00, 6.375E-01, 2.065E-01, 2.065E-01, 2.065E-01, 2.065E-01
 4.501E+01, 2.819E+01, 2.817E+01, 2.843E+01, 2.830E+01, 3.592E+01, 7.322E+01, 9.724E+01, 1.144E+02, 1.144E+02, 1.249E+02, 2.717E+01, 2.727E+01, 2.812E+01, 2.988E+01, 3.365E+01, 5.281E+01, 7.967E+01, 9.042E+01, 9.042E+01, 8.789E+01, 2.742E+01, 2.846E+01, 3.248E+01, 3.841E+01, 5.685E+01, 5.679E+01, 6.806E+01, 6.931E+01, 6.931E+01, 6.656E+01, 2.726E+01, 2.781E+01, 2.952E+01, 3.059E+01, 3.839E+01, 5.511E+01, 5.273E+01, 5.221E+01, 5.221E+01, 5.415E+01, 3.339E+01, 3.107E+01, 3.021E+01, 2.896E+01, 2.909E+01, 2.983E+01, 3.172E+01, 3.306E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.706E+01, 2.711E+01, 2.720E+01, 2.720E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-4.539E-01, 2.760E+01,-4.392E-01, 2.877E+01, 3.501E-01, 4.546E+01, 1.382E+00, 9.585E+01,-4.784E-01, 2.751E+01,-3.635E-01, 3.181E+01, 4.577E-01, 5.137E+01, 1.221E+00, 8.085E+01, 6.911E-02, 2.700E+01, 6.946E-02, 2.700E+01, 7.197E-02, 2.700E+01, 6.618E-02, 2.700E+01, 7.061E-02, 2.700E+01, 6.990E-02, 2.700E+01, 6.808E-02, 2.700E+01, 6.924E-02, 2.700E+01, 3.217E+00, 3.244E+00, 3.268E+00, 1.098E+00, 2.065E-01, 2.065E-01, 2.065E-01, 2.065E-01
 6.000E+01, 2.887E+01, 2.906E+01, 3.038E+01, 3.283E+01, 4.784E+01, 9.444E+01, 1.244E+02, 1.465E+02, 1.465E+02, 1.561E+02, 2.891E+01, 3.052E+01, 3.304E+01, 4.185E+01, 4.921E+01, 7.841E+01, 1.064E+02, 1.187E+02, 1.187E+02, 1.146E+02, 3.349E+01, 3.381E+01, 3.508E+01, 4.561E+01, 8.076E+01, 8.735E+01, 9.502E+01, 9.593E+01, 9.593E+01, 9.264E+01, 3.111E+01, 3.661E+01, 4.228E+01, 4.500E+01, 5.204E+01, 8.529E+01, 8.227E+01, 8.136E+01, 8.136E+01, 8.147E+01, 4.765E+01, 4.268E+01, 3.852E+01, 3.761E+01, 3.765E+01, 3.950E+01, 4.558E+01, 5.139E+01, 2.701E+01, 2.703E+01, 2.728E+01, 2.727E+01, 2.731E+01, 2.812E+01, 3.230E+01, 3.420E+01, 3.566E+01, 3.566E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01, 2.700E+01,-4.984E-01, 3.034E+01,-5.086E-01, 4.190E+01, 2.879E-01, 6.772E+01, 1.456E+00, 1.234E+02,-7.019E-01, 3.276E+01,-3.421E-01, 4.557E+01, 5.326E-01, 7.745E+01, 1.291E+00, 1.064E+02,-3.183E-02, 2.701E+01,-4.155E-02, 2.701E+01, 2.645E-02, 2.728E+01, 6.212E-01, 3.087E+01, 8.880E-02, 2.700E+01, 8.875E-02, 2.700E+01, 9.134E-02, 2.700E+01, 9.275E-02, 2.700E+01, 4.610E+00, 4.670E+00, 4.795E+00, 1.593E+00, 2.065E-01, 2.065E-01, 2.065E-01, 2.065E-01
 7.500E+01, 3.051E+01, 3.195E+01, 3.561E+01, 4.366E+01, 7.056E+01, 1.235E+02, 1.604E+02, 1.867E+02, 1.867E+02, 1.959E+02, 3.336E+01, 3.805E+01, 4.236E+01, 4.966E+01, 6.623E+01, 1.015E+02, 1.362E+02, 1.483E+02, 1.483E+02, 1.434E+02, 4.087E+01, 4.250E+01, 4.338E+01, 5.514E+01, 1.007E+02, 1.122E+02, 1.198E+02, 1.204E+02, 1.204E+02, 1.157E+02, 3.936E+01, 4.579E+01, 5.376E+01, 5.606E+01, 6.589E+01, 1.047E+02, 1.093E+02, 1.093E+02, 1.093E+02, 1.080E+02, 6.580E+01, 6.197E+01, 5.882E+01, 5.871E+01, 5.817E+01, 5.870E+01, 6.404E+01, 6.762E+01, 2.706E+01, 2.708E+01, 2.728E+01, 2.938E+01, 3.355E+01, 3.725E+01, 4.389E+01, 4.640E+01, 4.871E+01, 4.871E+01, 2.700E+01, 2.701E+01, 2.701E+01, 2.701E+01, 2.713E+01, 2.767E+01, 2.843E+01, 2.861E+01, 2.868E+01, 2.868E+01,-5.842E-01, 3.780E+01,-5.651E-01, 5.414E+01, 2.185E-01, 8.794E+01, 1.609E+00, 1.546E+02,-5.811E-01, 3.967E+01,-4.399E-01, 5.625E+01, 4.329E-01, 1.003E+02, 1.363E+00, 1.336E+02,-2.508E-01, 2.705E+01,-1.969E-01, 2.732E+01, 2.617E-01, 3.207E+01, 9.573E-01, 4.376E+01,-1.371E-01, 2.702E+01,-1.348E-01, 2.703E+01, 1.005E-01, 2.825E+01, 5.846E-01, 3.175E+01, 5.456E+00, 5.575E+00, 5.555E+00, 1.912E+00, 2.065E-01, 2.064E-01, 2.061E-01, 2.059E-01
 9.001E+01, 3.362E+01, 3.733E+01, 4.393E+01, 5.360E+01, 8.757E+01, 1.389E+02, 1.761E+02, 2.033E+02, 2.033E+02, 2.169E+02, 3.785E+01, 4.406E+01, 5.044E+01, 6.080E+01, 8.322E+01, 1.182E+02, 1.546E+02, 1.626E+02, 1.626E+02, 1.572E+02, 4.926E+01, 5.233E+01, 5.225E+01, 5.597E+01, 1.129E+02, 1.310E+02, 1.384E+02, 1.388E+02, 1.388E+02, 1.337E+02, 4.577E+01, 5.317E+01, 6.169E+01, 6.557E+01, 7.486E+01, 1.175E+02, 1.275E+02, 1.276E+02, 1.276E+02, 1.254E+02, 7.737E+01, 7.175E+01, 7.092E+01, 7.104E+01, 7.146E+01, 7.078E+01, 7.840E+01, 8.287E+01, 2.712E+01, 2.716E+01, 2.740E+01, 3.138E+01, 4.094E+01, 4.908E+01, 5.720E+01, 5.946E+01, 6.156E+01, 6.156E+01, 2.704E+01, 2.712E+01, 2.742E+01, 2.893E+01, 3.021E+01, 3.465E+01, 4.078E+01, 4.138E+01, 4.101E+01, 4.101E+01,-6.551E-01, 4.572E+01,-5.996E-01, 6.554E+01, 2.106E-01, 1.072E+02, 1.478E+00, 1.684E+02,-5.309E-01, 4.764E+01,-5.464E-01, 6.436E+01, 4.170E-01, 1.151E+02, 1.327E+00, 1.486E+02,-4.593E-01, 2.712E+01,-2.441E-01, 2.985E+01, 4.574E-01, 4.386E+01, 1.120E+00, 5.696E+01,-3.954E-01, 2.707E+01,-3.574E-01, 2.745E+01, 2.784E-01, 3.335E+01, 8.410E-01, 4.377E+01, 5.766E+00, 5.915E+00, 5.814E+00, 2.091E+00, 2.061E-01, 2.058E-01, 2.052E-01, 2.046E-01
 1.050E+02, 3.893E+01, 4.357E+01, 5.090E+01, 6.022E+01, 9.697E+01, 1.516E+02, 1.856E+02, 2.168E+02, 2.168E+02, 2.311E+02, 3.901E+01, 4.932E+01, 5.510E+01, 6.284E+01, 8.897E+01, 1.269E+02, 1.652E+02, 1.769E+02, 1.769E+02, 1.705E+02, 5.266E+01, 5.531E+01, 5.565E+01, 5.888E+01, 1.232E+02, 1.420E+02, 1.495E+02, 1.485E+02, 1.485E+02, 1.430E+02, 5.014E+01, 5.542E+01, 6.420E+01, 7.202E+01, 8.560E+01, 1.253E+02, 1.402E+02, 1.400E+02, 1.400E+02, 1.387E+02, 8.903E+01, 8.557E+01, 8.476E+01, 8.415E+01, 8.463E+01, 8.570E+01, 9.028E+01, 9.282E+01, 2.719E+01, 2.724E+01, 2.743E+01, 3.309E+01, 4.303E+01, 5.723E+01, 6.479E+01, 6.721E+01, 6.915E+01, 6.915E+01, 2.752E+01, 2.966E+01, 3.175E+01, 3.488E+01, 3.730E+01, 4.600E+01, 5.261E+01, 5.278E+01, 5.138E+01, 5.138E+01,-6.017E-01, 5.111E+01,-7.034E-01, 7.037E+01, 2.538E-01, 1.178E+02, 1.550E+00, 1.814E+02,-4.984E-01, 5.133E+01,-6.859E-01, 7.241E+01, 3.946E-01, 1.250E+02, 1.385E+00, 1.597E+02,-5.518E-01, 2.721E+01,-2.761E-01, 3.164E+01, 4.890E-01, 5.057E+01, 1.157E+00, 6.453E+01,-5.154E-01, 2.746E+01,-3.347E-01, 3.113E+01, 3.713E-01, 4.212E+01, 8.654E-01, 5.404E+01, 5.818E+00, 6.001E+00, 5.849E+00, 2.153E+00, 2.052E-01, 2.048E-01, 2.039E-01, 2.030E-01
 1.200E+02, 4.480E+01, 4.751E+01, 5.392E+01, 6.310E+01, 9.616E+01, 1.532E+02, 1.895E+02, 2.199E+02, 2.199E+02, 2.354E+02, 4.083E+01, 5.135E+01, 5.776E+01, 6.723E+01, 9.524E+01, 1.333E+02, 1.723E+02, 1.817E+02, 1.817E+02, 1.747E+02, 5.542E+01, 5.822E+01, 5.809E+01, 5.989E+01, 1.184E+02, 1.465E+02, 1.556E+02, 1.549E+02, 1.549E+02, 1.490E+02, 5.256E+01, 5.775E+01, 6.453E+01, 7.337E+01, 8.131E+01, 1.222E+02, 1.434E+02, 1.429E+02, 1.429E+02, 1.424E+02, 8.452E+01, 8.807E+01, 8.968E+01, 9.061E+01, 9.095E+01, 9.252E+01, 9.743E+01, 9.992E+01, 2.735E+01, 2.753E+01, 2.829E+01, 3.633E+01, 5.035E+01, 6.390E+01, 7.192E+01, 7.448E+01, 7.739E+01, 7.739E+01, 2.795E+01, 3.213E+01, 3.639E+01, 4.202E+01, 4.689E+01, 5.365E+01, 5.920E+01, 5.910E+01, 5.732E+01, 5.732E+01,-6.959E-01, 5.432E+01,-6.811E-01, 7.347E+01, 1.371E-01, 1.210E+02, 1.599E+00, 1.866E+02,-6.307E-01, 5.298E+01,-6.575E-01, 7.277E+01, 4.100E-01, 1.292E+02, 1.446E+00, 1.667E+02,-5.913E-01, 2.785E+01,-3.101E-01, 3.569E+01, 6.601E-01, 5.862E+01, 1.221E+00, 7.277E+01,-4.430E-01, 2.981E+01,-2.909E-01, 3.646E+01, 4.042E-01, 4.968E+01, 8.849E-01, 6.142E+01, 6.387E+00, 6.596E+00, 5.568E+00, 2.289E+00, 2.045E-01, 2.041E-01, 2.023E-01, 2.018E-01
