s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol
Time,"A-01","A-02","A-03","A-04","A-05","A-06","A-07","A-08","A-09","A-10","B-01","B-02","B-03","B-04","B-05","B-06","B-07","B-08","B-09","B-10","C-01","C-02","C-03","C-04","C-05","C-06","C-07","C-08","C-09","C-10","D-01","D-02","D-03","D-04","D-05","D-06","D-07","D-08","D-09","D-10","E-01","E-02","E-03","E-04","E-05","E-06","E-07","E-08","F-01","F-02","F-03","F-04","F-05","F-06","F-07","F-08","F-09","F-10","G-01","G-02","G-03","G-04","G-05","G-06","G-07","G-08","G-09","G-10","H-01_VEL","H-01_TEMP","H-02_VEL","H-02_TEMP","H-03_VEL","H-03_TEMP","H-04_VEL","H-04_TEMP","I-01_VEL","I-01_TEMP","I-02_VEL","I-02_TEMP","I-03_VEL","I-03_TEMP","I-04_VEL","I-04_TEMP","J-01_VEL","J-01_TEMP","J-02_VEL","J-02_TEMP","J-03_VEL","J-03_TEMP","J-04_VEL","J-04_TEMP","K-01_VEL","K-01_TEMP","K-02_VEL","K-02_TEMP","K-03_VEL","K-03_TEMP","K-04_VEL","K-04_TEMP","Wall_RADI_1","Wall_THFG_1","Wall_THFG_2","Hall_THFG","O2-1","O2-2","O2-3","O2-4"
 0.000E+00, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-1.782E-03, 2.400E+01,-2.927E-03, 2.400E+01, 4.811E-03, 2.400E+01,-6.895E-03, 2.400E+01,-3.506E-03, 2.400E+01,-6.588E-03, 2.400E+01,-5.080E-03, 2.400E+01,-2.286E-03, 2.400E+01,-5.900E-03, 2.400E+01, 6.137E-03, 2.400E+01,-5.657E-03, 2.400E+01, 4.798E-03, 2.400E+01, 4.629E-03, 2.400E+01,-3.051E-03, 2.400E+01,-4.637E-03, 2.400E+01, 6.913E-03, 2.400E+01,-1.281E-05,-1.281E-05,-1.166E-05,-1.224E-05, 2.070E-01, 2.070E-01, 2.070E-01, 2.070E-01
 1.500E+01, 2.409E+01, 2.408E+01, 2.410E+01, 2.406E+01, 2.406E+01, 2.415E+01, 2.538E+01, 2.679E+01, 2.679E+01, 2.905E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 4.493E-03, 2.400E+01, 1.278E-02, 2.400E+01, 1.616E-02, 2.400E+01, 2.485E-02, 2.400E+01, 7.086E-03, 2.400E+01, 1.187E-02, 2.400E+01, 7.392E-03, 2.400E+01, 7.584E-03, 2.400E+01, 6.233E-03, 2.400E+01, 1.331E-02, 2.400E+01, 4.997E-03, 2.400E+01, 7.843E-03, 2.400E+01, 9.240E-03, 2.400E+01, 8.795E-03, 2.400E+01, 1.204E-02, 2.400E+01, 1.258E-02, 2.400E+01, 2.558E-01, 2.570E-01, 2.586E-01, 9.453E-02, 2.070E-01, 2.070E-01, 2.070E-01, 2.070E-01
 3.000E+01, 2.422E+01, 2.419E+01, 2.426E+01, 2.419E+01, 2.479E+01, 2.832E+01, 3.715E+01, 4.128E+01, 4.128E+01, 4.620E+01, 2.401E+01, 2.401E+01, 2.401E+01, 2.401E+01, 2.406E+01, 2.513E+01, 2.684E+01, 2.815E+01, 2.815E+01, 2.844E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-1.732E-01, 2.402E+01,-1.817E-01, 2.403E+01,-7.808E-02, 2.526E+01, 6.890E-01, 3.284E+01,-6.021E-02, 2.400E+01,-6.541E-02, 2.401E+01, 5.593E-02, 2.434E+01, 2.459E-01, 2.533E+01, 1.514E-02, 2.400E+01, 1.248E-02, 2.400E+01, 1.187E-02, 2.400E+01, 1.070E-02, 2.400E+01, 1.386E-02, 2.400E+01, 1.455E-02, 2.400E+01, 1.597E-02, 2.400E+01, 1.183E-02, 2.400E+01, 4.364E-01, 4.383E-01, 4.340E-01, 1.516E-01, 2.070E-01, 2.070E-01, 2.070E-01, 2.070E-01
 4.501E+01, 2.430E+01, 2.428E+01, 2.438E+01, 2.431E+01, 2.600E+01, 3.663E+01, 4.634E+01, 5.201E+01, 5.201E+01, 5.567E+01, 2.403E+01, 2.404E+01, 2.405E+01, 2.407E+01, 2.459E+01, 2.812E+01, 3.790E+01, 4.271E+01, 4.271E+01, 4.205E+01, 2.402E+01, 2.435E+01, 2.618E+01, 2.661E+01, 2.721E+01, 2.884E+01, 3.122E+01, 3.191E+01, 3.191E+01, 3.142E+01, 2.401E+01, 2.401E+01, 2.401E+01, 2.406E+01, 2.564E+01, 2.610E+01, 2.579E+01, 2.714E+01, 2.714E+01, 2.803E+01, 2.399E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-2.523E-01, 2.406E+01,-2.365E-01, 2.411E+01, 1.985E-02, 2.720E+01, 8.296E-01, 4.518E+01,-2.472E-01, 2.403E+01,-2.453E-01, 2.405E+01, 2.002E-01, 2.853E+01, 8.029E-01, 3.881E+01, 1.649E-02, 2.400E+01, 1.355E-02, 2.400E+01, 1.705E-02, 2.400E+01, 1.515E-02, 2.400E+01, 1.535E-02, 2.400E+01, 1.750E-02, 2.400E+01, 1.433E-02, 2.400E+01, 1.357E-02, 2.400E+01, 6.040E-01, 6.081E-01, 6.007E-01, 2.081E-01, 2.070E-01, 2.070E-01, 2.070E-01, 2.070E-01
 6.001E+01, 2.440E+01, 2.438E+01, 2.450E+01, 2.443E+01, 2.666E+01, 4.107E+01, 5.300E+01, 5.990E+01, 5.990E+01, 6.375E+01, 2.406E+01, 2.409E+01, 2.449E+01, 2.526E+01, 2.686E+01, 3.364E+01, 4.610E+01, 5.071E+01, 5.071E+01, 4.930E+01, 2.415E+01, 2.449E+01, 2.561E+01, 2.659E+01, 3.706E+01, 3.917E+01, 4.203E+01, 4.273E+01, 4.273E+01, 4.170E+01, 2.405E+01, 2.417E+01, 2.528E+01, 2.612E+01, 2.900E+01, 3.481E+01, 3.757E+01, 3.763E+01, 3.763E+01, 3.814E+01, 2.724E+01, 2.617E+01, 2.559E+01, 2.553E+01, 2.529E+01, 2.530E+01, 2.614E+01, 2.741E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-2.989E-01, 2.418E+01,-3.069E-01, 2.507E+01, 1.441E-01, 3.067E+01, 8.599E-01, 5.239E+01,-2.240E-01, 2.418E+01,-3.319E-01, 2.624E+01, 1.975E-01, 3.362E+01, 7.267E-01, 4.661E+01, 1.920E-02, 2.400E+01, 1.871E-02, 2.400E+01, 2.215E-02, 2.400E+01, 1.787E-02, 2.400E+01, 1.923E-02, 2.400E+01, 1.909E-02, 2.400E+01, 1.907E-02, 2.400E+01, 2.171E-02, 2.400E+01, 7.567E-01, 7.629E-01, 7.709E-01, 2.657E-01, 2.070E-01, 2.070E-01, 2.070E-01, 2.070E-01
 7.501E+01, 2.451E+01, 2.450E+01, 2.472E+01, 2.500E+01, 2.757E+01, 4.558E+01, 5.945E+01, 6.668E+01, 6.668E+01, 7.024E+01, 2.439E+01, 2.462E+01, 2.535E+01, 2.736E+01, 3.128E+01, 3.913E+01, 5.243E+01, 5.674E+01, 5.674E+01, 5.521E+01, 2.471E+01, 2.544E+01, 2.615E+01, 2.814E+01, 4.170E+01, 4.581E+01, 4.813E+01, 4.850E+01, 4.850E+01, 4.738E+01, 2.447E+01, 2.558E+01, 2.802E+01, 2.935E+01, 3.262E+01, 4.259E+01, 4.324E+01, 4.142E+01, 4.142E+01, 4.164E+01, 2.999E+01, 2.940E+01, 2.883E+01, 2.866E+01, 2.834E+01, 2.880E+01, 2.980E+01, 3.142E+01, 2.400E+01, 2.401E+01, 2.401E+01, 2.401E+01, 2.401E+01, 2.404E+01, 2.481E+01, 2.536E+01, 2.588E+01, 2.588E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-2.876E-01, 2.466E+01,-2.876E-01, 2.770E+01, 1.492E-01, 3.517E+01, 8.596E-01, 5.825E+01,-3.222E-01, 2.467E+01,-2.502E-01, 2.863E+01, 2.302E-01, 3.893E+01, 7.527E-01, 5.231E+01,-1.143E-03, 2.400E+01,-3.638E-03, 2.400E+01,-1.080E-02, 2.400E+01, 9.960E-02, 2.407E+01, 2.109E-02, 2.400E+01, 2.081E-02, 2.400E+01, 2.102E-02, 2.400E+01, 2.189E-02, 2.400E+01, 8.470E-01, 8.544E-01, 8.443E-01, 3.043E-01, 2.070E-01, 2.070E-01, 2.070E-01, 2.070E-01
 9.001E+01, 2.463E+01, 2.470E+01, 2.525E+01, 2.647E+01, 3.100E+01, 4.833E+01, 6.311E+01, 6.959E+01, 6.959E+01, 7.246E+01, 2.488E+01, 2.538E+01, 2.693E+01, 2.994E+01, 3.432E+01, 4.363E+01, 5.662E+01, 6.045E+01, 6.045E+01, 5.837E+01, 2.753E+01, 2.807E+01, 2.792E+01, 2.928E+01, 4.681E+01, 5.057E+01, 5.276E+01, 5.287E+01, 5.287E+01, 5.151E+01, 2.724E+01, 2.885E+01, 3.019E+01, 3.279E+01, 3.457E+01, 4.132E+01, 5.018E+01, 5.032E+01, 5.032E+01, 5.029E+01, 3.245E+01, 3.109E+01, 3.091E+01, 3.082E+01, 3.032E+01, 3.117E+01, 3.369E+01, 3.581E+01, 2.401E+01, 2.402E+01, 2.402E+01, 2.407E+01, 2.423E+01, 2.498E+01, 2.715E+01, 2.782E+01, 2.872E+01, 2.872E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-2.987E-01, 2.563E+01,-3.508E-01, 3.048E+01, 1.068E-01, 3.923E+01, 7.712E-01, 6.100E+01,-3.023E-01, 2.587E+01,-3.140E-01, 3.144E+01, 1.920E-01, 4.402E+01, 6.848E-01, 5.607E+01,-9.799E-02, 2.401E+01,-1.036E-01, 2.402E+01, 1.083E-01, 2.462E+01, 4.088E-01, 2.629E+01, 1.795E-02, 2.400E+01, 1.969E-02, 2.400E+01, 1.895E-02, 2.400E+01, 2.162E-02, 2.400E+01, 8.795E-01, 8.920E-01, 8.868E-01, 3.178E-01, 2.070E-01, 2.070E-01, 2.070E-01, 2.070E-01
 1.050E+02, 2.499E+01, 2.529E+01, 2.636E+01, 2.874E+01, 3.517E+01, 5.059E+01, 6.539E+01, 7.299E+01, 7.299E+01, 7.676E+01, 2.576E+01, 2.723E+01, 2.905E+01, 3.158E+01, 3.729E+01, 4.727E+01, 5.991E+01, 6.234E+01, 6.234E+01, 6.032E+01, 2.964E+01, 3.004E+01, 3.006E+01, 3.010E+01, 4.530E+01, 5.321E+01, 5.503E+01, 5.489E+01, 5.489E+01, 5.334E+01, 2.876E+01, 3.059E+01, 3.200E+01, 3.309E+01, 3.420E+01, 4.106E+01, 5.275E+01, 5.341E+01, 5.341E+01, 5.339E+01, 3.525E+01, 3.438E+01, 3.455E+01, 3.505E+01, 3.453E+01, 3.490E+01, 3.663E+01, 3.793E+01, 2.402E+01, 2.403E+01, 2.404E+01, 2.414E+01, 2.490E+01, 2.704E+01, 3.007E+01, 3.112E+01, 3.181E+01, 3.181E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-3.184E-01, 2.702E+01,-3.510E-01, 3.278E+01, 2.786E-02, 4.243E+01, 7.521E-01, 6.354E+01,-2.759E-01, 2.816E+01,-3.859E-01, 3.357E+01, 1.488E-01, 4.727E+01, 6.733E-01, 5.801E+01,-1.767E-01, 2.403E+01,-1.554E-01, 2.411E+01, 1.170E-01, 2.603E+01, 5.190E-01, 2.970E+01,-6.506E-02, 2.401E+01,-6.959E-02, 2.401E+01,-3.190E-02, 2.411E+01, 2.183E-01, 2.475E+01, 8.789E-01, 8.989E-01, 9.315E-01, 3.340E-01, 2.070E-01, 2.070E-01, 2.070E-01, 2.069E-01
 1.200E+02, 2.538E+01, 2.611E+01, 2.785E+01, 3.030E+01, 3.735E+01, 5.384E+01, 6.895E+01, 7.782E+01, 7.782E+01, 8.124E+01, 2.656E+01, 2.881E+01, 3.037E+01, 3.267E+01, 3.964E+01, 5.051E+01, 6.202E+01, 6.569E+01, 6.569E+01, 6.350E+01, 3.083E+01, 3.146E+01, 3.160E+01, 3.148E+01, 4.646E+01, 5.498E+01, 5.671E+01, 5.727E+01, 5.727E+01, 5.591E+01, 3.007E+01, 3.112E+01, 3.346E+01, 3.462E+01, 3.634E+01, 4.418E+01, 5.493E+01, 5.585E+01, 5.585E+01, 5.576E+01, 3.824E+01, 3.586E+01, 3.634E+01, 3.673E+01, 3.682E+01, 3.673E+01, 3.849E+01, 4.001E+01, 2.403E+01, 2.405E+01, 2.407E+01, 2.488E+01, 2.637E+01, 2.960E+01, 3.200E+01, 3.255E+01, 3.304E+01, 3.304E+01, 2.401E+01, 2.401E+01, 2.401E+01, 2.402E+01, 2.410E+01, 2.461E+01, 2.582E+01, 2.611E+01, 2.609E+01, 2.609E+01,-3.674E-01, 2.906E+01,-4.314E-01, 3.361E+01,-3.316E-02, 4.540E+01, 7.271E-01, 6.714E+01,-2.362E-01, 2.944E+01,-4.687E-01, 3.374E+01, 1.503E-01, 5.040E+01, 6.999E-01, 6.019E+01,-2.408E-01, 2.404E+01,-2.004E-01, 2.422E+01, 2.369E-01, 2.795E+01, 5.418E-01, 3.151E+01,-1.891E-01, 2.402E+01,-1.819E-01, 2.403E+01, 2.408E-02, 2.495E+01, 4.075E-01, 2.765E+01, 9.464E-01, 9.712E-01, 9.545E-01, 3.511E-01, 2.069E-01, 2.069E-01, 2.068E-01, 2.066E-01
