s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8,ZONE_9,ZONE_10,ZONE_11,ZONE_12,ZONE_13,ZONE_14,ZONE_15,ZONE_16,ZONE_17,ZONE_18
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6604727E-001,-5.1229661E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6605240E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001,-6.7603597E-001
 1.0006234E+001, 8.2886490E+001, 0.0000000E+000,-2.1985466E+001, 3.9223772E+000,-6.8779952E-002,-2.4992185E-002,-3.6462719E-004, 0.0000000E+000, 6.5424120E+001, 6.4729265E+001, 1.9210399E-004, 1.8736283E-003, 0.0000000E+000,-6.6864567E-001,-6.7637783E-001,-6.7392209E-001,-6.6571405E-001,-6.7014374E-001,-6.6627025E-001,-6.8968540E-001,-6.8205635E-001,-6.8109938E-001,-6.7614233E-001,-6.7667452E-001,-6.7823968E-001,-6.7615387E-001,-6.7647582E-001,-6.7756032E-001,-6.7612863E-001,-6.7637868E-001,-6.7813552E-001
 2.0006105E+001, 1.7023398E+002, 0.0000000E+000,-4.3389751E+001, 1.0670287E+001,-1.5379873E+000,-5.0484252E-002,-8.5066623E-005, 0.0000000E+000, 1.3568524E+002, 1.3592596E+002, 3.1348140E-005, 3.7424157E-003, 0.0000000E+000,-6.7735333E-001,-6.9066336E-001,-6.7606972E-001,-6.6910116E-001,-6.7291058E-001,-6.7473611E-001,-6.9021642E-001,-6.8335782E-001,-6.7729991E-001,-6.7612671E-001,-6.7656475E-001,-6.7347272E-001,-6.7618451E-001,-6.7650485E-001,-6.7593623E-001,-6.7610872E-001,-6.7655752E-001,-6.7959800E-001
 3.0023258E+001, 1.7082640E+002, 0.0000000E+000,-4.3208520E+001, 1.0306099E+001,-3.5444712E+000,-5.1018251E-002,-1.2025368E-005, 0.0000000E+000, 1.3428222E+002, 1.3432848E+002,-5.3577281E-005, 3.7559345E-003, 0.0000000E+000,-6.7212005E-001,-6.8205552E-001,-6.7796981E-001,-6.6673140E-001,-6.6850103E-001,-6.6244201E-001,-6.9044302E-001,-6.8559095E-001,-6.7625432E-001,-6.7615207E-001,-6.7660368E-001,-6.7973968E-001,-6.7623851E-001,-6.7646721E-001,-6.7958669E-001,-6.7606294E-001,-6.7641894E-001,-6.7843798E-001
 4.0020714E+001, 1.7147752E+002, 0.0000000E+000,-4.3741756E+001, 9.7621371E+000,-6.6611447E+000,-5.1172113E-002,-3.7864921E-005, 0.0000000E+000, 1.3089836E+002, 1.3078554E+002, 5.9298547E-005, 3.7691269E-003, 0.0000000E+000,-6.7919325E-001,-6.6412363E-001,-6.7590639E-001,-6.6690907E-001,-6.6385502E-001,-6.6962316E-001,-6.9050067E-001,-6.8785703E-001,-6.7876876E-001,-6.7620580E-001,-6.7680566E-001,-6.8066950E-001,-6.7634032E-001,-6.7668326E-001,-6.7827295E-001,-6.7605117E-001,-6.7656549E-001,-6.7890207E-001
 5.0004711E+001, 1.7202287E+002, 0.0000000E+000,-4.4972830E+001, 9.2786966E+000,-1.0399193E+001,-5.1303642E-002,-3.6378502E-004, 0.0000000E+000, 1.2611982E+002, 1.2587788E+002, 1.7576366E-005, 3.7823058E-003, 0.0000000E+000,-6.8070453E-001,-6.9315305E-001,-6.8008030E-001,-6.6748243E-001,-6.6895968E-001,-6.5327308E-001,-6.9193038E-001,-6.8995450E-001,-6.7858981E-001,-6.7628550E-001,-6.7718983E-001,-6.8630046E-001,-6.7645033E-001,-6.7709509E-001,-6.8246684E-001,-6.7604877E-001,-6.7693802E-001,-6.7943192E-001
 6.0013020E+001, 1.7271165E+002, 0.0000000E+000,-4.7054780E+001, 8.2108351E+000,-1.4577431E+001,-5.1387562E-002,-8.3741388E-004, 0.0000000E+000, 1.1996055E+002, 1.1923805E+002,-4.2628196E-005, 3.7954814E-003,-6.4120433E-272,-6.9221975E-001,-6.8271501E-001,-6.8378840E-001,-6.8441038E-001,-6.7504645E-001,-6.6379580E-001,-6.9398136E-001,-6.9346775E-001,-6.9697448E-001,-6.7641518E-001,-6.7881815E-001,-6.8513563E-001,-6.7665199E-001,-6.7804997E-001,-6.8811341E-001,-6.7611577E-001,-6.7775525E-001,-6.8629156E-001
 7.0010971E+001, 1.7334085E+002, 0.0000000E+000,-4.9369213E+001, 6.8322743E+000,-1.9161052E+001,-5.1560832E-002,-1.8152469E-003, 0.0000000E+000, 1.1308963E+002, 1.1158948E+002,-1.6884240E-004, 3.8086825E-003,-2.6504187E-204,-7.1580067E-001,-6.9588635E-001,-6.9289796E-001,-7.1401602E-001,-6.9606114E-001,-6.7292960E-001,-6.9893639E-001,-6.9508763E-001,-7.0937878E-001,-6.7668434E-001,-6.8129499E-001,-7.0773507E-001,-6.7690938E-001,-6.8031449E-001,-7.0062144E-001,-6.7625557E-001,-6.7991494E-001,-6.9741389E-001
 8.0021721E+001, 1.7391132E+002, 0.0000000E+000,-5.2274873E+001, 5.8328934E+000,-2.3063540E+001,-5.1700083E-002,-1.8178173E-003, 0.0000000E+000, 1.0612887E+002, 1.0435228E+002,-3.1778261E-004, 3.8218671E-003,-3.9641983E-148,-7.1526725E-001,-7.6857468E-001,-7.0626351E-001,-7.2667482E-001,-7.1899736E-001,-6.9153164E-001,-7.0195472E-001,-6.9736224E-001,-7.2913820E-001,-6.7694915E-001,-6.8362589E-001,-7.1871207E-001,-6.7722287E-001,-6.8290527E-001,-7.1721293E-001,-6.7646485E-001,-6.8237898E-001,-7.1517452E-001
