s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8,ZONE_9,ZONE_10,ZONE_11,ZONE_12,ZONE_13,ZONE_14,ZONE_15,ZONE_16,ZONE_17,ZONE_18
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8902413E-001,-2.0298092E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8902616E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001
 1.0015634E+001, 3.0167687E+001, 0.0000000E+000,-7.2192125E+000, 6.2196065E-001,-2.9780950E-002,-4.1850175E-003,-8.8234879E-004, 0.0000000E+000, 2.3562373E+001, 2.3535587E+001, 7.5832019E-005, 6.7866583E-004, 0.0000000E+000,-6.4798092E-001,-6.4667774E-001,-6.4817593E-001,-6.4603826E-001,-6.5111111E-001,-6.4352959E-001,-6.7153472E-001,-6.4827514E-001,-6.4526469E-001,-6.4459697E-001,-6.4488000E-001,-6.4436633E-001,-6.4460756E-001,-6.4473442E-001,-6.4466381E-001,-6.4457703E-001,-6.4468161E-001,-6.4496562E-001
 2.0002403E+001, 9.1555707E+001, 0.0000000E+000,-2.2311626E+001, 2.2185682E+000,-1.2357527E+000,-1.2478248E-002, 2.5309430E-005, 0.0000000E+000, 7.0174134E+001, 7.0214443E+001, 1.1479336E-004, 2.0305472E-003, 0.0000000E+000,-6.4629072E-001,-6.4504444E-001,-6.4778228E-001,-6.4059335E-001,-6.4419002E-001,-6.4617627E-001,-6.6968177E-001,-6.5217547E-001,-6.4657856E-001,-6.4462633E-001,-6.4497352E-001,-6.4659018E-001,-6.4467125E-001,-6.4493299E-001,-6.4586173E-001,-6.4458654E-001,-6.4487688E-001,-6.4579637E-001
 3.0017078E+001, 1.2300034E+002, 0.0000000E+000,-2.9723772E+001, 3.1266284E+000,-2.4878196E+000,-1.6738729E-002,-6.4723539E-006, 0.0000000E+000, 9.3845468E+001, 9.3898632E+001,-4.7476902E-005, 2.7031899E-003, 0.0000000E+000,-6.4986543E-001,-6.5396360E-001,-6.4944290E-001,-6.4393776E-001,-6.4033103E-001,-6.4390214E-001,-6.7005080E-001,-6.5413753E-001,-6.4505187E-001,-6.4464940E-001,-6.4500221E-001,-6.4485333E-001,-6.4473910E-001,-6.4496112E-001,-6.4461185E-001,-6.4455689E-001,-6.4493333E-001,-6.4583001E-001
 4.0006706E+001, 1.2301158E+002, 0.0000000E+000,-3.0277551E+001, 3.0221806E+000,-4.1366284E+000,-1.6739140E-002,-4.9955333E-005, 0.0000000E+000, 9.1594867E+001, 9.1602790E+001, 5.1849525E-005, 2.7031899E-003, 0.0000000E+000,-6.5001499E-001,-6.3349621E-001,-6.5130959E-001,-6.4186309E-001,-6.4070522E-001,-6.4460682E-001,-6.7051947E-001,-6.5569547E-001,-6.4398918E-001,-6.4467885E-001,-6.4502174E-001,-6.4755541E-001,-6.4480709E-001,-6.4502253E-001,-6.4711200E-001,-6.4451588E-001,-6.4494510E-001,-6.4635993E-001
 5.0007393E+001, 1.2298600E+002, 0.0000000E+000,-3.1261747E+001, 2.7883953E+000,-6.3714802E+000,-1.6714069E-002, 7.4344480E-006, 0.0000000E+000, 8.8102373E+001, 8.8124457E+001,-1.3049699E-005, 2.7034589E-003, 0.0000000E+000,-6.5190578E-001,-6.7499069E-001,-6.5239381E-001,-6.3757668E-001,-6.3449986E-001,-6.4976162E-001,-6.6904360E-001,-6.5778530E-001,-6.4263727E-001,-6.4471147E-001,-6.4533272E-001,-6.4492400E-001,-6.4492023E-001,-6.4524333E-001,-6.4447697E-001,-6.4451883E-001,-6.4510105E-001,-6.4709247E-001
 6.0005112E+001, 2.5925062E+002, 0.0000000E+000,-6.5058918E+001, 4.8897479E+000,-9.6511665E+000,-3.5056802E-002,-6.2123520E-004, 0.0000000E+000, 1.8950823E+002, 1.8939461E+002, 1.2213391E-004, 5.7799337E-003,-4.6855910E-300,-6.4142655E-001,-6.3210185E-001,-6.4398764E-001,-6.3422730E-001,-6.2831330E-001,-6.1569181E-001,-6.6511776E-001,-6.6438117E-001,-6.6354842E-001,-6.4492456E-001,-6.4629186E-001,-6.6499273E-001,-6.4515061E-001,-6.4612533E-001,-6.6277436E-001,-6.4462167E-001,-6.4582127E-001,-6.5653411E-001
 7.0013344E+001, 5.3854623E+002, 0.0000000E+000,-1.3254680E+002, 1.1747537E+001,-2.0895892E+001,-7.0786394E-002,-1.4927510E-003, 0.0000000E+000, 3.9673192E+002, 3.9677880E+002,-2.9400508E-005, 1.1911958E-002,-1.5830507E-226,-6.4205828E-001,-6.3482076E-001,-6.4343327E-001,-6.3249645E-001,-6.2930303E-001,-6.1057260E-001,-6.6298896E-001,-6.6888085E-001,-6.9494145E-001,-6.4511362E-001,-6.4770303E-001,-6.8117394E-001,-6.4541084E-001,-6.4736498E-001,-6.8227961E-001,-6.4479083E-001,-6.4713168E-001,-6.7802651E-001
 8.0013199E+001, 8.1682269E+002, 0.0000000E+000,-2.1556183E+002, 1.7026712E+001,-4.4746487E+001,-1.0472115E-001,-3.0429224E-003, 0.0000000E+000, 5.7314743E+002, 5.7343333E+002,-1.4320540E-004, 1.8044319E-002,-5.7891619E-164,-6.4626199E-001,-6.6019536E-001,-6.4569598E-001,-6.3091772E-001,-6.3284798E-001,-6.0510130E-001,-6.6309620E-001,-6.7541777E-001,-7.4200165E-001,-6.4536023E-001,-6.4937280E-001,-7.2071598E-001,-6.4569169E-001,-6.4899922E-001,-7.2144925E-001,-6.4497719E-001,-6.4867469E-001,-7.1899176E-001
 9.0003845E+001, 9.3214906E+002, 0.0000000E+000,-3.1461175E+002, 1.7638242E+001,-7.8900869E+001,-1.1667714E-001,-3.1388801E-003, 0.0000000E+000, 5.5580711E+002, 5.5615487E+002,-2.1314978E-004, 2.0482752E-002,-3.1923569E-094,-6.5758796E-001,-6.8955089E-001,-6.5768803E-001,-6.4900449E-001,-6.5647456E-001,-6.2975026E-001,-6.6802149E-001,-6.7768915E-001,-7.8727549E-001,-6.4551444E-001,-6.5103688E-001,-7.5219919E-001,-6.4587476E-001,-6.5059228E-001,-7.5428691E-001,-6.4507503E-001,-6.5021310E-001,-7.4924229E-001
