s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8,ZONE_9,ZONE_10,ZONE_11,ZONE_12,ZONE_13,ZONE_14,ZONE_15,ZONE_16,ZONE_17,ZONE_18,ZONE_19,ZONE_20
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2587641E-001,-4.6972219E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2588111E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001,-6.6611615E-001
 1.0015634E+001, 7.7975492E+001, 0.0000000E+000,-1.8367576E+001, 3.3741382E+000,-3.3321658E-001,-1.9881231E-002,-6.1980473E-004, 0.0000000E+000, 6.2850765E+001, 6.2628337E+001, 1.4773442E-004, 1.7657522E-003,-1.1130577E-153,-6.6905368E-001,-6.6213808E-001,-6.6810852E-001,-6.6526566E-001,-6.6711098E-001,-6.6034858E-001,-6.6310474E-001,-6.6287112E-001,-6.8374878E-001,-6.7270511E-001,-6.6899626E-001,-6.6619091E-001,-6.6658083E-001,-6.6674268E-001,-6.6620490E-001,-6.6646167E-001,-6.6632473E-001,-6.6617937E-001,-6.6638773E-001,-6.6739640E-001
 2.0011925E+001, 1.5997679E+002, 0.0000000E+000,-3.8008384E+001, 8.2615411E+000,-2.2807695E+000,-3.9782598E-002, 5.2560485E-005, 0.0000000E+000, 1.2774796E+002, 1.2790945E+002, 2.0311335E-005, 3.5161497E-003,-1.0923620E-088,-6.6891459E-001,-6.6478948E-001,-6.8102093E-001,-6.6816155E-001,-6.6717793E-001,-6.5711976E-001,-6.6309371E-001,-6.6423088E-001,-6.8462000E-001,-6.7365290E-001,-6.6554032E-001,-6.6618010E-001,-6.6642942E-001,-6.6353340E-001,-6.6623315E-001,-6.6632731E-001,-6.6402051E-001,-6.6614932E-001,-6.6637844E-001,-6.6675139E-001
 3.0023920E+001, 1.5993745E+002, 0.0000000E+000,-3.7994015E+001, 7.9196022E+000,-4.5808563E+000,-3.9983280E-002, 4.3412440E-004, 0.0000000E+000, 1.2524247E+002, 1.2524264E+002,-6.2263565E-005, 3.5163446E-003,-8.7739065E-062,-6.5653437E-001,-6.6773864E-001,-6.5357420E-001,-6.6785685E-001,-6.6714550E-001,-6.6143189E-001,-6.6037108E-001,-6.4925330E-001,-6.8652304E-001,-6.7576554E-001,-6.6564734E-001,-6.6622710E-001,-6.6666031E-001,-6.6714890E-001,-6.6630435E-001,-6.6631350E-001,-6.6684150E-001,-6.6610129E-001,-6.6628653E-001,-6.6644970E-001
 4.0015907E+001, 1.5991511E+002, 0.0000000E+000,-3.8761206E+001, 7.3753840E+000,-7.3428778E+000,-3.9977645E-002,-1.9595037E-004, 0.0000000E+000, 1.2125103E+002, 1.2114623E+002, 1.4226884E-005, 3.5163446E-003,-2.4184268E-050,-6.6290184E-001,-6.6740552E-001,-6.1706469E-001,-6.6747436E-001,-6.6715819E-001,-6.5938814E-001,-6.5962461E-001,-6.6917199E-001,-6.8603379E-001,-6.7874536E-001,-6.6505666E-001,-6.6628289E-001,-6.6665207E-001,-6.6842043E-001,-6.6638962E-001,-6.6645120E-001,-6.6679693E-001,-6.6607605E-001,-6.6635894E-001,-6.6822377E-001
 5.0008175E+001, 1.6001147E+002, 0.0000000E+000,-4.0214529E+001, 6.8982319E+000,-1.1412632E+001,-3.9945358E-002,-1.2365185E-004, 0.0000000E+000, 1.1558802E+002, 1.1524247E+002, 5.7182561E-005, 3.5163446E-003,-2.1949516E-041,-6.5049208E-001,-6.6759667E-001,-6.7521762E-001,-6.6686807E-001,-6.6722225E-001,-6.6419924E-001,-6.6486298E-001,-6.5829772E-001,-6.8562631E-001,-6.8077232E-001,-6.7658810E-001,-6.6635918E-001,-6.6738865E-001,-6.7426099E-001,-6.6652482E-001,-6.6724776E-001,-6.7267923E-001,-6.6609774E-001,-6.6698537E-001,-6.6979433E-001
 6.0004299E+001, 1.6000298E+002, 0.0000000E+000,-4.2241683E+001, 5.7806238E+000,-1.5367310E+001,-3.9924679E-002,-2.2987544E-003, 0.0000000E+000, 1.0908245E+002, 1.0813239E+002,-1.0828573E-004, 3.5163446E-003,-1.4459113E-038,-6.8478619E-001,-6.8189762E-001,-6.6284653E-001,-6.8011307E-001,-6.6721900E-001,-6.7137661E-001,-6.7551004E-001,-6.8617569E-001,-6.8633028E-001,-6.8275045E-001,-6.8316557E-001,-6.6655443E-001,-6.6909357E-001,-6.8074267E-001,-6.6673977E-001,-6.6864715E-001,-6.7660070E-001,-6.6622011E-001,-6.6834316E-001,-6.7823826E-001
 7.0016960E+001, 1.6000908E+002, 0.0000000E+000,-4.4623927E+001, 4.4533046E+000,-1.9178537E+001,-3.9880347E-002,-2.3076578E-003, 0.0000000E+000, 1.0221285E+002, 1.0061773E+002,-2.9058039E-004, 3.5163446E-003,-1.3453643E-038,-6.9174766E-001,-6.9079217E-001,-6.9149776E-001,-6.8898625E-001,-6.6714457E-001,-6.7211778E-001,-6.9909954E-001,-6.5895764E-001,-6.9080583E-001,-6.8512905E-001,-7.0727757E-001,-6.6682057E-001,-6.7212654E-001,-7.0401636E-001,-6.6705922E-001,-6.7133351E-001,-7.0178105E-001,-6.6645947E-001,-6.7093343E-001,-6.9468914E-001
 8.0013512E+001, 1.6000948E+002, 0.0000000E+000,-4.7090343E+001, 4.2784282E+000,-2.3346139E+001,-3.9887785E-002,-2.1465715E-003, 0.0000000E+000, 9.5127734E+001, 9.3809392E+001,-3.6952089E-004, 3.5163446E-003,-1.4847489E-038,-7.0965251E-001,-7.1015158E-001,-7.8425597E-001,-7.0069088E-001,-6.6712837E-001,-6.8067672E-001,-7.1555602E-001,-7.3144706E-001,-6.9094878E-001,-6.8600927E-001,-7.1907672E-001,-6.6704521E-001,-6.7431570E-001,-7.0254411E-001,-6.6738640E-001,-6.7384334E-001,-7.0534998E-001,-6.6670185E-001,-6.7340786E-001,-7.0749049E-001
 9.0025002E+001, 1.6003033E+002, 0.0000000E+000,-4.9671245E+001, 3.7863955E+000,-2.6304928E+001,-3.9891780E-002,-1.3660478E-003, 0.0000000E+000, 8.9458260E+001, 8.7799297E+001,-4.7275968E-004, 3.5163446E-003,-6.5989786E-036,-6.8201591E-001,-7.1556587E-001,-8.0471328E-001,-7.0048065E-001,-6.6704534E-001,-7.2147347E-001,-7.4741818E-001,-7.1104681E-001,-6.9617946E-001,-6.8672746E-001,-7.4208412E-001,-6.6734998E-001,-6.7719492E-001,-7.4338213E-001,-6.6766168E-001,-6.7645277E-001,-7.3822454E-001,-6.6687864E-001,-6.7599690E-001,-7.2344542E-001
 1.0002257E+002, 1.6007111E+002, 0.0000000E+000,-5.2498118E+001, 3.0423585E+000,-2.9985412E+001,-3.9870289E-002,-4.1054558E-003, 0.0000000E+000, 8.2301780E+001, 8.0585958E+001,-6.0244097E-004, 3.5163446E-003,-1.8071747E-036,-7.4745809E-001,-7.1783186E-001,-8.3946906E-001,-7.3616798E-001,-6.6705428E-001,-7.4517227E-001,-7.7502495E-001,-7.5601402E-001,-6.9286078E-001,-6.8778224E-001,-7.4728104E-001,-6.6762403E-001,-6.8012908E-001,-7.4873541E-001,-6.6801447E-001,-6.7933522E-001,-7.4212701E-001,-6.6718720E-001,-6.7902913E-001,-7.4057073E-001
 1.1001786E+002, 1.6006837E+002, 0.0000000E+000,-5.5137585E+001, 3.0970020E+000,-3.3359270E+001,-3.9897697E-002,-2.4951395E-003, 0.0000000E+000, 7.5873153E+001, 7.4626123E+001,-5.9091622E-004, 3.5163446E-003,-5.5974820E-038,-7.3845706E-001,-7.5814563E-001,-9.0929621E-001,-7.3390500E-001,-6.6710022E-001,-7.5963432E-001,-8.0209231E-001,-7.6356598E-001,-7.0262973E-001,-6.8896298E-001,-7.7354747E-001,-6.6788009E-001,-6.8280655E-001,-7.7989712E-001,-6.6833500E-001,-6.8238654E-001,-7.6876668E-001,-6.6741509E-001,-6.8197966E-001,-7.5813376E-001
 1.2001675E+002, 1.6001896E+002, 0.0000000E+000,-5.7751368E+001, 2.5147727E+000,-3.6580325E+001,-3.9858284E-002,-3.6699753E-003, 0.0000000E+000, 6.9557627E+001, 6.8158509E+001,-4.9813646E-004, 3.5163446E-003,-1.0797196E-033,-7.8796528E-001,-7.5650697E-001,-9.9312556E-001,-7.4954575E-001,-6.6686502E-001,-7.8562066E-001,-8.3111765E-001,-8.0042070E-001,-6.9709906E-001,-6.8996666E-001,-7.7798809E-001,-6.6813356E-001,-6.8494655E-001,-7.9206369E-001,-6.6867306E-001,-6.8507005E-001,-7.8833706E-001,-6.6769217E-001,-6.8466045E-001,-7.7887184E-001
 1.3001154E+002, 1.6008563E+002, 0.0000000E+000,-6.0224028E+001, 2.9042343E+000,-3.9014875E+001,-3.9844080E-002,-3.8718686E-003, 0.0000000E+000, 6.4724709E+001, 6.3707240E+001,-4.7028412E-004, 3.5163446E-003,-1.0760547E-025,-8.2226503E-001,-7.7512509E-001,-1.1049848E+000,-7.5370279E-001,-6.6677815E-001,-8.1205524E-001,-8.5871853E-001,-8.8674011E-001,-7.0031015E-001,-6.8982934E-001,-7.9113408E-001,-6.6836535E-001,-6.8744718E-001,-8.2162631E-001,-6.6888545E-001,-6.8736323E-001,-8.1148445E-001,-6.6785129E-001,-6.8691989E-001,-7.9113992E-001
