s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8,ZONE_9,ZONE_10,ZONE_11,ZONE_12,ZONE_13,ZONE_14,ZONE_15,ZONE_16,ZONE_17,ZONE_18,ZONE_19,ZONE_20
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1610160E-001,-2.3191381E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1610392E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001,-6.4455651E-001
 1.0015634E+001, 6.3357903E+001, 0.0000000E+000,-1.5990265E+001, 1.3513042E+000,-1.0000485E-001,-8.7002931E-003,-7.9059455E-004, 0.0000000E+000, 4.8574922E+001, 4.8609446E+001, 1.2684540E-004, 1.4313144E-003, 2.2521755E-166,-6.4631167E-001,-6.4359541E-001,-6.4714434E-001,-6.4552671E-001,-6.4593179E-001,-6.4234818E-001,-6.4662036E-001,-6.4328024E-001,-6.6783171E-001,-6.5054816E-001,-6.4578179E-001,-6.4461747E-001,-6.4495208E-001,-6.4448109E-001,-6.4462250E-001,-6.4482389E-001,-6.4458503E-001,-6.4460238E-001,-6.4476652E-001,-6.4567068E-001
 2.0012255E+001, 1.7452879E+002, 0.0000000E+000,-4.3406302E+001, 4.3556997E+000,-1.9536128E+000,-2.3593616E-002,-2.7945160E-004, 0.0000000E+000, 1.3331726E+002, 1.3350070E+002, 5.0708627E-005, 3.8641682E-003,-7.8123160E-101,-6.5202471E-001,-6.4571298E-001,-6.5397223E-001,-6.4734773E-001,-6.4590455E-001,-6.4110057E-001,-6.4375282E-001,-6.4159240E-001,-6.6757035E-001,-6.5248209E-001,-6.4664842E-001,-6.4463514E-001,-6.4512973E-001,-6.4298640E-001,-6.4469040E-001,-6.4501186E-001,-6.4441203E-001,-6.4460340E-001,-6.4495168E-001,-6.4682078E-001
 3.0021425E+001, 2.2176619E+002, 0.0000000E+000,-5.4301576E+001, 5.5911185E+000,-4.6371505E+000,-2.9864477E-002, 2.0649131E-004, 0.0000000E+000, 1.6833750E+002, 1.6838892E+002,-2.6048858E-005, 4.8753565E-003,-2.4259875E-058,-6.4936872E-001,-6.4652353E-001,-6.5069058E-001,-6.4812911E-001,-6.4587041E-001,-6.4079824E-001,-6.4157084E-001,-6.4387031E-001,-6.6733455E-001,-6.5472674E-001,-6.4466117E-001,-6.4465755E-001,-6.4508990E-001,-6.4198494E-001,-6.4475289E-001,-6.4505115E-001,-6.4296940E-001,-6.4456749E-001,-6.4493322E-001,-6.4640210E-001
 4.0006416E+001, 2.2346857E+002, 0.0000000E+000,-5.5875972E+001, 5.1983096E+000,-8.7681997E+000,-3.0070560E-002,-2.7681305E-004, 0.0000000E+000, 1.6398301E+002, 1.6399237E+002, 1.5422591E-005, 4.9120234E-003,-1.2117529E-042,-6.5247707E-001,-6.4858105E-001,-6.5798680E-001,-6.5027368E-001,-6.4589226E-001,-6.3969782E-001,-6.3771544E-001,-6.3089545E-001,-6.6743378E-001,-6.5777747E-001,-6.4512755E-001,-6.4471302E-001,-6.4536133E-001,-6.4438710E-001,-6.4484873E-001,-6.4519095E-001,-6.4524906E-001,-6.4454887E-001,-6.4502913E-001,-6.4841562E-001
 5.0009632E+001, 2.2500569E+002, 0.0000000E+000,-5.9145901E+001, 4.7351129E+000,-1.3950018E+001,-3.0243328E-002,-2.9310925E-004, 0.0000000E+000, 1.5673740E+002, 1.5661435E+002, 2.5887010E-006, 4.9485995E-003,-1.6488177E-033,-6.4926760E-001,-6.4548898E-001,-6.6847693E-001,-6.5096203E-001,-6.4588623E-001,-6.3575966E-001,-6.3715200E-001,-6.3966790E-001,-6.6535073E-001,-6.6036306E-001,-6.4997506E-001,-6.4478378E-001,-6.4573442E-001,-6.5593933E-001,-6.4497442E-001,-6.4577618E-001,-6.5227661E-001,-6.4457747E-001,-6.4554646E-001,-6.5138061E-001
 6.0025810E+001, 2.0013855E+002, 0.0000000E+000,-5.7747555E+001, 3.6949932E+000,-1.9972747E+001,-2.6822776E-002,-6.3641696E-004, 0.0000000E+000, 1.2646085E+002, 1.2608579E+002,-1.4724774E-005, 4.3833097E-003,-1.5534585E-028,-6.4992055E-001,-6.5173032E-001,-6.6871754E-001,-6.5493990E-001,-6.4587300E-001,-6.3066844E-001,-6.4026816E-001,-6.3016325E-001,-6.6857100E-001,-6.6237014E-001,-6.6589876E-001,-6.4491657E-001,-6.4711030E-001,-6.5457279E-001,-6.4518186E-001,-6.4675999E-001,-6.5693402E-001,-6.4467896E-001,-6.4643696E-001,-6.5871982E-001
 7.0014824E+001, 1.4743731E+002, 0.0000000E+000,-5.0532773E+001, 2.1197218E+000,-2.3903637E+001,-1.9821199E-002,-2.7943355E-003, 0.0000000E+000, 7.5728867E+001, 7.5098008E+001,-2.8713365E-004, 3.2231916E-003,-1.3634228E-028,-6.7164418E-001,-6.7335519E-001,-7.0628105E-001,-6.7196382E-001,-6.4592608E-001,-6.5620256E-001,-6.6353519E-001,-6.3554201E-001,-6.7303270E-001,-6.6207643E-001,-6.8316672E-001,-6.4515628E-001,-6.4944181E-001,-6.7100598E-001,-6.4545117E-001,-6.4885613E-001,-6.6932537E-001,-6.4481613E-001,-6.4842259E-001,-6.6941698E-001
 8.0005730E+001, 9.4805482E+001, 0.0000000E+000,-4.1716512E+001, 4.1469906E-001,-2.5827300E+001,-1.2794176E-002,-1.5958324E-003, 0.0000000E+000, 2.8387255E+001, 2.7661979E+001,-3.7403264E-004, 2.0672963E-003,-3.7890238E-030,-6.6490028E-001,-6.8666704E-001,-7.3348223E-001,-6.7581950E-001,-6.4597599E-001,-6.7998678E-001,-6.9473108E-001,-6.7499967E-001,-6.7497512E-001,-6.6053593E-001,-6.9495076E-001,-6.4539614E-001,-6.5180872E-001,-6.9260287E-001,-6.4570510E-001,-6.5143019E-001,-6.8894994E-001,-6.4496789E-001,-6.5086858E-001,-6.8349768E-001
 9.0002945E+001, 4.2001909E+001, 0.0000000E+000,-3.0566227E+001,-6.4244693E-001,-2.5818509E+001,-5.6511860E-003,-2.5548384E-003, 0.0000000E+000,-1.4469250E+001,-1.5033480E+001,-3.7536237E-004, 9.0589058E-004,-3.1611943E-030,-6.9534356E-001,-7.0555369E-001,-7.7078680E-001,-6.8802609E-001,-6.4626034E-001,-6.9294331E-001,-7.2017173E-001,-6.7345366E-001,-6.7820046E-001,-6.5875257E-001,-6.9522854E-001,-6.4557560E-001,-6.5418219E-001,-7.0442936E-001,-6.4594841E-001,-6.5330969E-001,-6.9716744E-001,-6.4512894E-001,-6.5272982E-001,-6.9613546E-001
 1.0001528E+002, 1.5002725E+001, 0.0000000E+000,-2.3096199E+001,-1.8587268E+000,-2.4408551E+001,-2.0687298E-003,-2.1719745E-003, 0.0000000E+000,-3.3653644E+001,-3.4364993E+001,-3.9957627E-004, 3.2965731E-004,-1.0469469E-028,-7.0552362E-001,-7.1815154E-001,-8.1838689E-001,-6.8797810E-001,-6.4618424E-001,-6.9787616E-001,-7.4638441E-001,-7.2842016E-001,-6.7743431E-001,-6.5784717E-001,-7.2108243E-001,-6.4571938E-001,-6.5621228E-001,-7.1784127E-001,-6.4622769E-001,-6.5579458E-001,-7.1615939E-001,-6.4535122E-001,-6.5517771E-001,-7.0647317E-001
 1.1002286E+002, 1.5004465E+001, 0.0000000E+000,-2.1101351E+001,-1.4768730E+000,-2.3254742E+001,-2.0691121E-003,-1.0626397E-003, 0.0000000E+000,-3.0257334E+001,-3.0831634E+001,-4.3737711E-004, 3.2965731E-004,-7.1578580E-026,-7.1113460E-001,-7.2672095E-001,-8.7109084E-001,-6.9928695E-001,-6.4621073E-001,-7.0503247E-001,-7.5067266E-001,-7.4678968E-001,-6.7754148E-001,-6.5676069E-001,-7.1340452E-001,-6.4582709E-001,-6.5767864E-001,-7.2656314E-001,-6.4645488E-001,-6.5795084E-001,-7.2410607E-001,-6.4558309E-001,-6.5750602E-001,-7.1667892E-001
 1.2000069E+002, 1.4996629E+001, 0.0000000E+000,-1.9508152E+001,-1.3228523E+000,-2.2166198E+001,-2.0695639E-003,-1.6811646E-003, 0.0000000E+000,-2.7478722E+001,-2.8004324E+001,-2.8383256E-004, 3.2965731E-004,-1.9537358E-025,-7.2650925E-001,-7.3132111E-001,-9.2798901E-001,-7.0604245E-001,-6.4619050E-001,-7.5253423E-001,-7.9423975E-001,-7.5249404E-001,-6.7960976E-001,-6.5539936E-001,-7.1152586E-001,-6.4596963E-001,-6.5908332E-001,-7.3420857E-001,-6.4665919E-001,-6.5982560E-001,-7.2581583E-001,-6.4563780E-001,-6.5917163E-001,-7.2121196E-001
 1.3000241E+002, 1.4998141E+001, 0.0000000E+000,-1.8179510E+001,-1.2847345E+000,-2.1232912E+001,-2.0691839E-003,-5.0383007E-004, 0.0000000E+000,-2.5381867E+001,-2.5701588E+001,-2.8263680E-004, 3.2965731E-004,-1.0266807E-024,-7.2503195E-001,-7.4446903E-001,-9.2931438E-001,-7.0752665E-001,-6.4606593E-001,-7.6465117E-001,-7.9897861E-001,-7.6617489E-001,-6.8336520E-001,-6.5432791E-001,-7.1094773E-001,-6.4606202E-001,-6.5944299E-001,-7.3400279E-001,-6.4679511E-001,-6.6117528E-001,-7.3343335E-001,-6.4576207E-001,-6.6061683E-001,-7.2580896E-001
