m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 5.552E+00, 9.114E+00, 4.161E+00, 1.075E+00, 4.500E-01, 5.555E+00, 9.268E+00, 4.225E+00, 1.087E+00
 5.000E-01, 4.866E+00, 7.758E+00, 3.705E+00, 1.039E+00, 5.000E-01, 4.871E+00, 7.881E+00, 3.757E+00, 1.049E+00
 5.500E-01, 4.275E+00, 6.641E+00, 3.298E+00, 9.977E-01, 5.500E-01, 4.280E+00, 6.741E+00, 3.341E+00, 1.007E+00
 6.000E-01, 3.762E+00, 5.712E+00, 2.935E+00, 9.502E-01, 6.000E-01, 3.769E+00, 5.794E+00, 2.971E+00, 9.585E-01
 6.500E-01, 3.316E+00, 4.933E+00, 2.611E+00, 8.970E-01, 6.500E-01, 3.323E+00, 5.001E+00, 2.642E+00, 9.045E-01
 7.000E-01, 2.927E+00, 4.275E+00, 2.323E+00, 8.395E-01, 7.000E-01, 2.934E+00, 4.331E+00, 2.349E+00, 8.463E-01
 7.500E-01, 2.587E+00, 3.715E+00, 2.068E+00, 7.795E-01, 7.500E-01, 2.593E+00, 3.762E+00, 2.090E+00, 7.856E-01
 8.000E-01, 2.288E+00, 3.237E+00, 1.842E+00, 7.190E-01, 8.000E-01, 2.294E+00, 3.276E+00, 1.861E+00, 7.244E-01
 8.500E-01, 2.025E+00, 2.826E+00, 1.641E+00, 6.595E-01, 8.500E-01, 2.031E+00, 2.858E+00, 1.658E+00, 6.641E-01
 9.000E-01, 1.793E+00, 2.472E+00, 1.464E+00, 6.023E-01, 9.000E-01, 1.799E+00, 2.499E+00, 1.478E+00, 6.063E-01
 9.500E-01, 1.589E+00, 2.166E+00, 1.307E+00, 5.483E-01, 9.500E-01, 1.594E+00, 2.189E+00, 1.318E+00, 5.518E-01
 1.000E+00, 1.409E+00, 1.902E+00, 1.167E+00, 4.981E-01, 1.000E+00, 1.414E+00, 1.921E+00, 1.177E+00, 5.012E-01
 1.050E+00, 1.250E+00, 1.672E+00, 1.042E+00, 4.519E-01, 1.050E+00, 1.254E+00, 1.688E+00, 1.051E+00, 4.547E-01
 1.100E+00, 1.109E+00, 1.472E+00, 9.305E-01, 4.098E-01, 1.100E+00, 1.113E+00, 1.485E+00, 9.383E-01, 4.123E-01
 1.150E+00, 9.843E-01, 1.297E+00, 8.309E-01, 3.716E-01, 1.150E+00, 9.876E-01, 1.309E+00, 8.378E-01, 3.739E-01
 1.200E+00, 8.740E-01, 1.145E+00, 7.418E-01, 3.371E-01, 1.200E+00, 8.769E-01, 1.155E+00, 7.479E-01, 3.392E-01
 1.250E+00, 7.764E-01, 1.012E+00, 6.621E-01, 3.059E-01, 1.250E+00, 7.789E-01, 1.020E+00, 6.675E-01, 3.079E-01
 1.300E+00, 6.899E-01, 8.947E-01, 5.907E-01, 2.778E-01, 1.300E+00, 6.922E-01, 9.015E-01, 5.956E-01, 2.796E-01
 1.350E+00, 6.133E-01, 7.918E-01, 5.268E-01, 2.523E-01, 1.350E+00, 6.153E-01, 7.976E-01, 5.313E-01, 2.540E-01
