m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 7.633E+00, 1.246E+01, 6.336E+00, 1.846E+00, 4.500E-01, 9.206E+00, 1.514E+01, 6.819E+00, 1.768E+00
 5.000E-01, 6.850E+00, 1.085E+01, 5.746E+00, 1.808E+00, 5.000E-01, 7.929E+00, 1.276E+01, 6.033E+00, 1.688E+00
 5.500E-01, 6.163E+00, 9.501E+00, 5.216E+00, 1.767E+00, 5.500E-01, 6.863E+00, 1.084E+01, 5.348E+00, 1.607E+00
 6.000E-01, 5.559E+00, 8.363E+00, 4.737E+00, 1.718E+00, 6.000E-01, 5.964E+00, 9.251E+00, 4.747E+00, 1.523E+00
 6.500E-01, 5.025E+00, 7.393E+00, 4.304E+00, 1.659E+00, 6.500E-01, 5.199E+00, 7.935E+00, 4.217E+00, 1.434E+00
 7.000E-01, 4.551E+00, 6.562E+00, 3.913E+00, 1.589E+00, 7.000E-01, 4.542E+00, 6.833E+00, 3.747E+00, 1.341E+00
 7.500E-01, 4.129E+00, 5.843E+00, 3.562E+00, 1.509E+00, 7.500E-01, 3.977E+00, 5.905E+00, 3.331E+00, 1.246E+00
 8.000E-01, 3.752E+00, 5.218E+00, 3.245E+00, 1.423E+00, 8.000E-01, 3.487E+00, 5.117E+00, 2.962E+00, 1.152E+00
 8.500E-01, 3.414E+00, 4.673E+00, 2.961E+00, 1.334E+00, 8.500E-01, 3.062E+00, 4.445E+00, 2.634E+00, 1.059E+00
 9.000E-01, 3.109E+00, 4.194E+00, 2.705E+00, 1.242E+00, 9.000E-01, 2.692E+00, 3.870E+00, 2.344E+00, 9.703E-01
 9.500E-01, 2.834E+00, 3.773E+00, 2.473E+00, 1.152E+00, 9.500E-01, 2.369E+00, 3.375E+00, 2.087E+00, 8.862E-01
 1.000E+00, 2.584E+00, 3.401E+00, 2.263E+00, 1.065E+00, 1.000E+00, 2.087E+00, 2.949E+00, 1.858E+00, 8.076E-01
 1.050E+00, 2.357E+00, 3.071E+00, 2.071E+00, 9.825E-01, 1.050E+00, 1.839E+00, 2.580E+00, 1.655E+00, 7.348E-01
