m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 9.174E+00, 9.534E+00, 3.525E+00, 9.873E-01, 4.500E-01, 1.813E+01, 1.616E+01, 3.711E+00, 7.595E-01
 5.000E-01, 8.187E+00, 8.548E+00, 3.394E+00, 1.040E+00, 5.000E-01, 1.455E+01, 1.351E+01, 3.409E+00, 7.445E-01
 5.500E-01, 7.338E+00, 7.687E+00, 3.250E+00, 1.100E+00, 5.500E-01, 1.189E+01, 1.140E+01, 3.134E+00, 7.291E-01
 6.000E-01, 6.606E+00, 6.934E+00, 3.100E+00, 1.157E+00, 6.000E-01, 9.850E+00, 9.675E+00, 2.879E+00, 7.130E-01
 6.500E-01, 5.971E+00, 6.275E+00, 2.950E+00, 1.204E+00, 6.500E-01, 8.242E+00, 8.255E+00, 2.639E+00, 6.952E-01
 7.000E-01, 5.418E+00, 5.697E+00, 2.805E+00, 1.235E+00, 7.000E-01, 6.951E+00, 7.072E+00, 2.411E+00, 6.744E-01
 7.500E-01, 4.936E+00, 5.191E+00, 2.668E+00, 1.247E+00, 7.500E-01, 5.899E+00, 6.079E+00, 2.195E+00, 6.498E-01
 8.000E-01, 4.513E+00, 4.747E+00, 2.542E+00, 1.241E+00, 8.000E-01, 5.032E+00, 5.242E+00, 1.991E+00, 6.213E-01
 8.500E-01, 4.140E+00, 4.358E+00, 2.427E+00, 1.219E+00, 8.500E-01, 4.310E+00, 4.533E+00, 1.801E+00, 5.892E-01
 9.000E-01, 3.811E+00, 4.017E+00, 2.320E+00, 1.184E+00, 9.000E-01, 3.704E+00, 3.930E+00, 1.624E+00, 5.543E-01
 9.500E-01, 3.519E+00, 3.718E+00, 2.221E+00, 1.139E+00, 9.500E-01, 3.192E+00, 3.414E+00, 1.462E+00, 5.176E-01
