m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 9.174E+00, 1.898E+01, 1.406E+01, 5.806E+00, 4.500E-01, 1.064E+01, 2.151E+01, 1.434E+01, 5.562E+00
 5.000E-01, 8.436E+00, 1.661E+01, 1.251E+01, 5.390E+00, 5.000E-01, 9.397E+00, 1.836E+01, 1.258E+01, 5.109E+00
 5.500E-01, 7.762E+00, 1.462E+01, 1.117E+01, 5.024E+00, 5.500E-01, 8.334E+00, 1.577E+01, 1.107E+01, 4.702E+00
 6.000E-01, 7.144E+00, 1.294E+01, 1.001E+01, 4.688E+00, 6.000E-01, 7.413E+00, 1.363E+01, 9.784E+00, 4.329E+00
 6.500E-01, 6.578E+00, 1.150E+01, 9.003E+00, 4.371E+00, 6.500E-01, 6.607E+00, 1.183E+01, 8.667E+00, 3.981E+00
 7.000E-01, 6.058E+00, 1.026E+01, 8.116E+00, 4.068E+00, 7.000E-01, 5.898E+00, 1.031E+01, 7.694E+00, 3.656E+00
 7.500E-01, 5.581E+00, 9.190E+00, 7.334E+00, 3.778E+00, 7.500E-01, 5.271E+00, 9.012E+00, 6.842E+00, 3.352E+00
 8.000E-01, 5.143E+00, 8.253E+00, 6.642E+00, 3.499E+00, 8.000E-01, 4.715E+00, 7.904E+00, 6.095E+00, 3.068E+00
 8.500E-01, 4.740E+00, 7.431E+00, 6.027E+00, 3.233E+00, 8.500E-01, 4.220E+00, 6.950E+00, 5.437E+00, 2.804E+00
 9.000E-01, 4.369E+00, 6.707E+00, 5.478E+00, 2.982E+00, 9.000E-01, 3.780E+00, 6.125E+00, 4.855E+00, 2.560E+00
 9.500E-01, 4.027E+00, 6.065E+00, 4.985E+00, 2.747E+00, 9.500E-01, 3.387E+00, 5.409E+00, 4.341E+00, 2.336E+00
 1.000E+00, 3.712E+00, 5.495E+00, 4.542E+00, 2.528E+00, 1.000E+00, 3.036E+00, 4.785E+00, 3.885E+00, 2.130E+00
 1.050E+00, 3.421E+00, 4.986E+00, 4.140E+00, 2.325E+00, 1.050E+00, 2.723E+00, 4.239E+00, 3.481E+00, 1.942E+00
 1.100E+00, 3.152E+00, 4.531E+00, 3.776E+00, 2.138E+00, 1.100E+00, 2.443E+00, 3.761E+00, 3.121E+00, 1.770E+00
 1.150E+00, 2.903E+00, 4.123E+00, 3.443E+00, 1.967E+00, 1.150E+00, 2.192E+00, 3.341E+00, 2.800E+00, 1.614E+00
 1.200E+00, 2.672E+00, 3.755E+00, 3.140E+00, 1.810E+00, 1.200E+00, 1.968E+00, 2.971E+00, 2.514E+00, 1.471E+00
 1.250E+00, 2.459E+00, 3.423E+00, 2.862E+00, 1.666E+00, 1.250E+00, 1.767E+00, 2.645E+00, 2.258E+00, 1.340E+00
 1.300E+00, 2.261E+00, 3.122E+00, 2.607E+00, 1.535E+00, 1.300E+00, 1.587E+00, 2.356E+00, 2.030E+00, 1.222E+00
 1.350E+00, 2.078E+00, 2.850E+00, 2.374E+00, 1.414E+00, 1.350E+00, 1.426E+00, 2.101E+00, 1.825E+00, 1.113E+00
 1.400E+00, 1.909E+00, 2.602E+00, 2.160E+00, 1.303E+00, 1.400E+00, 1.282E+00, 1.875E+00, 1.643E+00, 1.014E+00
 1.450E+00, 1.752E+00, 2.377E+00, 1.964E+00, 1.202E+00, 1.450E+00, 1.153E+00, 1.674E+00, 1.479E+00, 9.232E-01
 1.500E+00, 1.607E+00, 2.171E+00, 1.785E+00, 1.107E+00, 1.500E+00, 1.038E+00, 1.496E+00, 1.332E+00, 8.406E-01
 1.550E+00, 1.473E+00, 1.983E+00, 1.622E+00, 1.020E+00, 1.550E+00, 9.340E-01, 1.337E+00, 1.200E+00, 7.651E-01
 1.600E+00, 1.349E+00, 1.810E+00, 1.473E+00, 9.397E-01, 1.600E+00, 8.412E-01, 1.196E+00, 1.082E+00, 6.962E-01
 1.650E+00, 1.235E+00, 1.653E+00, 1.338E+00, 8.646E-01, 1.650E+00, 7.581E-01, 1.070E+00, 9.765E-01, 6.335E-01
 1.700E+00, 1.130E+00, 1.508E+00, 1.215E+00, 7.949E-01, 1.700E+00, 6.835E-01, 9.572E-01, 8.813E-01, 5.763E-01
 1.750E+00, 1.033E+00, 1.375E+00, 1.103E+00, 7.301E-01, 1.750E+00, 6.167E-01, 8.569E-01, 7.958E-01, 5.244E-01
 1.800E+00, 9.440E-01, 1.254E+00, 1.002E+00, 6.698E-01, 1.800E+00, 5.567E-01, 7.672E-01, 7.190E-01, 4.771E-01
 1.850E+00, 8.620E-01, 1.142E+00, 9.102E-01, 6.138E-01, 1.850E+00, 5.029E-01, 6.871E-01, 6.498E-01, 4.343E-01
 1.900E+00, 7.866E-01, 1.040E+00, 8.272E-01, 5.618E-01, 1.900E+00, 4.546E-01, 6.155E-01, 5.876E-01, 3.954E-01
 1.950E+00, 7.175E-01, 9.459E-01, 7.521E-01, 5.137E-01, 1.950E+00, 4.112E-01, 5.515E-01, 5.315E-01, 3.602E-01
 2.000E+00, 6.541E-01, 8.598E-01, 6.843E-01, 4.692E-01, 2.000E+00, 3.723E-01, 4.943E-01, 4.809E-01, 3.284E-01
 2.050E+00, 5.959E-01, 7.809E-01, 6.228E-01, 4.282E-01, 2.050E+00, 3.373E-01, 4.431E-01, 4.353E-01, 2.996E-01
 2.100E+00, 5.427E-01, 7.087E-01, 5.673E-01, 3.904E-01, 2.100E+00, 3.058E-01, 3.973E-01, 3.941E-01, 2.735E-01
