m,kW/m2,kW/m2,kW/m2,kW/m2,m,kW/m2,kW/m2,kW/m2,kW/m2
x distance,f000,f050,f100,f150,y distance,s000,s050,s100,s150
 4.500E-01, 9.534E+00, 2.063E+01, 1.797E+01, 8.951E+00, 4.500E-01, 1.100E+01, 2.340E+01, 1.848E+01, 8.549E+00
 5.000E-01, 8.814E+00, 1.812E+01, 1.589E+01, 8.147E+00, 5.000E-01, 9.824E+00, 2.012E+01, 1.617E+01, 7.775E+00
 5.500E-01, 8.151E+00, 1.602E+01, 1.412E+01, 7.458E+00, 5.500E-01, 8.804E+00, 1.741E+01, 1.423E+01, 7.095E+00
 6.000E-01, 7.539E+00, 1.422E+01, 1.260E+01, 6.848E+00, 6.000E-01, 7.911E+00, 1.515E+01, 1.257E+01, 6.486E+00
 6.500E-01, 6.974E+00, 1.268E+01, 1.129E+01, 6.296E+00, 6.500E-01, 7.122E+00, 1.325E+01, 1.115E+01, 5.933E+00
 7.000E-01, 6.451E+00, 1.135E+01, 1.014E+01, 5.790E+00, 7.000E-01, 6.420E+00, 1.163E+01, 9.912E+00, 5.426E+00
 7.500E-01, 5.968E+00, 1.019E+01, 9.136E+00, 5.323E+00, 7.500E-01, 5.792E+00, 1.025E+01, 8.834E+00, 4.962E+00
 8.000E-01, 5.520E+00, 9.178E+00, 8.251E+00, 4.889E+00, 8.000E-01, 5.229E+00, 9.053E+00, 7.890E+00, 4.535E+00
 8.500E-01, 5.106E+00, 8.285E+00, 7.468E+00, 4.487E+00, 8.500E-01, 4.722E+00, 8.020E+00, 7.060E+00, 4.143E+00
 9.000E-01, 4.722E+00, 7.495E+00, 6.772E+00, 4.115E+00, 9.000E-01, 4.266E+00, 7.122E+00, 6.328E+00, 3.784E+00
 9.500E-01, 4.366E+00, 6.794E+00, 6.151E+00, 3.772E+00, 9.500E-01, 3.854E+00, 6.336E+00, 5.680E+00, 3.456E+00
 1.000E+00, 4.036E+00, 6.169E+00, 5.594E+00, 3.457E+00, 1.000E+00, 3.483E+00, 5.647E+00, 5.105E+00, 3.156E+00
 1.050E+00, 3.729E+00, 5.610E+00, 5.092E+00, 3.168E+00, 1.050E+00, 3.148E+00, 5.042E+00, 4.593E+00, 2.883E+00
 1.100E+00, 3.445E+00, 5.109E+00, 4.638E+00, 2.904E+00, 1.100E+00, 2.846E+00, 4.507E+00, 4.137E+00, 2.634E+00
 1.150E+00, 3.180E+00, 4.657E+00, 4.225E+00, 2.664E+00, 1.150E+00, 2.574E+00, 4.034E+00, 3.730E+00, 2.406E+00
 1.200E+00, 2.934E+00, 4.250E+00, 3.849E+00, 2.445E+00, 1.200E+00, 2.328E+00, 3.615E+00, 3.365E+00, 2.199E+00
 1.250E+00, 2.706E+00, 3.882E+00, 3.506E+00, 2.246E+00, 1.250E+00, 2.106E+00, 3.242E+00, 3.038E+00, 2.010E+00
 1.300E+00, 2.494E+00, 3.547E+00, 3.193E+00, 2.064E+00, 1.300E+00, 1.905E+00, 2.911E+00, 2.744E+00, 1.837E+00
